nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia,tercera_columna
Papilla infantil desde 6 meses cereales integrales muticereales ecológico Hipp Biológico sin lactosa 400 g.,5.59,13.97,bebe,alimentacion infantil,Bebé,€/kg,
Bombón mini helado de vainilla recubierto con chocolate blanco Almond Magnum sin gluten 6 ud.,5.59,0.93,congelados,helados,Congelados,€/ud,
Postre lácteo natural desde 6 meses Nestlé Yogolino sin gluten pack de 8 unidades de 100 g.,5.59,6.99,bebe,alimentacion infantil,Bebé,€/kg,
Roll-on facial antibrillos Coffe O'Clock Beter 1 ud.,5.59,5.59,perfumeria e higiene,cosmetica,Cuidado facial y corporal,€/ud,
Perfume para la ropa en perlas frescor de algodón Sensitive Lenor 210 g.,5.59,26.62,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/kg,
Postre lácteo de plátano desde 6 meses Nestlé Yogolino sin gluten pack de 8 unidades de 100 g.,5.59,6.99,bebe,alimentacion infantil,Bebé,€/kg,
Yogo cake Schär sin gluten sin lactosa 165 g.,5.59,33.88,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,€/kg,
Conos con helado de chocolate Cornetto 6 ud.,5.59,0.93,congelados,helados,Congelados,€/ud,
Agua de manantial Voss en botella de vidrio 80 cl.,5.59,6.99,bebidas,aguas y zumos,Agua y refrescos,€/l,
Perfume para la ropa en perlas concentradas frescor de abril Lenor 210 g.,5.59,26.62,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/kg,
Queso rallado para gratinar Bredam 1 kg,5.59,5.59,productos frescos,quesos,Charcutería y quesos,€/kg,
Pila Alcalinas Ultra Plus 9v 6lr61,5.59,5.59,limpieza y hogar,bazar,bazar,€/ud,
Queso de oveja añejo De Nuestra Tierra cuña 200 g,5.59,27.95,productos frescos,quesos,Charcutería y quesos,€/kg,
Loción corporal ecológica Natura Madre Tierra Instituto Español 300 ml.,5.59,1.861,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Preparado vegetal estilo filete de pescado rebozado Heura 160 g.,5.59,34.94,congelados,rebozados y platos preparados,Pizzas y platos preparados,€/kg,
Crema facial ácido hialurónico ultrahidratante volumen y elasticidad Babaria 50 ml.,5.59,11.181,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Arroz bomba categoría extra La Fallera 1 kg.,5.59,5.59,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Postre lácteo fresa desde 8 meses Nestlé Yogolino sin gluten pack de 8 unidades de 100 g.,5.59,6.99,bebe,alimentacion infantil,Bebé,€/kg,
Queso feta ecológico D.O.P Hotos 200 g,5.59,27.95,productos frescos,quesos,Charcutería y quesos,€/kg,
Salsa guacamole & serrano Zaaschila envase 265 g.,5.59,,la despensa,alimentacion,"Salsas, pasta y refrescos",No especificado,
Vinagre de Jerez reserva De Nuestra Tierra 375 ml.,5.59,14.91,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Queso Saint Felicien ecológico Carrefour Bio 150 g,5.59,37.27,productos frescos,quesos,Charcutería y quesos,€/kg,
Salsa chipotle cremosa Zaaschila envase 265 g.,5.59,,la despensa,alimentacion,"Salsas, pasta y refrescos",No especificado,
Preparado para postre de crema Baileys de chocolate Ruf 130 g.,5.59,43.0,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
De Nuestra Tierra Manzanilla Generoso,5.59,5.59,bebidas,vinos,Bodega,€/ud,
Comida para agaponis Vitakraft 750 g,5.59,5.59,mascotas,pajaros,Mascotas,€/ud,
Detergente liquido black Carrefour Expert 40 lavados.,5.59,0.14,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Lomos de halibut de Alaska sin piel congelados 400 g,5.59,13.97,congelados,pescados congelados,Congelados,€/kg,
Pienso de pavo para gatos Delicate One Delicate Purina One  800 g,5.59,6.99,mascotas,gatos,Mascotas,€/kg,
Bollos con pasas sultanas Haywood & Padget 500 g.,5.59,11.18,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Margarina original ProActiv sin gluten sin lactosa sin aceite de palma 450 g.,5.59,12.42,la despensa,lacteos,leche y mantequilla,€/kg,
Preparado para tortitas proteicas choco chips Ruf 150 g.,5.59,37.27,la despensa,yogures y postres,Postres y yogures,€/kg,
Pienso de pollo y verduras para gato adulto tracto urinario Ulmita Cat 750 g.,5.59,7.45,mascotas,gatos,Mascotas,€/kg,
Maquinilla para mujer sistema precisión extrema 6 hojas Carrefour Soft 1 ud.,5.59,5.59,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,€/ud,
Paleta de Cebo Ibérica 50% Raza Ibérica en lonchas IberSierra sin gluten y sin lactosa 100 g,5.59,55.9,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Chocolatinas rellenas de mantequilla de cacahuete Reese's 170 g.,5.59,32.88,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Croquetas de bacalao a la cazuela Recetas Artesanas La Cocinera 500 g.,5.55,11.1,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Detergente líquido bebé sensitive 0% Carrefour Essential 65 lavados,5.55,0.09,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Suavizante concentrado Aromaterapia lirio irresistible Vernel 95 lavados.,5.55,0.06,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Café espresso descafeinado en cápsulas Illy compatible con Nespresso 10 ud.,5.55,97.37,la despensa,desayuno,Cereales y galletas,€/kg,
Fideos orientales de pollo Yatekomo Gallina Blanca pack de 4 unidades de 60 g.,5.55,23.12,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Croquetas de cocido estilo ropa vieja La cocinera 340 g.,5.55,16.32,congelados,rebozados y platos preparados,Pizzas y platos preparados,€/kg,
Naranjas de Zumo Simpl 4 kg,5.55,,productos frescos,frutas,Fruta y verdura,No especificado,
Champú anticaspa alivio del picor Pro-Expert 7 H&S 300 ml.,5.55,1.851,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Queso parmesano reggiano Parmareggio 150 g.,5.55,37.0,productos frescos,quesos,Charcutería y quesos,€/kg,
Champú anticaspa control de la caspa persistente Pro-Expert 7 H&S 300 ml.,5.55,1.851,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Nuggets rebozado fino Recetas Crujientes La Cocinera 400 g.,5.55,13.87,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Puerta De Alcala 2019,5.55,5.55,bebidas,vinos,Bodega,€/ud,
Salchichas rostbratwurst de pavo y pollo Carrefour sin gluten  540 g.,5.55,10.28,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Whisky Westerly 70 cl.,5.55,7.93,bebidas,alcoholes,Bodega,€/l,
Panceta curada adobada en taco El Chico sin gluten sin lactosa 300 g.,5.55,18.5,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Fingers Recetas Crujientes La Cocinera 320 g.,5.55,17.34,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Nuggets con queso Recetas Crujientes La Cocinera 350 g.,5.55,15.86,congelados,rebozados y platos preparados,Pizzas y platos preparados,€/kg,
Queso de oveja semicurado Classic Carrefour 250 g. cortado,5.55,22.2,productos frescos,quesos,Charcutería y quesos,€/kg,
"Champú clásico para pelo suave, brillante e hidratado Johnson´s Baby 750 ml.",5.55,0.741,bebe,perfumeria e higiene,Cuidado facial y corporal,€/100ml,
Mayonesa Hellmann's sin gluten y sin lactosa tarro 825 ml.,5.55,6.73,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Yogur natural ecológico Carrefour Bio pack de 12 unidades de 125 g.,5.55,3.7,la despensa,yogures y postres,Postres y yogures,€/kg,
Croquetas de cocido casero con jamón serrano Recetas Artesanas La Cocinera 500 g.,5.55,11.1,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Pizza vegana con Heura Coliflow 375 g,5.55,14.8,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Croquetas de espinacas Recetas Artesanas La Cocinera 400 g.,5.55,13.87,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Fregona de Microfibra Antibacterias BAYECO,5.55,5.55,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
Croquetas de jamón ibérico Recetas Artesanas La Cocinera 400 g.,5.55,13.87,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Café extra fuerte monodosis Gran Aroma Marcilla compatible con Senseo 28 ud.,5.55,28.61,la despensa,desayuno,Cereales y galletas,€/kg,
Champú anticaspa anticaída con cafeína Pro-Expert 7 H&S 300 ml.,5.55,1.851,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Acondicionador repara & suaviza extra aloe + hemp bío:renew Herbal Essences 275 ml.,5.55,2.021,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Aceite de orujo de oliva 1 l.,5.55,5.55,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Agua de colonia concentrada Gotas Frescas Instituto Español 250 ml.,5.55,2.221,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Croquetas de boletus con champiñones Recetas Artesanas La Cocinera 400 g.,5.55,13.87,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Croquetas de estofado de pollo Recetas Artesanas La Cocinera 500 g.,5.55,11.1,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Surtido de pastas artesanas Reglero 400 g.,5.55,13.87,la despensa,desayuno,Cereales y galletas,€/kg,
Nuggets Recetas Crujientes La Cocinera 350 g.,5.55,15.86,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
San Jacobos recetas crujientes La Cocinera 388 g.,5.55,14.3,congelados,rebozados y platos preparados,Pizzas y platos preparados,€/kg,
Café descafeinado monodosis Gran Aroma Marcilla compatible con Senseo 28 unidades de 7 g.,5.55,28.61,la despensa,desayuno,Cereales y galletas,€/kg,
Long Burger Supreme 210 g.,5.55,26.43,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Papel de cocina ultra absorbente XXL Carrefour Essential 4 rollos,5.55,1.39,limpieza y hogar,papel y celulosa,Limpieza y hogar,€/ud,
Crema de ojos reafirmante rellena & ilumina el contorno de ojos ecológico Nectar Of Bio 15 ml,5.55,,perfumeria e higiene,cosmetica,Cuidado facial y corporal,€/100ml,
Insecticida antiavispas Carrefour 400 ml.,5.55,13.87,limpieza y hogar,productos para toda la casa,Limpieza y hogar,€/l,
Picantones Rústicos Frescos Calidad y Origen Carrefour 1 kg aprox,5.52,9.2,productos frescos,carniceria,Carne,€/kg,
Carrillera de Vacuno en Salsa Cascajares 300 g,5.5,18.33,productos frescos,platos preparados cocinados,Pizzas y platos preparados,€/kg,
Salchichón Extra Vela Dompal pieza de 250 g,5.49,21.96,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Rodillo facial de jade Becasan Nature 1 ud.,5.49,5.49,perfumeria e higiene,cosmetica,Cuidado facial y corporal,€/ud,
Patata trumferoles Potatum 3 Kg,5.49,1.83,productos frescos,verduras y hortalizas,Fruta y verdura,€/kg,
Gel WC acción total océano Pato pack de 2 unidades de 750 ml.,5.49,3.66,limpieza y hogar,productos para bano,Limpieza y hogar,€/l,
Chorizo Picante Extra de Léon Palcarsa sarta de 325 g,5.49,16.89,productos frescos,charcuteria,Charcutería y quesos,€/kg,
GEL CR DEPILAT.VEET MEN 200ML,5.49,2.741,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,€/100ml,
Puntillas de calamar limpia sin pluma Carrefour 450 g,5.49,12.2,congelados,pulpo calamar y sepia congelados,Congelados,€/kg,
Pechuga empanada Recetas Crujientes La Cocinera 330 g.,5.49,16.64,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Bandas de cera depilatoria corporal hipoalergénicas minima Veet 20 ud.,5.49,0.27,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,€/ud,
Vinagre de Jerez reserva De Nuestra Tierra 375 ml.,5.49,14.64,la despensa,alimentacion,"Salsas, pasta y refrescos",€/l,
Cacaolat en cápsulas Origen&Sensations compatible Nescafé Dolce Gusto 16 unidades de 18 g.,5.49,19.06,la despensa,desayuno,Cereales y galletas,€/kg,
Gel WC limpieza total frescor Pato pack de 2 unidades de 750 ml.,5.49,3.66,limpieza y hogar,productos para bano,Limpieza y hogar,€/l,
Compresas con alas para noche ultrafina Ausonia 24 ud.,5.49,0.23,perfumeria e higiene,higiene intima,Cuidado facial y corporal,€/ud,
Caramelos de goma Happy Party Fini 500 g.,5.49,10.98,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Gamba pelada congelada 90/110 Antonio y Ricardo 375 g.,5.49,14.64,congelados,mariscos congelados,Congelados,€/kg,
Harina  para repostería Schär sin gluten 1 kg.,5.49,5.49,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Laca volumen perfecto Pantene Pro-V 370 ml.,5.49,1.481,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Desodorante en spray Emerald Geranium Axe 150 ml.,5.49,3.661,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Enjuague bucal blanqueador menta sabor suave sin alcohol Advanced White Listerine 500 ml.,5.49,1.101,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Preparado vegetal de proteína de guisante sabor pescado Vuna Garden Gourmet 175 g.,5.49,31.37,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Salsa mojo picón suave De Nuestra Tierra 200 g.,5.49,27.45,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Champú Hair Food papaya reparador Garnier-Fructis 350 ml.,5.49,1.571,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Perfume para la ropa en perlas concentrado rubí y jazmín Lenor 210 g.,5.49,26.14,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/kg,
Enjuague bucal protección dientes y encías menta fresca Listerine 500 ml.,5.49,1.101,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,€/100ml,
Salchichas Cocktail La Piara 170 g.,5.49,32.29,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Queso de oveja vieja con Pedro Ximénez Carrefour Extra cuña de 200 g,5.49,27.45,productos frescos,quesos,Charcutería y quesos,€/kg,
Filete de bacalao procedente de pesca sostenible al punto de sal ultracongelado Carrefour 400 g.,5.49,13.72,congelados,pescados congelados,Congelados,€/kg,
Salsa mojo picón picante De Nuestra Tierra 200 g.,5.49,27.45,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Helado Pirulo Watermelon Nestlé sin gluten 4 ud.,5.49,1.37,congelados,helados,Congelados,€/ud,
Jabón de manos alepo Tade 200 g.,5.49,2.741,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100g,
Espárragos blancos 8/12 Carretilla 325 g.,5.49,16.89,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Laca fijadora fuerte L'Oréal Elnett 400 ml.,5.49,1.371,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Compresas ultrafina con alas para noche extra Ausonia 18 ud.,5.49,0.3,perfumeria e higiene,higiene intima,Cuidado facial y corporal,€/ud,
"Bolsita de pera, manzana y plátano desde 4 meses ecológico Gerber sin gluten y sin azúcar añadido pack 4 unidades 90 g.",5.49,15.25,bebe,alimentacion infantil,Bebé,€/kg,
Bonito del norte en aceite de oliva Carrefour 260 g.,5.49,21.12,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Gamba cristal enharinada congelados Delfin 250 g.,5.49,21.96,congelados,mariscos congelados,Congelados,€/kg,
Helado Pirulo mini tropical Nestlé sin gluten 6 ud.,5.49,0.91,congelados,helados,Congelados,€/ud,
Pizza de jamón y queso Forno di Pietra Buitoni sin gluten y sin lactosa 365 g.,5.49,15.04,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Enjuague bucal Cuidado Total Listerine 500 ml.,5.49,1.101,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,€/100ml,
Champú Hair Food aloe vera hidratante Garnier-Fructis 350 ml.,5.49,1.571,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Galletas Rellenas de Crema de Chocolate Príncipe pack de 3 unidades de 300 g.,5.49,6.1,la despensa,desayuno,Cereales y galletas,€/kg,
Ambientador de varillas moras y frambuesas Cristalinas 35 ml.,5.49,15.691,limpieza y hogar,ambientadores,Limpieza y hogar,€/100ml,
Marcador  STABILO Boss 4 ud - Pastel,5.49,1.37,limpieza y hogar,papeleria,papeleria,€/ud,
Acondicionador Hair Food banana ultra-nutritivo para pelo seco Garnier-Fructis 350 ml.,5.49,1.571,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Medio conejo troceado Calidad y Origen Carrefour 650 g  aprox,5.49,8.45,productos frescos,carniceria,Carne,€/kg,
Ambientador de varillas infusión naranja canela Ambar Botanic 75 ml.,5.49,73.201,limpieza y hogar,ambientadores,Limpieza y hogar,€/100ml,
Champú Hair Food banana ultra-nutritivo Garnier-Fructis 350 ml.,5.49,1.571,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Ambientador de varillas brisa marina Cristalinas 35 ml.,5.49,15.691,limpieza y hogar,ambientadores,Limpieza y hogar,€/100ml,
Ambientador de varillas dama de noche Cristalinas 35 ml.,5.49,15.691,limpieza y hogar,ambientadores,Limpieza y hogar,€/100ml,
8 Bayetas Multiusos de Microfibra  Rozenbal  - Colores surtidos,5.49,0.69,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,€/ud,
Dúo de Bacalao Desalado Extra Boreal Artik 250 g,5.49,21.96,productos frescos,pescaderia,Marisco y pescado,€/kg,
Empanada de york y queso 600 g,5.49,9.15,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Enjuague bucal sabor menta suave sin alcohol Cuidado Total Listerine 500 ml.,5.49,1.101,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,€/100ml,
Crema facial antiedad reafirmante intensa con colágeno Babaria 50 ml.,5.49,10.981,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,€/100ml,
Ambientador de varillas azahar y mandarina Cristalinas 35 ml.,5.49,15.691,limpieza y hogar,ambientadores,Limpieza y hogar,€/100ml,
Mantequilla con granos de sal de mar La Motte Président 250 g.,5.49,21.96,la despensa,lacteos,leche y mantequilla,€/kg,
Champú Hair Food piña anti-rotura Garnier-Fructis 350 ml.,5.49,1.571,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Limpia lavadoras Original Colon 250 ml.,5.49,21.96,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/l,
Nata para montar Central Lechera Asturiana 1 l.,5.49,5.49,la despensa,lacteos,leche y mantequilla,€/l,
Ciruelas ecológicas Paño Naturae 200 g.,5.49,27.45,la despensa,aperitivos,Aperitivos,€/kg,
Falafel vegetal ultracongelado Sensation Carrefour 500 g.,5.49,10.98,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
"Lomo de cebo ibérico 50% raza ibérica Carrefour sin gluten 2x62,5 g",5.49,43.92,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Viña Sol Blanco 2022,5.49,5.49,bebidas,vinos,Bodega,€/ud,
Ambientador de varillas bebé y colonia Cristalinas 35 ml.,5.49,15.691,limpieza y hogar,ambientadores,Limpieza y hogar,€/100ml,
Jamón Serrano Gran Reserva en lonchas Artysan 90 g,5.49,61.0,productos frescos,charcuteria,Charcutería y quesos,€/kg,
Colgador WC activo triple acción azul recambio Pato 2 ud.,5.49,2.74,limpieza y hogar,productos para bano,Limpieza y hogar,€/ud,
Nata para cocinar Central Lechera Asturiana 1 l.,5.49,5.49,la despensa,lacteos,leche y mantequilla,€/l,
Champú anticaspa calmante para cuero cabelludo seco y con picor Derma X PRO H&S 300 ml.,5.45,1.821,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Teriyaki noodles con pollo Rana 400 g.,5.45,13.62,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Chocolate negro 82% con almendras mediterráneas enteras Valor sin gluten 250 g.,5.45,21.8,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Berberecho fresco 500 g,5.45,10.9,productos frescos,pescaderia,Marisco y pescado,€/kg,
Queso semicurado light ya cortado García Baquero cuña 250 g,5.45,21.8,productos frescos,quesos,Charcutería y quesos,€/kg,
Acondicionador Molecular Bond Repair Pro-V Miracles Pantene 160 ml.,5.45,3.411,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Café Latte Almendra en cápsulas Nescafé Dolce Gusto sin lactosa12 ud.,5.45,41.29,la despensa,desayuno,Cereales y galletas,€/kg,
Limpiador baños higiene profunda Cillit Bang 750 ml.,5.45,7.27,limpieza y hogar,productos para bano,Limpieza y hogar,€/l,
Pìenso de pollo para gato esterilizado adulto Ultima 800 g,5.45,6.81,mascotas,gatos,Mascotas,€/kg,
Café con leche en cápsulas Starbucks compatible con Dolce Gusto 12 ud.,5.45,45.04,la despensa,desayuno,Cereales y galletas,€/kg,
Ambientador flor perfumada Clásico Don Algodón 50 ml.,5.45,10.901,limpieza y hogar,ambientadores,Limpieza y hogar,€/100ml,
Cereales integrales con chocolate y caramelo Lion Nestlé 675 g.,5.45,8.07,la despensa,desayuno,Cereales y galletas,€/kg,
Pescado para fritura congelado Carrefour 600 g.,5.45,9.08,congelados,pescados congelados,Congelados,€/kg,
Molinillo pimienta negra Carmencita 50 g.,5.45,109.0,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Detergente en cápsulas con carbón vegetal ecológico Eco Planet Carrefour 22 ud.,5.45,0.25,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Conos con helado de choco brownie Extreme Cookie Nestlé 4 ud.,5.45,1.36,congelados,helados,Congelados,€/ud,
Helado Oreo 324 g.,5.45,11.35,congelados,helados,Congelados,€/l,
Molinillo Popurrí de pimientas Carmencita 40 g.,5.45,136.25,la despensa,alimentacion,"Salsas, pasta y refrescos",€/kg,
Tortilla de patata con cebolla La Cocina de Senén sin gluten pack de 2 unidades de 180 g.,5.45,15.14,congelados,rebozados y platos preparados,Pizzas y platos preparados,€/kg,
Muesli infantil desde 12 meses 7 cereales sin azúcar añadido ecológico Hipp Biológico Mi Primer Desayuno 200 g.,5.45,27.25,bebe,alimentacion infantil,Bebé,€/kg,
Champú anticaspa hidratante para cuero cabelludo seco Derma X PRO H&S 300 ml.,5.45,1.821,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Palomitas Veganas con rebozado crujiente VFC 220 g.,5.45,,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",No especificado,
Suavizante concentrado Aromaterapia selva fascinante Vernel 95 lavados.,5.45,0.06,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,€/lavado,
Cereales integrales de chocolate Nesquik Nestlé 625 g.,5.45,8.72,la despensa,desayuno,Cereales y galletas,€/kg,
Tiras veganas con rebozado crujiente VFC 200 g.,5.45,,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",No especificado,
Preparado de aceite de coco sabor camembert Le Rond Violife sin gluten y sin lactosa 150 ml.,5.45,,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",No especificado,
Champú y acondicionador delicado para cabello normal con aceite de almendras dulces Timotei 750 ml.,5.45,0.731,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Limpiador jabonoso para madera original Pronto 750 ml.,5.45,7.27,limpieza y hogar,productos para toda la casa,Limpieza y hogar,€/l,
"Café descafeinado en cápsulas Saimaza compatible con Nespresso 20 unidades de 5,2 g.",5.45,52.4,la despensa,desayuno,Cereales y galletas,€/kg,
"Café fuerte en cápsulas Saimaza compatible con Nespresso 20 unidades de 5,2 g.",5.45,52.4,la despensa,desayuno,Cereales y galletas,€/kg,
"Café extra fuerte en cápsulas Saimaza compatible con Nespresso 20 unidades de 5,2 g.",5.45,52.4,la despensa,desayuno,Cereales y galletas,€/kg,
Queso de oveja añejo cuña Flor de Esgueva 150 g,5.45,36.33,productos frescos,quesos,Charcutería y quesos,€/kg,
Café latte avena en cápsulas Nescafé Dolce Gusto 12 ud.,5.45,41.6,la despensa,desayuno,Cereales y galletas,€/kg,
Champú anticaspa limpieza profunda frescor intenso H&S 300 ml.,5.45,1.821,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
"ToallitasHuggies® Natural Care 2+1 paquetes, 168 uds",5.45,0.03,bebe,panales y toallitas,Cuidado facial y corporal,€/ud,
Tortilla receta casera con cebolla y huevos camperos Palacios sin gluten sin lactosa 650 g.,5.45,8.38,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Papilla infantil desde 6 meses 8 cereales con miel Nestlé 725 g.,5.45,7.52,bebe,alimentacion infantil,Bebé,€/kg,
Quitagrasas Cillit Bang 750 ml.,5.45,7.27,limpieza y hogar,productos para cocina,Limpieza y hogar,€/l,
Café ginseng en cápsulas Nescafé Dolce Gusto 16 ud.,5.45,,la despensa,desayuno,Cereales y galletas,No especificado,
Conos con helado de doble vainilla Extreme Nestlé 6 ud.,5.45,0.91,congelados,helados,Congelados,€/ud,
Enjuague bucal para encías sensibles sin alcohol con flúor sabor menta frescor suave Licor del Polo 500 ml.,5.45,1.091,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,€/100ml,
Tagliatelle frescos carbonara Rana sin aceite de palma 408 g.,5.45,5.45,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/ud,
Café doppio espresso en cápsulas Nescafé Dolce Gusto 16 ud.,5.45,,la despensa,desayuno,Cereales y galletas,No especificado,
Papilla infantil desde 12 meses 8 cereales con cacao Nestlé sin azúcar añadido 725 g.,5.45,7.52,bebe,alimentacion infantil,Bebé,€/kg,
Chupete de silicona fisiológico SX Pro 6-18 meses Suavinex 1 ud.,5.45,5.45,bebe,puericultura,Bebé,€/ud,
Bizcocho Tradicional Carrot Cake La Granja sin gluten y sin lactosa 230 g,5.45,23.7,productos frescos,panaderia tradicional,Panadería y pastelería,€/kg,
Papilla infantil desde 6 meses 8 cereales con galleta maría Nestlé sin azúcar añadido 725 g.,5.45,7.52,bebe,alimentacion infantil,Bebé,€/kg,
Surtido de bombones Nestlé Bestial Mix 187 g.,5.45,29.14,la despensa,dulce,"Azúcar, caramelos y chocolate",€/kg,
Chupete de silicona fisiológico SX Pro 0-6 meses Suavinex 1 ud.,5.45,5.45,bebe,puericultura,Bebé,€/ud,
Fusilli frescos de quesos italianos Rana sin aceite de palma 371 g.,5.45,5.45,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/ud,
Berberechos al natural 35/45 Classic Carrefour 63 g.,5.45,86.51,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",€/kg,
Champú anticaspa limpieza profunda purificante H&S 300 ml.,5.45,1.821,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Cereales muesli sin azúcares añadidos Alpen 560 g.,5.45,9.73,la despensa,desayuno,Cereales y galletas,€/kg,
Champú aqua light fórmula Pro-V con antioxidantes hidratación cabello fino Nutri Pro-V Pantene 385 ml.,5.45,1.421,perfumeria e higiene,cabello,Cuidado del cabello,€/100ml,
Mojama de solomillos de atún Carrefour El Mercado 200 g,5.45,27.25,productos frescos,pescaderia,Marisco y pescado,€/kg,
