nombre,Precios,Precios_unit,categorias,subcategoria,Categoria_principal,Unidad de referencia
Tarrito de pera y manzana desde 4 meses ecológico Hero Solo sin gluten pack de 6 unidades de 120 g.,9.95,13.82,bebe,alimentacion infantil,Bebé,KILO
Parches térmicos terapéuticos Thermacare 2 ud.,9.95,4.97,parafarmacia,botiquin,Fitoterapia y parafarmacia,UNIDAD
Tratamiento capilar de 8 segundos para pelo deshidratado Elvive Hidra Hialurónico Magic Water L'Oréal Paris 200 ml.,9.95,4.971,perfumeria e higiene,cabello,Cuidado del cabello,100 ML
Lubricante original base agua Durex 50 ml.,9.95,19.901,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,100 ML
Lubricante de base agua efecto calor Durex 50 ml.,9.95,19.901,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,100 ML
"Tarrito de pera, plátano y zanahoria desde 4 meses ecológico Hero Solo sin gluten pack de 6 unidades de 120 g.",9.95,13.82,bebe,alimentacion infantil,Bebé,KILO
24 Mozas Tinto 2021,9.95,9.95,bebidas,vinos,Bodega,UNIDAD
Tarrito de frutas variadas desde 4 meses Hero Baby sin gluten pack de 6 unidades de 190 g.,9.95,8.73,bebe,alimentacion infantil,Bebé,KILO
Chorizo ibérico de bellota de vela 100% raza ibérica Vela Sánchez Romero Carvajal sin gluten 200 g,9.95,49.75,productos frescos,charcuteria,Charcutería y quesos,KILO
Trenza Clásica Korfest 1 ud.,9.95,9.95,productos frescos,panaderia tradicional,Panadería y pastelería,UNIDAD
Alma Atlantica Mencía Rosé,9.95,9.95,bebidas,cava y champagne,Bodega,UNIDAD
Tijeras grandes Ponette 1 ud.,9.95,9.95,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Alma Atlantica,9.95,9.95,bebidas,cava y champagne,Bodega,UNIDAD
Trenza de Crema y Chocolate Berlys 1 ud.,9.95,9.95,productos frescos,panaderia tradicional,Panadería y pastelería,UNIDAD
Loción + champú antipiojos ZZ 225 ml.,9.95,9.95,parafarmacia,cabello,Cuidado del cabello,UNIDAD
Aceite de oliva virgen extra hojiblanca Carrefour 1 l.,9.95,9.95,la despensa,alimentacion,"Aceite, especias y salsas",LITRO
Filete tierno de Wagyu Santa Rosalia 250 g,9.95,9.95,productos frescos,carniceria,"Aceite, especias y salsas",UNIDAD
Pienso sabor pollo para gato junior Ultima Cat 1.5 kg,9.95,6.63,mascotas,gatos,Mascotas,KILO
"Pienso pollo y arroz para gato adulto Última Cat 1,5 kg",9.95,6.63,mascotas,gatos,"Arroz, legumbres y pasta",KILO
Salchichón de Bellota Ibérica 100% Raza Ibérica de vela Sánchez Romero Carvajal sin gluten 200 g,9.95,49.75,productos frescos,charcuteria,"Aceite, especias y salsas",KILO
Calamar Patagónico 1 kg aprox,9.95,0.0,productos frescos,pescaderia,Marisco y pescado,No especificado
Aceite de oliva virgen extra picual Carrefour 1 l.,9.95,9.95,la despensa,alimentacion,"Aceite, especias y salsas",LITRO
Filetes de Lomo Bajo de Añojo Círculo de Calidad 500 g aprox,9.95,0.0,productos frescos,carniceria,Carne,No especificado
Tarta de Chocolate sin gluten 450 g,9.9,22.0,productos frescos,panaderia tradicional,Panadería y pastelería,KILO
Paleta de Bellota Ibérica 100% Raza Ibérica en lonchas Altanera 90 g,9.9,110.0,productos frescos,charcuteria,Charcutería y quesos,KILO
Tarta de tiramisú 600 g,9.9,16.5,productos frescos,panaderia tradicional,Panadería y pastelería,KILO
Tarta Bombón de Chocolate 600 g,9.9,16.5,productos frescos,panaderia tradicional,Panadería y pastelería,KILO
Gominolas sleep V-Gummies sin gluten y sin lactosa 50 ud.,9.9,88.39,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Biotina en gominolas sabor frutos rojos V-Gummies sin gluten y sin lactosa doy pack 50 ud.,9.9,88.39,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Tarta de Chocolate Blanco 480 g,9.9,20.62,productos frescos,panaderia tradicional,Panadería y pastelería,KILO
Espejo Oh! aumento x10 Beter 1 ud.,9.89,9.89,perfumeria e higiene,cosmetica,Cuidado facial y corporal,UNIDAD
Surtido de fresas 750 gr,9.89,13.19,productos frescos,frutas,Fruta y verdura,KILO
Crema protectora con color con vitamina FPS50 BB Super UV Garnier Delial 50 ml.,9.89,19.781,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Tarrito de frutas variadas y galleta desde 6 meses Hero Baby Merienda sin aceite de palma pack de 6 unidades de 190 g.,9.89,8.68,bebe,alimentacion infantil,"Aceite, especias y salsas",KILO
Langostino cocido (40/60 ud) 1 kg aprox,9.89,0.0,productos frescos,pescaderia,Marisco y pescado,No especificado
Brandy de jerez solera gran reserva  Altorreal 70 cl.,9.89,14.13,bebidas,alcoholes,Bodega,LITRO
Aceite de oliva virgen extra Carrefour 1 l.,9.89,9.89,la despensa,alimentacion,"Aceite, especias y salsas",LITRO
Enate Cabernet Sauvignon Rosado 2022,9.89,9.89,bebidas,vinos,Bodega,UNIDAD
Filete atún aleta amarilla congelado marinado Petaca Chico 420 g aprox,9.87,23.49,productos frescos,pescaderia,Cuidado facial y corporal,KILO
Tratamiento colorante moreno-negro Touch of Grey Just for Men1 ud.,9.85,9.85,parafarmacia,cabello,Cuidado del cabello,UNIDAD
Brocha Flat Top Kabuki para maquillaje fluido Beter 1 ud.,9.85,9.85,perfumeria e higiene,cosmetica,Cuidado facial y corporal,UNIDAD
Café soluble natural Nescafé Classic 300 g.,9.85,32.83,la despensa,desayuno,"Cacao, café e infusiones",KILO
Aceite de oliva virgen extra Coosur Gran Selección 750 ml.,9.85,13.13,la despensa,alimentacion,"Aceite, especias y salsas",LITRO
Café soluble natural créme express Marcilla 200 g.,9.85,49.25,la despensa,desayuno,"Cacao, café e infusiones",KILO
Protos Seleccion Rosado 2022,9.85,9.85,bebidas,vinos,Bodega,UNIDAD
Aceite de oliva virgen extra Retama 1 l.,9.85,9.85,la despensa,alimentacion,"Aceite, especias y salsas",LITRO
Queso de oveja puro D.O.P. Idiazabal De Nuestra Tierra cuña de 350 g aprox,9.8,28.0,productos frescos,quesos,Charcutería y quesos,KILO
Salchichón ibérico de cebo pieza 1/3 Carrefour Calidad y Origen 400 g aprox,9.8,24.5,productos frescos,charcuteria,"Aceite, especias y salsas",KILO
Finca Resalso Tinto 2022,9.8,9.8,bebidas,vinos,"Aceite, especias y salsas",UNIDAD
"Quitamanchas gel acción total turbo Oxy Color Neutrex 2,62 l.",9.79,3.74,limpieza y hogar,cuidado de la ropa,Cuidado facial y corporal,LITRO
El Coto Tinto Crianza 2019,9.79,9.79,bebidas,vinos,Bodega,UNIDAD
Dentífrico Herbal Fresh Parodontax pack de 2 unidades de 75 ml.,9.79,6.531,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML
Acondicionador intensivo Molecular Bond Repair Pro-V Miracles Pantene 150 ml.,9.79,6.531,perfumeria e higiene,cabello,Cuidado del cabello,100 ML
Copa menstrual talla 0 Carrefour Soft 1 ud.,9.79,9.79,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD
Chupete anatómico de silicona niño 6-18m Ultra Air Philips Avent 2 ud.,9.79,4.89,bebe,puericultura,Bebé,UNIDAD
Recambios cepillo batería universal Total Clean Carrefour Soft 5 ud.,9.79,1.96,perfumeria e higiene,boca y sonrisa,"Aceite, especias y salsas",UNIDAD
Chupete anatómico de silicona niño 0-6m Ultra Air Philips Avent 2 ud.,9.79,4.89,bebe,puericultura,Bebé,UNIDAD
Protector de cama DryNites 7 ud.,9.79,1.4,bebe,puericultura,Bebé,UNIDAD
Chupete anatómico de silicona niño +18m Ultra Air Philips Avent 2 ud.,9.79,4.89,bebe,puericultura,Bebé,UNIDAD
Pants noche Carrefour Kids Talla 8-15 años (27-57 Kg) 12 ud.,9.79,0.82,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD
Crema facial hidratante protector FP15 alivio 24h Sensitive Nivea Men 75 ml.,9.79,13.051,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Bragapañal noche Carrefour Kids Talla 4-7 años (17-30 Kg) 15 uds,9.79,0.65,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD
Pants My Carrefour Baby T5 (12-18 kg.) 40 ud.,9.75,0.24,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD
Maquinilla Sensor3 Gillette + Recambio 3 ud.,9.75,9.75,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,UNIDAD
Pants optima adsorption My Carrefour Baby T4 (8 -15 kg) 44 ud.,9.75,0.22,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD
Mantequilla Carrefour 1 kg.,9.75,9.75,la despensa,lacteos,"Huevos, leche y mantequilla",KILO
Pants optima adsorption My Carrefour Baby T6 (+16 kg) 36 ud.,9.75,0.27,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD
Champú recién nacido elimina la costra láctea Mustela 150 ml.,9.75,6.501,bebe,perfumeria e higiene,Cuidado facial y corporal,100 ML
Sandía rayada Carrefour 5 kg aprox,9.75,0.0,productos frescos,frutas,Fruta y verdura,No especificado
Chitosán en cápsulas Sanon 80 ud.,9.75,26.351,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR
Whisky Loch Castle escocés 5 años 70 cl.,9.75,13.93,bebidas,alcoholes,Bodega,LITRO
Discos de lactancia Chicco 60 ud.,9.75,0.16,parafarmacia,bebe,Bebé,UNIDAD
Crema de manos concentrada 50 ml + labial SPF 20 1 ud. Fórmula Noruega Neutrogena,9.75,9.75,parafarmacia,cuidado corporal,Cuidado facial y corporal,UNIDAD
Cepillo dental interproximales plus micro 0.9 10 ud.,9.75,0.97,parafarmacia,higiene bucal,Cuidado facial y corporal,UNIDAD
Bloc de Foie Gras de Pato del Sud-Ouest IGP Francia Carrefour 100 g,9.75,97.5,productos frescos,charcuteria,Charcutería y quesos,KILO
Queso de mezcla semicurado mini Carrefour pieza de 900 g,9.75,10.83,productos frescos,quesos,Charcutería y quesos,KILO
Filete de Vacuno Añojo Ecológico Carrefour Bio 500 g aprox,9.74,19.49,productos frescos,carniceria,Carne,KILO
Picaña de Vacuno Carrefour El Mercado 500 g aprox,9.74,0.0,productos frescos,carniceria,Carne,No especificado
"Solomillo de cerdo Carrefour 1,2 kg aprox",9.71,0.0,productos frescos,carniceria,Carne,No especificado
Tinte creme nº 5.3 Chocolate Praliné L'Oréal Excellence 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte intense nº 6.66 Rojo Escarlata Intenso L'Oréal 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte creme nº 10 Rubio Clarisimo Aclarante L'Oréal Excellence 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte creme nº 7.3 Rubio Dorado L'Oréal Excellence 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte creme nº 8 Rubio Claro L'Oréal Excellence 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte creme nº 7.1 Rubio Ceniza L'Oréal Excellence 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte permanente tono 4.11 castaño ceniza intenso Excellence Cool Creme L'Oréal Paris 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte permanente tono 8.11 rubio claro ceniza Excellence Cool Creme L'Oréal Paris 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte creme nº 01 Rubio Ultra Claro Natural L'Oréal Excellence 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte permanente tono 6.11 rubio oscuro ceniza Excellence Cool Creme L'Oréal Paris 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte creme nº 3 Castaño Oscuro L'Oréal Excellence 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte creme nº 7 Rubio L'Oréal Excellence 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte creme nº 03 Rubio Ultra Claro Ceniza,9.7,4.85,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte age perfect nº 9.13 Rubio Camel L'Oréal Excellence 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte age perfect nº 9.31 Rubio Claro Dorado L'Oréal Excellence 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte creme nº 1 Negro L'Oréal Excellence 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte creme nº 6.46 Rubio Oscuro Cobre Caoba L'Oréal Excellence 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte creme nº 4 Castaño L'Oréal Excellence 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte creme nº 6.1 Rubio Oscuro Ceniza L'Oréal Excellence 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte intense nº 7.43 Rubio Cobrizo Dorado L'Oréal Excellence 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte permanente tono 5.11 castaño claro ceniza intenso Excellence Cool Creme L'Oréal Paris 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte permanente tono 5 castaño claro Excellence Creme L'Oréal Paris 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte permanente tono 8.1 rubio claro ceniza Excellence Creme L'Oréal Paris 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte creme nº 9 Rubio Claro Claro L'Oréal Excellence 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Tinte creme nº 9.1 Rubio Claro Claro Ceniza L'Oréal Excellence 1 ud.,9.7,9.7,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD
Barrita Arreglatodo Pattex,9.69,9.69,limpieza y hogar,bazar,Limpieza y hogar,UNIDAD
Toallitas Pure Aqua Dodot 144 ud.,9.69,0.07,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD
Agua micelar todo en uno Garnier 700 ml.,9.69,1.381,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Colutorio diario fórmula de acción blanqueadora con flúor sin alcohol sabor menta Lacer Blanc 500 ml.,9.69,1.941,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML
Vermut Martini blanco 1 l.,9.69,9.69,bebidas,alcoholes,Bodega,LITRO
Aftersun leche hidratante reparadora sensitive pieles sensibles y atópicas Ecran Aftersun 300 ml.,9.69,3.231,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
Brandy Veterano 1 l.,9.69,9.69,bebidas,alcoholes,Bodega,LITRO
Vermut Martini rosso 1 l.,9.69,9.69,bebidas,alcoholes,Bodega,LITRO
Cerveza rubia Estrella Damm mediterránea pack de 12 latas de 33 cl.,9.69,0.0,bebidas,cerveza,Bodega,No especificado
Centro de Aguja de Vacuno Angus Carrefour Selection 400 g aprox,9.68,24.2,productos frescos,carniceria,Carne,KILO
Maquinilla Mach3 Gillette 1 ud.,9.65,9.65,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,UNIDAD
Pañales Carrefour Baby 0% Talla 1 (2-5 kg) 35 ud.,9.65,0.28,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD
Magret fresco de pato Carrefour Selección 400 g aprox,9.6,24.0,productos frescos,carniceria,Carne,KILO
Recambio de cera tibia en roll on para todo tipo de pieles Veet 50 ml.,9.59,19.181,perfumeria e higiene,depilacion y afeitado,Fitoterapia y parafarmacia,100 ML
Champú anticaspa menthol fresh H&S 625 ml.,9.59,0.0,perfumeria e higiene,cabello,Cuidado del cabello,No especificado
Lavavajillas a mano ultra poder Fairy 1190 ml.,9.59,8.06,limpieza y hogar,productos para cocina,Limpieza y hogar,LITRO
Polvos para pieles sensibles e irritadas Talquistina 50 g.,9.59,19.181,parafarmacia,botiquin,Cuidado facial y corporal,100 GR
Crema facial Mustela Hydra Bebé 40 ml.,9.59,23.981,bebe,perfumeria e higiene,Cuidado facial y corporal,100 ML
Champú anticaspa citrus fresh para pelo graso H&S 625 ml.,9.59,0.0,perfumeria e higiene,cabello,Cuidado del cabello,No especificado
Tarrito de menestra de verduras ternera y jamón desde 6 meses Hero Baby sin gluten  pack de 6 unidades de 235 g.,9.59,6.8,bebe,alimentacion infantil,Bebé,KILO
Tarrito de arroz con pollo desde 6 meses Hero Baby sin gluten  pack de 6 unidades de 235 g.,9.59,6.8,bebe,alimentacion infantil,"Arroz, legumbres y pasta",KILO
Tarrito de verduritas con merluza desde 6 meses Hero Baby sin gluten pack de 6 unidades de 235 g.,9.59,6.8,bebe,alimentacion infantil,Bebé,KILO
Marques De Riscal Verdejo Organic Blanco 2023,9.55,9.55,bebidas,vinos,Bodega,UNIDAD
Cerveza tostada Mahou 0.0 alcohol pack de 12 latas de 33 cl.,9.55,2.41,bebidas,cerveza,Bodega,LITRO
Chuletón de Vacuno Carrefour El Mercado 600 g aprox,9.54,0.0,productos frescos,carniceria,Carne,No especificado
Hueva salada de maruca Carrefour El Mercado 160 g,9.5,59.37,productos frescos,pescaderia,"Aceite, especias y salsas",KILO
Onevit Energía Powerboost 45 ud.,9.5,35.191,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR
PLENITUDE REVITALIFT TARRO 50,9.49,18.981,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML
"Pienso esterilizado de salmón para gatos Perfect Fit 1,4 kg.",9.49,6.78,mascotas,gatos,"Aceite, especias y salsas",KILO
Gamba cocida congelada Antonio y Ricardo 800 g.,9.49,11.86,congelados,mariscos congelados,Cuidado facial y corporal,KILO
Aceite refinado de semillas Abaco 5 l.,9.49,1.9,la despensa,alimentacion,"Aceite, especias y salsas",LITRO
Pata de pulpo cocido Carrefour El Mercado 250 g,9.49,0.0,productos frescos,pescaderia,Marisco y pescado,No especificado
Recogedor de Mano con Cepillo VILEDA 2 en 1,9.49,9.49,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,UNIDAD
Cannabis sativa rhodiola Relajación Juvamine 50 ud.,9.49,593.12,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO
Patatas Simpl 10 kg,9.49,0.95,productos frescos,verduras y hortalizas,Fruta y verdura,KILO
Bebida espirituosa Terry Centenario 1 l.,9.49,9.49,bebidas,alcoholes,Bodega,LITRO
Colutorio gingival Cariax 500 ml.,9.45,1.891,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML
Biberón anticólico tetina de silicona flujo 2  0m+ Natural Response Philips Avent 125 ml.,9.45,9.45,parafarmacia,bebe,Bebé,UNIDAD
Aceite de oliva virgen extra Ybarra 750 ml.,9.45,0.0,la despensa,alimentacion,"Aceite, especias y salsas",No especificado
REC.CEPIL PREC.CLEAN ORAL B X2,9.45,4.72,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,UNIDAD
Gamba pelada cruda congelada Grand Krust 300 g.,9.45,31.5,congelados,mariscos congelados,Cuidado facial y corporal,KILO
Dentífrico antiplaca y anticaries de uso diario con flúor Lacer pack de 3 unidades de 75 ml.,9.45,4.201,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML
"Pienso de buey para perros adultos medianos y grandes Brekkies Tenderissimo 2,5 kg",9.45,3.78,mascotas,perros,Mascotas,KILO
Café soluble descafeinado Nescafé Classic 300 g.,9.45,31.5,la despensa,desayuno,"Cacao, café e infusiones",KILO
Chupete nocturno tetina anatómica de silicona 6-18 meses Night&Day Suavinex 2 ud.,9.45,4.72,bebe,puericultura,Bebé,UNIDAD
Protector Absorbente Sabanindas Extra 60x60cm 20 ud.,9.45,0.47,bebe,puericultura,Bebé,UNIDAD
Crema facial calma la piel atópica malva blanca ecológico baby derma Weleda 50 ml.,9.45,18.901,parafarmacia,bebe,Bebé,100 ML
Solomillo de Cerdo Ibérico Carrefour 500 g aprox,9.44,18.89,productos frescos,carniceria,Carne,KILO
Salmón en fllete Calidad y Origen Carrefour 400 g aprox,9.4,23.5,productos frescos,pescaderia,"Aceite, especias y salsas",KILO
Licor de hierbas notas de naranja y canela Ruavieja 70 cl.,9.39,13.41,bebidas,licores y cremas,"Aceite, especias y salsas",LITRO
Crema bálsamo 123 Mustela 100 ml,9.39,9.391,parafarmacia,bebe,Bebé,100 ML
Colágeno + ácido hialurónico en cápsulas Sanon 60 ud.,9.39,26.831,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR
Café soluble mezcla con achicoria Nestlé 250 g.,9.39,36.12,la despensa,desayuno,"Cacao, café e infusiones",KILO
"Café suave en cápsulas Carrefour Extra compatible con Nespresso 50 unidades de 5,2 g.",9.39,36.12,la despensa,desayuno,"Cacao, café e infusiones",KILO
Tónico capilar hierbas Ronquina Kesmar 1 l.,9.39,0.941,parafarmacia,cabello,Bodega,100 ML
Crema de mango con tequila Regidor botella 70 cl.,9.39,13.41,bebidas,alcoholes,Bodega,LITRO
"Café descafeinado en cápsulas Carrefour Extra compatible con Nespresso pack de 50 unidades de 5,2 g.",9.39,36.12,la despensa,desayuno,"Cacao, café e infusiones",KILO
Jamón de Cebo Ibérico 50% Raza Ibérica en lonchas Nico 150 g,9.39,62.6,productos frescos,charcuteria,Charcutería y quesos,KILO
Maquinilla Venus Extra Smooth Snap Gillette 1 ud.,9.39,9.39,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,UNIDAD
Langostino cocido ecológico Carrefou Bio 700 g.,9.39,13.41,congelados,mariscos congelados,Congelados,KILO
Queso mini de cabra bifidus Carrefour Extra 400 g,9.39,23.47,productos frescos,quesos,Charcutería y quesos,KILO
Langostino crudo ecológico congelado Bio Carrefour 700 g.,9.39,13.41,productos frescos,pescaderia,Cuidado facial y corporal,KILO
Queso de cabra tierno mini Carrefour sin lactosa 425 g,9.39,22.09,productos frescos,quesos,Charcutería y quesos,KILO
"Crema para el cuidado facial, cuello y escote Xhekpon 40 ml.",9.39,23.471,parafarmacia,cuidado e higiene facial,Cuidado facial y corporal,100 ML
Bombones surtidos Merci estuche 400 g.,9.39,23.47,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
"Café ristretto en cápsulas Carrefour Extra compatible con Nespresso pack de 50 unidades de 5,2 g.",9.39,36.12,la despensa,desayuno,"Cacao, café e infusiones",KILO
Crema de fresa con tequila Regidor botella 70 cl.,9.39,13.41,bebidas,alcoholes,Bodega,LITRO
Tarrito de verduritas con pollo desde 6 meses Hero Baby Buenas Noches sin gluten pack de 6 unidades 190 g.,9.39,7.83,bebe,alimentacion infantil,Bebé,KILO
Queso mini de cabra servilleta Carrefour 400 g,9.39,22.09,productos frescos,quesos,Charcutería y quesos,KILO
Toallitas DODOT Azul Recambio 6x64 Uds,9.39,0.02,bebe,panales y toallitas,Cuidado facial y corporal,UNIDAD
Compresas para incontinencia extra Discreet Tena 20 ud.,9.39,0.47,perfumeria e higiene,higiene intima,Cuidado facial y corporal,UNIDAD
Tarrito de guisantes tiernos con jamón cocido extra desde 6 meses Hero Baby sin gluten pack de 6 unidades de 190 g.,9.39,7.83,bebe,alimentacion infantil,Bebé,KILO
Crema para pieles sensibles e irritadas Talquistina 50 g.,9.39,18.781,parafarmacia,botiquin,Cuidado facial y corporal,100 ML
Tarrito de verduras con pescadilla a la crema desde 8 meses Hero Baby sin gluten pack de 6 unidades de 190 g.,9.39,7.83,bebe,alimentacion infantil,Bebé,KILO
"Café intenso en cápsulas Carrefour Extra compatible con Nespresso pack de 50 unidades de 5,2 g.",9.39,36.12,la despensa,desayuno,"Cacao, café e infusiones",KILO
Ambientador de lavavajillas aroma lima y limón Finish 2 ud.,9.35,4.67,limpieza y hogar,productos para cocina,Limpieza y hogar,UNIDAD
Ginebra Old Thames citrus 70 cl.,9.35,13.36,bebidas,alcoholes,Bodega,LITRO
Valderivero Crianza 2020,9.35,9.35,bebidas,vinos,Bodega,UNIDAD
Aceite rosa mosqueta 100% puro ecológico Arganour 50 ml.,9.35,18.701,parafarmacia,cuidado corporal,"Aceite, especias y salsas",100 ML
Cacao soluble sin azúcar añadido Cola Cao 700 g.,9.35,13.36,la despensa,desayuno,"Cacao, café e infusiones",KILO
Cinta dental con fluor y menta Vitis 2 ud.,9.35,4.67,parafarmacia,higiene bucal,Cuidado facial y corporal,UNIDAD
Preservativos Originales Natural Plus talla XL Durex 12 ud.,9.35,0.78,perfumeria e higiene,bienestar sexual,Fitoterapia y parafarmacia,UNIDAD
Solomillos de salmón ahumado noruego Royal pack de 2 unidades de 50 g.,9.35,93.5,productos frescos,pescaderia,"Aceite, especias y salsas",KILO
Biberón anticólico tetina de silicona flujo 3  1m+ Natural Response Philips Avent 260 ml.,9.29,9.29,parafarmacia,bebe,Bebé,UNIDAD
Tinte Classic 4N Castaño Farmatint 1 ud.,9.29,9.29,parafarmacia,cabello,Cuidado del cabello,UNIDAD
Tinte Classic 3N Castaño Oscuro Farmatint 1 ud.,9.29,9.29,parafarmacia,cabello,Cuidado del cabello,UNIDAD
Tinte Classic 1N Negro Farmatint 1 ud.,9.29,9.29,parafarmacia,cabello,Cuidado del cabello,UNIDAD
Miel de castaño De Nuestra Tierra 500 g.,9.29,18.58,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO
Fertilizante Universal Compo 1L,9.29,9.29,limpieza y hogar,bazar,"Aceite, especias y salsas",LITRO
Queso de mezcla tierno mini Carrefour pieza de 990 g,9.29,9.38,productos frescos,quesos,Charcutería y quesos,KILO
Maca en comprimidos Sanon 100 ud.,9.29,18.581,parafarmacia,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR
Detergente en polvo frescor alpino Carrefour Expert 70 lavados.,9.29,0.13,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO
Comida para conejos enanos Menú Aroma Vitakraft  3Kg.,9.29,3.1,mascotas,conejos y roedores,Mascotas,KILO
Tinte Classic 6N Rubio Oscuro Farmatint 1 ud.,9.29,9.29,parafarmacia,cabello,Cuidado del cabello,UNIDAD
Tinte Classic 6D Rubio Oscuro Dorado Farmatint 1 ud.,9.29,9.29,parafarmacia,cabello,Cuidado del cabello,UNIDAD
Queso de cabra tierno mini Carrefour 550 g,9.29,16.89,productos frescos,quesos,Charcutería y quesos,KILO
Tinte Classic 7D Rubio Dorado Farmatint 1 ud.,9.29,9.29,parafarmacia,cabello,Cuidado del cabello,UNIDAD
Tinte Classic 7N Rubio Farmatint 1 ud.,9.29,9.29,parafarmacia,cabello,Cuidado del cabello,UNIDAD
Tinte Classic 10N Rubio Platino Farmatint 1 ud.,9.29,9.29,parafarmacia,cabello,Cuidado del cabello,UNIDAD
Tinte Classic 5D Castaño Claro Dorado Farmatint 1 ud.,9.29,9.29,parafarmacia,cabello,Cuidado del cabello,UNIDAD
Tinte Classic 5N Castaño Claro Farmatint 1 ud.,9.29,9.29,parafarmacia,cabello,Cuidado del cabello,UNIDAD
Tinte Classic 8N Rubio Claro Farmatint 1 ud.,9.29,9.29,parafarmacia,cabello,Cuidado del cabello,UNIDAD
