Nombre,Precios,Precios_unidad,Subcategoria,Categorias,Unidad de referencia,Marca,Supermercado,Precio_Estatus
Pienso de pollo para perro adulto Yorkshire Terrier Ultima 3 Kg.,16.95,5.65,perros,Mascotas,KILO,,Carrefour,outlier
Vino tinto crianza tempranillo Portia Selección de Barricas D.O. Ribera de Duero 75 cl.,16.95,16.95,vinos,Bodega,UNIDAD,,Carrefour,outlier
Pienso de pollo para perro Senior Mini Ultima 3 Kg.,16.95,5.65,perros,Mascotas,KILO,,Carrefour,outlier
Paletilla de cordero lechal El Mercado 500 g aprox,16.95,33.9,carniceria,Carne,KILO,,Carrefour,outlier
Pienso de salmón para perro Medium Ultima 3 Kg.,16.9,5.63,perros,"Aceite, especias y salsas",KILO,,Carrefour,outlier
Set Weleda Caléndula: crema pañal 75 ml y champú - gel de ducha 200 ml.,16.9,16.9,bebe,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Crema protector solar antialergias solares FP50+ Sensitive Protección Nivea Sun 200 ml.,16.89,8.441,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Colutorio encías Vitis 1000 ml.,16.89,1.691,higiene bucal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Leche infantil de crecimiento desde 1 año a base de proteína de soja Velactín sin lactosa 800 g.,16.89,21.11,alimentacion infantil,Bebé,KILO,VELACTIN,Carrefour,outlier
"Ginebra Beefeater 0,0 sin alcohol 70 cl.",16.89,24.13,alcoholes,Bodega,LITRO,BEEFEATER,Carrefour,outlier
Espárrago blanco extra grueso 6/18 De Nuestra Tierra 350 g.,16.89,48.26,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,NUESTRA TIERRA,Carrefour,outlier
"Tanqueray 0,0",16.89,24.13,alcoholes,Bodega,LITRO,TANQUERAY,Carrefour,outlier
Fluido facial solar antimanchas Luminous 630 Nivea Sun 40 ml.,16.89,42.221,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Preparado lácteo de crecimiento 3 desde 12 meses Nutribén Crecimiento Pro + sin aceite de palma lata 800 g.,16.85,21.06,bebe,"Aceite, especias y salsas",KILO,NUTRIBEN,Carrefour,outlier
Detergente líquido jabón de Marsella Omino Bianco 67 lavados,16.85,0.25,cuidado de la ropa,Limpieza y hogar,LAVADO,,Carrefour,outlier
