Nombre,Precios,Precios_unidad,Subcategoria,Categorias,Unidad de referencia,Marca,Supermercado,Precio_Estatus
Detergente líquido Sensaciones Azul Colon 45 lavados.,13.55,0.3,cuidado de la ropa,Limpieza y hogar,LAVADO,,Carrefour,outlier
Leche infantil para lactantes en polvo Nestlé Nan Expert Pro sin lactosa 400 g.,13.55,33.87,bebe,Bebé,KILO,NAN,Carrefour,outlier
Café en grano espresso roast Starbucks 450 g.,13.55,30.11,desayuno,"Cacao, café e infusiones",KILO,STARBUCKS,Carrefour,outlier
Pañal All In 1 Day talla mediana Absodys Carrefour Soft 20 ud.,13.55,0.68,higiene intima,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Crema solar facial Anti-edad & Anti-manchas FP 50 Nivea Sun 50 ml.,13.55,27.101,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Crema fijadora para prótesis dentales Acción Total Corega 70 g.,13.55,19.361,higiene bucal,Cuidado facial y corporal,100 GR,,Carrefour,outlier
Pañales premium ultra protect Carrefour Baby T5 (11kg.-25kg) 36 ud.,13.49,0.37,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Champú de coco para cabello normal ecológico Urtekram 500 ml.,13.49,2.701,cabello,Cuidado del cabello,100 ML,,Carrefour,outlier
Base maquillaje líquida Facefinity All Day Flawless 3 In 1 SPF20 nº C80 Bronze Max Factor 1 ud.,13.49,13.49,cosmetica,Bodega,UNIDAD,,Carrefour,outlier
Pañales premium ultra protect Carrefour Baby T3 (4kg.-9kg.) 44 ud.,13.49,0.29,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Pañales Premium Ultra Protect Carrefour Baby T4 (7kg.-18kg.) 40 ud.,13.49,0.34,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Yzaguirre Vermouth,13.49,13.49,alcoholes,Bodega,LITRO,YZAGUIRRE,Carrefour,outlier
Champú de romero para cabello fino ecológico Urtekram 500 ml.,13.49,2.701,perfumeria e higiene,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Barritas sustituiva sabor yogur biManan sin gluten 304 g.,13.49,4.441,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,,Carrefour,outlier
Maquinilla afeitar desechable triple hoja Xtreme III Wilkinson 8 ud.,13.49,1.69,depilacion y afeitado,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Barritas sustitutivas sabor chocolate crujiente Bimanán BeKomplett sin gluten pack de 8 unidades de 35 g.,13.49,4.221,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,,Carrefour,outlier
Agua de colonia Go For It Sportman 250 ml.,13.49,5.401,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
"Aceite de oliva suave 0,4º La Española 1 l.",13.45,13.45,alimentacion,"Aceite, especias y salsas",LITRO,,Carrefour,outlier
Gel Dermo-Limpiador Mustela 750 ml,13.45,1.791,bebe,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Detergente líquido máxima eficacia Skio 33 lavados,13.45,0.41,cuidado de la ropa,Limpieza y hogar,LAVADO,,Carrefour,outlier
"Estuche Aire de Sevilla Azahar: colonia 150 ml, loción corporal 100 ml y gel de ducha 100 ml.",13.45,13.45,bano e higiene corporal,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
"Cacao soluble instantáneo Nestlé Nesquik sin gluten 2,7 kg.",13.45,4.98,desayuno,"Cacao, café e infusiones",KILO,NESQUIK,Carrefour,outlier
Agua de colonia Chicca Bonita Aire de Sevilla 150 ml.,13.39,8.931,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Gel facial hidratante antiedad Hyaluron Nivea Men 50 ml.,13.39,26.781,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Complemento alimenticio para el tránsito intestinal Roha-Max 130 g.,13.39,10.301,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,,Carrefour,outlier
Detergente líquido flor de naranjo y hojas cítricas ecológico Botanical Origin 35 lavados.,13.39,0.38,cuidado de la ropa,Limpieza y hogar,LAVADO,,Carrefour,outlier
Agua de colonia Bella Aire de Sevilla 150 ml.,13.35,8.901,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Bebida de café y cacao 200 ml. + topping Filipinos 10 g.,13.35,0.0,lacteos,"Cacao, café e infusiones",No especificado,FILIPINOS,Carrefour,outlier
Detergente en capsulas limpieza profunda Power Caps Wipp Express 33 ud.,13.35,0.4,cuidado de la ropa,Limpieza y hogar,LAVADO,,Carrefour,outlier
Máscara de pestañas Waterproff L'Oréal 1 ud.,13.35,13.35,cosmetica,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Máscara de pestañas volumen y longitud negro Paradise L'Oréal Paris 1 ud.,13.35,13.35,cosmetica,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Pañales Dodot Pro Sensitive recién nacido T0 -3 kg 38 ud.,13.35,0.35,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Papel higiénico Original Scottex 36 rollos.,13.35,0.37,papel y celulosa,Limpieza y hogar,UNIDAD,,Carrefour,outlier
Ambientador difusor aroma lavanda relajante Essential Mist aparato y recambio Air Wick 1 ud.,13.35,13.35,ambientadores,Limpieza y hogar,UNIDAD,,Carrefour,outlier
Ambientador difusor aroma explosión cítrica energizante Essential Mist aparato y recambio Air Wick 1 ud.,13.35,13.35,ambientadores,Limpieza y hogar,UNIDAD,,Carrefour,outlier
Papel higiénico Dermo Cuidado Scottex 18 rollos,13.35,0.74,papel y celulosa,Limpieza y hogar,UNIDAD,,Carrefour,outlier
Acondicionador repara & protege doble de nutrientes con 1 solo uso para cabello débil o dañado Nutri Pro-V Pantene 1000 ml.,13.35,1.331,cabello,Cuidado del cabello,100 ML,,Carrefour,outlier
Crema de manos rápida absorción Neutrogena 150 ml.,13.35,8.901,cuidado de manos y pies,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Queso de oveja madurado Cremositos del Zújar sin gluten 700 g aprox,13.33,19.04,quesos,Charcutería y quesos,KILO,CREMOSITOS DEL,Carrefour,outlier
Queso de mezcla semicurado García Baquero cuña de 750 g aprox,13.31,17.75,quesos,Charcutería y quesos,KILO,GARCIA BAQUERO,Carrefour,outlier
Tónico facial DermatoClean Eucerin 200 ml.,13.29,6.641,cuidado e higiene facial,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Preparado para batido de proteínas sabor galleta Whey Protein Sport Sensation Carrefour doy pack 400 g.,13.29,33.22,alimentacion,"Salsas, pasta y refrescos",KILO,,Carrefour,outlier
Ropa interior absorbente niño noche DryNites 4-7 años (17kg-30 kg.) 16 ud.,13.29,0.83,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Bruma protectora niños piel normal SPF50 Denenes Ecran 250 ml.,13.29,5.321,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Ropa interior absorbente niña noche DryNites 3-5 años (16kg-23 kg.) 16 ud.,13.29,0.83,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Limpiador control imperfecciones CeraVe 236 ml.,13.29,5.631,cuidado e higiene facial,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Ropa interior absorbente niño noche DryNites 3-5 años (16kg-23 kg.) 16 ud.,13.29,0.83,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Meritene fuerza y vitalidad chocolate sin gluten pack de 6 unidades de 125 ml.,13.29,1.771,nutricion y dietetica,Fitoterapia y parafarmacia,100 ML,,Carrefour,outlier
Ropa interior absorbente niña noche DryNites 8-15 años (27kg-57 kg.) 13 ud.,13.29,1.02,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Ropa interior absorbente niño noche DryNites 8-15 años (27kg-57 kg.) 13 ud.,13.29,1.02,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Tabletas limpiadoras para prótesis dentales Corega 66 ud.,13.29,0.22,higiene bucal,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Ropa interior absorbente niña noche DryNites 4-7 años (17kg-30 kg.) 16 ud.,13.29,0.83,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Preparado para batido de proteínas sabor chocolate Whey Protein Sport Sensation Carrefour doy pack 400 g.,13.29,33.22,alimentacion,"Salsas, pasta y refrescos",KILO,CARREFOUR,Carrefour,outlier
Café en grano natural espresso barista perfetto Lavazza 500 g.,13.25,26.5,desayuno,"Cacao, café e infusiones",KILO,LAVAZZA,Carrefour,outlier
Bogavante procedente de Pesca Sostenible crudo congelado Carrefour 400 g.,13.25,33.12,pescados congelados,Cuidado facial y corporal,KILO,CARREFOUR,Carrefour,outlier
Queso puro de oveja viejo graso Flor de Esgueva cuña 400 g,13.25,33.12,quesos,Charcutería y quesos,KILO,FLOR ESGUEVA,Carrefour,outlier
Café en grano natural de Colombia L'Or Espresso 500 g.,13.25,26.5,desayuno,"Cacao, café e infusiones",KILO,LOR,Carrefour,outlier
Complemento alimenticio detox y quemagrasas Aquilea 10 ud.,13.25,10.601,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,,Carrefour,outlier
Caramelos de goma Favoritos Red&White Haribo 1 kg.,13.19,13.19,dulce,"Azúcar, caramelos y chocolate",KILO,HARIBO,Carrefour,outlier
Estuche Bustamante Muy Mío Power: colonia natural spray 100 ml y megaspritzer 10 ml.,13.19,13.19,bano e higiene corporal,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Pure The Winery Sin Azúcar Blanco,13.19,0.0,vinos,Bodega,No especificado,PURE THE,Carrefour,outlier
Crema protección facial control de brillos efecto matificante FP50 Nivea Sun 50 ml.,13.19,26.381,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Agua de colonia natural spray Indigo Man Nike 200 ml.,13.19,6.591,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Aceite solar spray zanahoria FP6 Nivea Sun 200 ml.,13.19,6.591,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Lavavajillas a máquina en pastillas Quantum Finish Powerball 34 ud.,13.19,0.39,productos para cocina,Limpieza y hogar,LAVADO,,Carrefour,outlier
Protección facial UV Control de Brillos efecto matificante color tono medio Nivea Sun 50 ml.,13.19,26.381,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Leche dermo reafirmante y tonificante de senos Senobell E'lifexir 200 ml.,13.19,6.591,cuidado corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Caramelos de goma Favoritos Pica Haribo 1 kg.,13.19,13.19,dulce,"Azúcar, caramelos y chocolate",KILO,HARIBO,Carrefour,outlier
Pure The Winery Sin Azúcar Tinto,13.19,0.0,vinos,Bodega,No especificado,,Carrefour,outlier
Pazo Das Estrelas Blanco 2022,13.19,13.19,vinos,Bodega,UNIDAD,PAZO DAS,Carrefour,outlier
Vino blanco godello Conde del Pazo D.O. Bierzo 75 cl.,13.19,0.0,vinos,Bodega,No especificado,CONDE DEL,Carrefour,outlier
Spray aceite protector solar bronceador coco SPF50 Babaria 200 ml.,13.19,6.591,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Ginebra Rives original 1 l.,13.15,13.15,alcoholes,Bodega,LITRO,RIVES,Carrefour,outlier
Multivitamínico y multimineral en comprimidos Mujer 50+ Multicentrum sin gluten 30 ud.,13.15,26.841,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,,Carrefour,outlier
Multivitamínico y multimineral en comprimidos Hombre 50+ Multicentrum sin gluten 30 ud.,13.15,32.871,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,,Carrefour,outlier
Maquinilla ProGlide Gillette + Recambio 2 ud.,13.15,13.15,depilacion y afeitado,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Pants Pull-Ups niño Huggies T5 (12-17 kg) 34 ud.,13.09,0.38,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Crema fijadora Kukident Expert 40 g.,13.09,32.721,higiene bucal,Cuidado facial y corporal,100 GR,,Carrefour,outlier
Espárrago blanco de Navarra muy grueso De Nuestra Tierra 425 g.,13.09,30.8,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,NUESTRA TIERRA,Carrefour,outlier
Atún claro en aceite de oliva Albo pack de 6 latas de 54 g.,13.09,40.4,conservas sopas y precocinados,"Aceite, especias y salsas",KILO,,Carrefour,outlier
Champú árbol de té antibacterial ecológico Urtekram 500 ml.,13.09,2.621,cabello,"Cacao, café e infusiones",100 ML,,Carrefour,outlier
Spray aceite seco protector SPF30 Broncea+ Ecran Sunnique 200 ml.,13.09,6.541,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Pants Pull-Ups niña Huggies T5 (12-17 kg) 34 ud.,13.09,0.38,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Champú fortaleza anticaída Clearé Institute 400 ml.,13.09,3.271,cabello,Cuidado del cabello,100 ML,,Carrefour,outlier
Cepillo dental interdental 1.1 mini Interprox 14 ud.,13.09,0.94,higiene bucal,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Desodorante stick piel normal Roc Keops pack de 2 unidades de 40 ml.,13.09,16.361,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Pancake sabor a pepitas de chocolate +Protein Prozis 400 g.,13.09,32.72,dulce,"Azúcar, caramelos y chocolate",KILO,PROZIS,Carrefour,outlier
Detergente en cápsulas Trio Caps Adiós Al Separar Total 3+1 Dixan 34 lavados.,13.09,0.38,cuidado de la ropa,Limpieza y hogar,LAVADO,,Carrefour,outlier
Máscara de pestañas the falsies lash lift Maybelline 1 ud.,13.09,13.09,cosmetica,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
"Queso semicurado mezcla Tierra de Tradición pieza 1,1 kg.",13.09,11.9,quesos,Charcutería y quesos,KILO,TIERRA,Carrefour,outlier
Crema solar facial SPF 50+ Sensitive Nivea Sun 50 ml.,13.09,26.181,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Chinchón De Nuestra Tierra dulce 1 l.,13.09,13.09,licores y cremas,Bodega,LITRO,NUESTRA TIERRA,Carrefour,outlier
Tallarines con pollo al curry Ta-Tung 1 kg aprox,13.0,13.0,platos preparados cocinados,"Arroz, legumbres y pasta",KILO,,Carrefour,outlier
Desconocido,12.99,1.3,perros,Mascotas,KILO,,Carrefour,outlier
Paletilla de cordero envasado al vacío 500 g aprox AC,12.95,25.9,carniceria,Carne,KILO,,Carrefour,outlier
Escalopines de salmón ecológico Carrefour Bio 270 g,12.95,47.96,pescaderia,"Aceite, especias y salsas",KILO,CARREFOUR,Carrefour,outlier
Tarta infantil 1 kg,12.9,12.9,panaderia tradicional,Panadería y pastelería,KILO,TARTA INFANTIL,Carrefour,outlier
Tarta de chocolate suprema 850 g,12.9,15.18,panaderia tradicional,Panadería y pastelería,KILO,,Carrefour,outlier
Aceite de oliva virgen extra De Nuestra Tierra 1 l.,12.89,12.89,alimentacion,"Aceite, especias y salsas",LITRO,,Carrefour,outlier
Atún claro en aceite de oliva virgen extra Albo pack de 6 latas de 54 g.,12.89,39.78,conservas sopas y precocinados,"Aceite, especias y salsas",KILO,,Carrefour,outlier
Agua de colonia Colección Floral nº 1 Azahar Radiante Victorio & Lucchino 150 ml.,12.89,8.591,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Ambientador automático freshmatic fragancia white bouquet recambio Air Wick 3 ud.,12.89,4.3,ambientadores,Limpieza y hogar,UNIDAD,,Carrefour,outlier
Ambientador automático freshmatic Nenuco recambio Air Wick 3 ud.,12.89,4.3,ambientadores,Limpieza y hogar,UNIDAD,,Carrefour,outlier
Ambientador eléctrico fragancia a lirio de luna y satén de seda recambio Air Wick 3 ud.,12.89,4.3,ambientadores,"Cacao, café e infusiones",UNIDAD,,Carrefour,outlier
Aceite de oliva virgen extra De Nuestra Tierra lata 1 l.,12.89,12.89,alimentacion,"Aceite, especias y salsas",LITRO,,Carrefour,outlier
Calamar 1 kg aprox,12.89,12.89,pescaderia,Marisco y pescado,KILO,,Carrefour,outlier
Agua de colonia Colección Floral nº 2 Rosa Fresca Victorio & Lucchino 150 ml.,12.89,8.591,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Salmón ahumado noruego Extra Carrefour pack de 2 unidades de 180 g.,12.89,35.81,pescaderia,"Aceite, especias y salsas",KILO,CARREFOUR,Carrefour,outlier
Queso gouda en lonchas Miraflores sin gluten 1 kg.,12.89,12.89,quesos,Charcutería y quesos,KILO,MIRAFLORES,Carrefour,outlier
Fluido protector facial con ácido hialurónico SPF50+ Anti-manchas & Anti-polución Super UV Garnier Delial 40 ml.,12.89,32.221,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Aloe vera Juvamine 500 ml.,12.89,2.581,alimentacion,"Salsas, pasta y refrescos",100 ML,,Carrefour,outlier
Agua de colonia Colección Floral nº 4 Peonia Imperial Victorio & Lucchino 150 ml.,12.89,8.591,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Whisky Ballantine's escocés 70 cl.,12.89,18.41,alcoholes,Bodega,LITRO,BALLANTINE,Carrefour,outlier
Aceite de oliva virgen extra picual Oro Bailén 500 ml.,12.89,25.78,alimentacion,"Aceite, especias y salsas",LITRO,ORO BAILEN,Carrefour,outlier
"Champagne Charles de Courance brut 37,5 cl.",12.89,12.89,cava y champagne,Bodega,UNIDAD,CHARLES COURANCE,Carrefour,outlier
Agua de colonia Aguas Masculinas nº 3 Seducción magnética Victorio & Lucchino 150 ml.,12.89,8.591,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Meritene fuerza y vitalidad vainilla sin gluten pack de 6 unidades de 125 ml.,12.89,1.721,nutricion y dietetica,Fitoterapia y parafarmacia,100 ML,,Carrefour,outlier
Agua de colonia Aguas Masculinas nº 2 Frescor Extremo Victorio & Lucchino 150 ml.,12.89,8.591,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Crema facial de día FP30 con Q10 natural & creatina Q10 Power Antiarrugas + Firmeza Nivea 50 ml.,12.89,25.781,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Ambientador eléctrico fragancia delicias de verano Essential Oils recambio Air Wick 3 ud.,12.89,4.3,ambientadores,Limpieza y hogar,UNIDAD,,Carrefour,outlier
Desmaquillante de ojos DermatoClean Eucerin 125 ml.,12.89,10.311,cuidado e higiene facial,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Pañales Carrefour Baby 0% Talla 2 (3-6 kg) 39 ud.,12.89,0.33,panales y toallitas,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Aceite de oliva virgen extra arbequina Oro Bailén 500 ml.,12.89,25.78,alimentacion,"Aceite, especias y salsas",LITRO,ORO BAILEN,Carrefour,outlier
La Gula del Norte pack de 3 unidades de 200 g.,12.89,21.48,pescaderia,Marisco y pescado,KILO,GULA DEL,Carrefour,outlier
Agua de colonia Si Quiero Aire de Sevilla 150 ml.,12.89,8.591,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Caramelos de goma Favoritos Haribo 1 kg.,12.85,12.85,dulce,"Azúcar, caramelos y chocolate",KILO,HARIBO,Carrefour,outlier
Multivitamínico y multimineral con ginseng y ginkgo en comprimidos Plus Multicentrum sin gluten 30 ud.,12.85,34.731,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,,Carrefour,outlier
Caramelos de goma Favoritos Classic Haribo 1 kg.,12.85,12.85,dulce,"Azúcar, caramelos y chocolate",KILO,HARIBO,Carrefour,outlier
Viñas Del Vero Col. Gewürztraminer Gewurtztraminer 2022,12.79,12.79,vinos,Bodega,UNIDAD,DEL VERO,Carrefour,outlier
Café espresso en cápsulas Lavazza compatible con Nespresso 30 ud.,12.79,74.8,desayuno,"Cacao, café e infusiones",KILO,LAVAZZA,Carrefour,outlier
Detergente gel extra frescor Nenuco Colon 60 lavados.,12.79,0.21,cuidado de la ropa,Cuidado facial y corporal,LAVADO,,Carrefour,outlier
Triptófano con magnesio + Vitamina B6 en comprimidos Ana María Lajusticia sin gluten 60 ud.,12.79,18.271,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,,Carrefour,outlier
Anillo intense orgasmic vibrations Durex 1 ud,12.75,12.75,bienestar sexual,Fitoterapia y parafarmacia,UNIDAD,,Carrefour,outlier
Salmón ahumado noruego Royal pack de 2 unidades de 80 g.,12.75,79.69,pescaderia,"Aceite, especias y salsas",KILO,ROYAL,Carrefour,outlier
Gel-Champú espumoso Suavinex 750 ml.,12.75,1.701,bebe,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Colirio para ojos secos hidrata y lubrica Optrex 10 ml.,12.75,127.501,botiquin,Fitoterapia y parafarmacia,100 ML,,Carrefour,outlier
Colágeno + Magnesio en comprimidos Aquilea 240 ud.,12.75,7.701,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,,Carrefour,outlier
Queso de mezcla tierno El Ventero sin lactosa 550 g,12.75,23.18,quesos,Charcutería y quesos,KILO,VENTERO,Carrefour,outlier
Champú anticaída Pilexil 300 ml.,12.75,4.251,cabello,Cuidado del cabello,100 ML,,Carrefour,outlier
Habla Del Silencio Tinto 2021,12.75,12.75,vinos,Bodega,UNIDAD,HABLA DEL,Carrefour,outlier
Hacienda Lopez De Haro Tinto Reserva 2016,12.75,12.75,vinos,Bodega,UNIDAD,HACIENDA LOPEZ,Carrefour,outlier
Gel de baño suave cuerpo y cabello Mustella 500 ml.,12.75,2.551,perfumeria e higiene,Cuidado facial y corporal,100 ML,,Carrefour,outlier
"Café ristretto en cápsulas Marcilla compatible con Nespresso 40 unidades de 5,2 g.",12.69,61.01,desayuno,"Cacao, café e infusiones",KILO,MARCILLA,Carrefour,outlier
"Ginebra London Dry Old Thames 1,5 l.",12.69,8.46,alcoholes,Bodega,LITRO,CARREFOUR,Carrefour,outlier
Media Bacalada Salada Carrefour El Mercado 800 g,12.69,15.86,pescaderia,"Aceite, especias y salsas",KILO,CARREFOUR,Carrefour,outlier
Lavavajillas a máquina en gel ecológico 0% Finish 50 lavados,12.69,0.25,productos para cocina,Cuidado facial y corporal,LAVADO,,Carrefour,outlier
El Hayedo Tinto Crianza 2020,12.69,12.69,vinos,Bodega,UNIDAD,HAYEDO,Carrefour,outlier
"Café intenso en cápsulas Marcilla compatible con Nespresso 40 unidades de 5,2 g.",12.69,61.01,desayuno,"Cacao, café e infusiones",KILO,MARCILLA,Carrefour,outlier
Crema regeneradora de los pies muy secos. Eucerin 100 ml.,12.65,12.651,cuidado de manos y pies,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Crema solar kids SPF50 Science Les Cosmetiques 400 ml.,12.65,3.161,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,LCS SCIENCE,Carrefour,outlier
Loción protector solar mineral SPF50+ ecológico Science Les Cosmétiques 100 ml.,12.65,12.651,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Miel de flores de montaña Mel Da Anta 800 g.,12.65,15.81,dulce,"Azúcar, caramelos y chocolate",KILO,ANTA,Carrefour,outlier
Biberón de cristal anticólicos 0 meses tetina inclinada de silicona NaturalFeeling Chicco 250 ml.,12.65,12.65,puericultura,Bebé,UNIDAD,,Carrefour,outlier
Barra de labios Superstay 24h 640 Nude Pink Maybelline 1 ud.,12.65,12.65,cosmetica,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Café en grano blonde espresso roast Starbucks 450 g.,12.65,28.11,desayuno,"Cacao, café e infusiones",KILO,STARBUCKS,Carrefour,outlier
Colutorio blanqueadora Vitis 500 ml.,12.65,2.531,higiene bucal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
"Triptófano con melatonina, magnesio y vitamina B6 en comprimidos Ana María Lajusticia sin gluten 60 ud.",12.65,24.801,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,,Carrefour,outlier
Agua de colonia Azul Fresh Aire de Sevilla 150 ml.,12.65,8.431,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Barra de labios Superstay 24h 135 Perpetual Rose Maybelline 1 ud.,12.65,12.65,cosmetica,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Barra de labios Superstay 24h 760 Pink Spice Maybelline 1 ud.,12.65,12.65,cosmetica,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Agua de colonia Rosé Aire de Sevilla 150 ml.,12.65,8.431,bano e higiene corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Limpiadora crema-espuma hidratante CeraVe 236 ml.,12.59,5.331,cuidado e higiene facial,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Lavavajillas a mano profesional Fairy 5 l.,12.59,2.52,productos para cocina,Limpieza y hogar,LITRO,,Carrefour,outlier
Liquido lentillas ecológico True Bausch + Lomb 300 ml.,12.59,4.201,botiquin,Fitoterapia y parafarmacia,100 ML,,Carrefour,outlier
Salchichón de VIC ecológico I.G.P. pieza Embutidos Salgot 200 g,12.59,57.23,charcuteria,"Aceite, especias y salsas",KILO,SALGOT VIC,Carrefour,outlier
Langostino cocido extra Pescanova 800 g.,12.59,15.74,mariscos congelados,Congelados,KILO,PESCANOVA,Carrefour,outlier
Langostino extra crudo Pescanova 800 g.,12.59,15.74,mariscos congelados,Congelados,KILO,PESCANOVA,Carrefour,outlier
Enrelax Forte Aquilea 30 comprimidos.,12.55,41.831,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,,Carrefour,outlier
Caja de 6 botellas de vino blanco verdejo Caballito de Mar D.O. Rueda 75 cl.,12.55,12.55,vinos,Bodega,UNIDAD,CABALLITO MAR,Carrefour,outlier
Valeriana forte en comprimidos Kneipp sin gluten sin lactosa 30 ud.,12.55,69.721,nutricion y dietetica,Fitoterapia y parafarmacia,100 GR,,Carrefour,outlier
Gel limpiador hidratante Cerave 473 ml.,12.55,2.871,cuidado e higiene facial,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Sepia limpia 900 g aprox,12.5,13.89,pescaderia,Marisco y pescado,KILO,,Carrefour,outlier
Bolígrafos Borrables Frixion Ball Surtidos 4 uds,12.49,3.12,papeleria,papeleria,UNIDAD,,Carrefour,outlier
Whisky J&B escocés 70 cl,12.49,17.84,alcoholes,Bodega,LITRO,,Carrefour,outlier
Spray leche protector solar SPF50 Sunnique Ecran 270 ml.,12.49,4.161,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,,Carrefour,outlier
Maquinillas desechables para hombre Blue3 Sensitive Gillette 8 ud.,12.49,1.25,depilacion y afeitado,Cuidado facial y corporal,UNIDAD,,Carrefour,outlier
Pacharán De Nuestra Tierra 70 cl.,12.49,17.84,licores y cremas,Bodega,LITRO,NUESTRA TIERRA,Carrefour,outlier
Entrecot de Vacuno Raza Rubia Gallega Madurado El Encinar de Humienta 500 g aprox,12.45,24.9,carniceria,Carne,KILO,,Carrefour,outlier
Aceite de oliva virgen extra arbequina K Argiñano 750 ml.,12.45,16.6,alimentacion,"Aceite, especias y salsas",LITRO,KARLOS RSI,Carrefour,outlier
Leche infantil para lactantes en polvo classic 1 Hero Nutrasense 1 lata 800 g,12.45,15.56,alimentacion infantil,Bebé,KILO,HERO,Carrefour,outlier
