Nombre,Categoria1,Categoria2,UM,Precio Unitario,Precio,categoria_principal,Marca
Limpiador multiusos con lejía Sanicentro spray 750 ml,Limpieza y hogar,Limpia muebles y multiusos,LITRO,2.73,2.05,Limpieza y hogar,otra
Snack para perros Pedigree Rodeo bolsa 70 g,Mascotas,Perros,KILO,28.43,1.99,Mascotas,otra
Alimento para gatos salmón Friskies bolsa 3 Kg,Mascotas,Gatos,KILO,3.23,9.69,Mascotas,otra
Suavizante concentrado talco rosa San botella 59 lavados,Limpieza y hogar,Cuidado de la ropa,LAVADO,0.04,2.49,Limpieza y hogar,otra
Atún en aceite de girasol Isabel lata 6 x 52 g,"Conservas, caldos y cremas","Atún, bonito y caballa",KILO,19.07,5.95,"Conservas, caldos y cremas",otra
Alimento para gatos con carne tarro As Dia lata 340 g,Mascotas,Gatos,KILO,6.62,2.25,Mascotas,Dia
Alimento para gatos gourmet mix pescado As Dia lata 4 x 85 g,Mascotas,Gatos,KILO,6.62,2.25,Mascotas,Dia
Filetes de caballa del sur en aceite de girasol Ubago lata 65 g,"Conservas, caldos y cremas","Atún, bonito y caballa",KILO,23.85,1.55,"Conservas, caldos y cremas",otra
Insecticida eléctrico antimosquitos aparato + 2 recambios Bloom caja 1 unidad,Limpieza y hogar,Insecticidas,UNIDAD,7.99,7.99,Limpieza y hogar,otra
Atún claro en aceite de oliva Calvo lata 3 x 52 g,"Conservas, caldos y cremas","Atún, bonito y caballa",KILO,28.53,4.45,"Conservas, caldos y cremas",otra
Alubia negra Vegecampo de Dia bolsa 500 g,"Arroz, pastas y legumbres",Alubias,KILO,2.4,1.2,"Arroz, legumbres y pastas",Dia
Atún claro al natural Calvo lata 3 x 52 g,"Conservas, caldos y cremas","Atún, bonito y caballa",KILO,20.83,3.5,"Conservas, caldos y cremas",otra
Bolsita perfumada aroma lavanda DIA DIA  BOLSA 3 UD,Limpieza y hogar,Insecticidas y ambientadores,UNIDAD,0.6,1.79,Limpieza y hogar,otra
Alimento para perros con pollo y cordero Pedigree tarrina 300 g,Mascotas,Perros,KILO,9.63,2.89,Mascotas,otra
Atún con tomate Isabel lata 3 x 52 g,"Conservas, caldos y cremas","Atún, bonito y caballa",KILO,20.45,3.19,"Conservas, caldos y cremas",otra
Cerveza extra malta Ramblers de Dia lata 33 cl,"Cervezas, vinos y bebidas con alcohol",Cervezas especiales,LITRO,1.67,0.55,Bodega,Dia
Alubias blancas cocidas Legumbres La Asturiana frasco 400 g,"Arroz, pastas y legumbres",Alubias,KILO,4.25,1.7,"Arroz, legumbres y pastas",otra
Lejía ropa densa perfumada Dia garrafa 2 l,Limpieza y hogar,Cuidado de la ropa,LITRO,0.6,1.2,Limpieza y hogar,Dia
Alimento para perros mini Ultima bolsa 1.5 Kg,Mascotas,Perros,KILO,5.1,7.65,Mascotas,otra
Alubias blancas con verduras Vegecampo de Dia frasco 400 g,"Arroz, pastas y legumbres",Alubias,KILO,2.88,1.15,"Arroz, legumbres y pastas",Dia
Ventresca de atún claro en aceite de oliva Mari Marinera de Dia lata 78 g,"Conservas, caldos y cremas","Atún, bonito y caballa",KILO,44.87,3.5,"Conservas, caldos y cremas",Dia
Cerveza reserva 1925 Alhambra botella 4 x 33 cl,"Cervezas, vinos y bebidas con alcohol",Cervezas especiales,LITRO,4.46,5.89,Bodega,otra
Descalcificador de lavadora en pastillas Calgon caja 15 unidades,Limpieza y hogar,Cuidado de la ropa,UNIDAD,0.53,7.99,Limpieza y hogar,otra
Cerveza 1900 Ambar botella 33 cl,"Cervezas, vinos y bebidas con alcohol",Cervezas especiales,LITRO,4.52,1.49,Bodega,otra
Alimento para perros menú mix completo y variado con buey As Dia bolsa 4 Kg,Mascotas,Perros,KILO,1.75,6.99,Mascotas,Dia
Cerveza Budweiser lata 33 cl,"Cervezas, vinos y bebidas con alcohol",Cervezas especiales,LITRO,2.88,0.95,Bodega,otra
Lejía Neutrex garrafa 1.9 l,Limpieza y hogar,Cuidado de la ropa,LITRO,1.57,2.99,Limpieza y hogar,otra
Cerveza Franz botella 50 cl,"Cervezas, vinos y bebidas con alcohol",Cervezas especiales,LITRO,3.4,1.7,Bodega,otra
Atún claro en aceite de oliva bajo en sal Calvo lata 3 x 52 g,"Conservas, caldos y cremas","Atún, bonito y caballa",KILO,28.53,4.45,"Conservas, caldos y cremas",otra
Cerveza reserva especial 1906 botella 6 x 33 cl,"Cervezas, vinos y bebidas con alcohol",Cervezas especiales,LITRO,3.68,7.29,Bodega,otra
Calabacín unidad aprox. 475 g,Verduras,"Calabacín, calabaza y berenjena",KILO,1.79,0.85,Fruta y verdura,otra
Povidona iodada 10% Bonté Equity de Dia bote 125 ml,"Perfumería, higiene, salud",Parafarmacia,100 ML.,1.4,1.75,Fitoterapia y parafarmacia,Dia
Calabaza unidad aprox. 1.6 Kg,Verduras,"Calabacín, calabaza y berenjena",KILO,1.89,3.02,Fruta y verdura,otra
Cerveza con limón Shandy lata 33 cl,"Cervezas, vinos y bebidas con alcohol",Cervezas con limón,LITRO,2.58,0.85,Bodega,otra
Protector labial original Liposan blister 1 unidad,"Perfumería, higiene, salud",Parafarmacia,UNIDAD,2.75,2.75,Fitoterapia y parafarmacia,otra
Maquinilla desechable mujer Gillette Blue II blister 5 unidades,"Perfumería, higiene, salud",Depilación,UNIDAD,0.6,2.99,Fitoterapia y parafarmacia,otra
Cerveza con limón Mahou Mixta lata 33 cl,"Cervezas, vinos y bebidas con alcohol",Cervezas con limón,LITRO,2.39,0.79,Bodega,Mahou
"Cerveza 0,0% alcohol Ramblers de Dia lata 33 cl","Cervezas, vinos y bebidas con alcohol",Cervezas sin alcohol,LITRO,1.06,0.35,Bodega,Dia
"Cerveza 0,0% alcohol Buckler lata 33 cl","Cervezas, vinos y bebidas con alcohol",Cervezas sin alcohol,LITRO,2.39,0.79,Bodega,otra
Cerveza con limón Shandy botella 6 x 25 cl,"Cervezas, vinos y bebidas con alcohol",Cervezas con limón,LITRO,2.13,3.19,Bodega,otra
Berenjena granel 800 g aprox.,Verduras,"Calabacín, calabaza y berenjena",KILO,1.89,1.51,Fruta y verdura,otra
Berberechos al natural Dani lata 63 g,"Conservas, caldos y cremas",Berberechos,KILO,49.21,3.1,"Conservas, caldos y cremas",otra
Huevos de chocolate relleno de leche y avellanas Kinder bolsa 200 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,19.95,3.99,"Azúcar, caramelos y chocolate",Kinder
Huevo de chocolate con sorpresa Kinder 20 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,65.0,1.3,"Azúcar, caramelos y chocolate",Kinder
Discos desmaquilladores Demak up bolsa 70 unidades,"Perfumería, higiene, salud",Parafarmacia,UNIDAD,0.03,2.19,Fitoterapia y parafarmacia,otra
Berberechos al natural 45/55 piezas Mari Marinera de Dia lata 63 g,"Conservas, caldos y cremas",Berberechos,KILO,57.14,3.6,"Conservas, caldos y cremas",Dia
Mini barritas de galleta recubiertas de chocolate Kit Kat bolsa 200 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,13.95,2.79,"Azúcar, caramelos y chocolate",otra
Barrita de proteínas sabor chocolate Just loading bolsa 20 g,"Perfumería, higiene, salud",Complementos nutricionales,KILO,50.0,1.0,Fitoterapia y parafarmacia,otra
Solución única para lentes Senti2 bote 360 ml,"Perfumería, higiene, salud",Parafarmacia,100 ML.,1.11,3.99,Fitoterapia y parafarmacia,otra
Gasas no tejidas Botikit de Dia bolsa 100 unidades,"Perfumería, higiene, salud",Parafarmacia,UNIDAD,0.02,1.95,Fitoterapia y parafarmacia,Dia
Stick de árnica Botikit de Dia caja 1 unidad,"Perfumería, higiene, salud",Parafarmacia,UNIDAD,4.0,4.0,Fitoterapia y parafarmacia,Dia
Esparadrapo hipoalergénico en tejido sin tejer Botikit de Dia caja 5 m,"Perfumería, higiene, salud",Parafarmacia,METRO,0.24,1.2,Fitoterapia y parafarmacia,Dia
Tiritas surtidas Botikit de Dia caja 30 unidades,"Perfumería, higiene, salud",Parafarmacia,UNIDAD,0.03,0.99,Fitoterapia y parafarmacia,Dia
Quitaesmalte acetona pura Imaqe de Dia botella 200 ml,"Perfumería, higiene, salud",Quitaesmalte,100 ML.,0.85,1.7,Fitoterapia y parafarmacia,Imaqe de Dia
Quitaesmalte sin acetona Imaqe de Dia botella 200 ml,"Perfumería, higiene, salud",Quitaesmalte,100 ML.,0.65,1.3,Fitoterapia y parafarmacia,Imaqe de Dia
Quitaesmalte con acetona Imaqe de Dia botella 200 ml,"Perfumería, higiene, salud",Quitaesmalte,100 ML.,0.58,1.15,Fitoterapia y parafarmacia,Imaqe de Dia
Maravillas de mar al ajillo Mari Marinera de Dia lata 50 g,"Conservas, caldos y cremas",Otras conservas de pescado,KILO,29.0,1.45,"Conservas, caldos y cremas",Dia
Mandarina granel 500 g aprox.,Frutas,Naranjas y mandarinas,KILO,2.29,1.15,Fruta y verdura,otra
Mejillones cocidos en su jugo Aguinamar bolsa 1 Kg,"Pescados, mariscos y ahumados",Mariscos,KILO,4.99,4.99,Marisco y pescado,otra
Garbanzo pedrosillano Luengo bolsa 1 Kg,"Arroz, pastas y legumbres",Garbanzos,KILO,3.35,3.35,"Arroz, legumbres y pastas",otra
Garbanzos Luengo bolsa 1 Kg,"Arroz, pastas y legumbres",Garbanzos,KILO,3.79,3.79,"Arroz, legumbres y pastas",otra
Gaseosa Geiser botella 1.5 l,"Agua, refrescos y zumos",Gaseosa,LITRO,1.17,1.75,Agua y refrescos,otra
Lentejas cocidas Vegecampo de Dia frasco 400 g,"Arroz, pastas y legumbres",Lentejas,KILO,2.0,0.8,"Arroz, legumbres y pastas",Dia
Gaseosa La Casera botella 50 cl,"Agua, refrescos y zumos",Gaseosa,LITRO,1.62,0.81,Agua y refrescos,otra
Calamar en su tinta Calvo lata 3 x 48 g,"Conservas, caldos y cremas",Otras conservas de pescado,KILO,20.49,2.95,"Conservas, caldos y cremas",otra
Gaseosa en polvo edulcorado El tigre sobre 39 g,"Agua, refrescos y zumos",Gaseosa,KILO,20.51,0.8,Agua y refrescos,otra
Mejillones en salsa vieira 13/18 piezas Isabel lata 69 g,"Conservas, caldos y cremas",Mejillones,KILO,31.74,2.19,"Conservas, caldos y cremas",otra
Lenteja pardina Legumbres La Asturiana bolsa 500 g,"Arroz, pastas y legumbres",Lentejas,KILO,4.9,2.45,"Arroz, legumbres y pastas",otra
Mejillones en escabeche Mari Marinera de Dia lata 3 x 43 g,"Conservas, caldos y cremas",Mejillones,KILO,17.75,2.29,"Conservas, caldos y cremas",Dia
Mejillones en escabeche 13/18 piezas Mari Marinera de Dia lata 69 g,"Conservas, caldos y cremas",Mejillones,KILO,25.94,1.79,"Conservas, caldos y cremas",Dia
Garbanzo cocido Legumbres La Asturiana frasco 400 g,"Arroz, pastas y legumbres",Garbanzos,KILO,4.25,1.7,"Arroz, legumbres y pastas",otra
Ensalada mediterránea de atún Al Punto Dia lata 150 g,"Conservas, caldos y cremas",Otras conservas de pescado,KILO,8.33,1.25,"Conservas, caldos y cremas",Dia
Ensalada milanesa de atún Al Punto Dia lata 150 g,"Conservas, caldos y cremas",Otras conservas de pescado,KILO,8.33,1.25,"Conservas, caldos y cremas",Dia
Gaseosa cero Gaseosa Dia botella 50 cl,"Agua, refrescos y zumos",Gaseosa,LITRO,0.64,0.32,Agua y refrescos,Dia
Lenteja pardina Legumbres La Asturiana bolsa 1 Kg,"Arroz, pastas y legumbres",Lentejas,KILO,4.75,4.75,"Arroz, legumbres y pastas",otra
Mejillones en escabeche Isabel lata 3 x 43 g,"Conservas, caldos y cremas",Mejillones,KILO,29.38,3.79,"Conservas, caldos y cremas",otra
Mejillones de Chile en salsa vieira 13/18 piezas Mari Marinera de Dia lata 69 g,"Conservas, caldos y cremas",Mejillones,KILO,21.01,1.45,"Conservas, caldos y cremas",Dia
Mejillones de Chile en escabeche picante 14/18 piezas Mari Marinera de Dia lata 69 g,"Conservas, caldos y cremas",Mejillones,KILO,21.01,1.45,"Conservas, caldos y cremas",Dia
Lenteja roja pelada Luengo bolsa 400 g,"Arroz, pastas y legumbres",Lentejas,KILO,5.98,2.39,"Arroz, legumbres y pastas",otra
Mejillones en escabeche pequeños Isabel lata 69 g,"Conservas, caldos y cremas",Mejillones,KILO,23.91,1.65,"Conservas, caldos y cremas",otra
Chipirones rellenos en salsa americana Lamberti lata 72 g,"Conservas, caldos y cremas",Otras conservas de pescado,KILO,34.03,2.45,"Conservas, caldos y cremas",otra
Jamón serrano en taquitos Navidul bandeja 100 g,Charcutería y quesos,Jamón curado y paleta,KILO,20.0,2.0,Charcutería y quesos,otra
Sofrito tomate y cebolla Gallina Blanca frasco 350 g,"Aceites, salsas y especias",Tomate,KILO,6.83,2.39,"Aceite, especias y salsas",otra
Gel íntimo aloe vera Carefree tubo 200 ml,"Perfumería, higiene, salud",Gel de ducha y esponjas,100 ML.,1.8,3.6,Fitoterapia y parafarmacia,otra
Bebida energética Red bull lata 355 ml,"Agua, refrescos y zumos",Bebidas energéticas,LITRO,5.61,1.99,Agua y refrescos,otra
Bebida energética zero El diablo de Dia lata 250 ml,"Agua, refrescos y zumos",Bebidas energéticas,LITRO,1.6,0.4,Agua y refrescos,Dia
Dulce de leche Mardel frasco 450 g,"Azúcar, chocolates y caramelos",Cremas de cacao,KILO,7.0,3.15,"Azúcar, caramelos y chocolate",otra
Salteado de setas Al Punto Dia bolsa 450 g,Congelados,"Verduras, hortalizas y salteados",KILO,3.67,1.65,Congelados,Dia
Tortitas de maíz Bicentury bolsa 130 g,"Galletas, bollos y cereales",Tortitas,KILO,13.77,1.79,Cereales y galletas,otra
Spray protector solar spf 30 Delial bote 300 ml,"Perfumería, higiene, salud",Cremas solares,100 ML.,4.43,11.95,Fitoterapia y parafarmacia,otra
Aftersun leche hidratante reparadora Ecran botella 400 ml,"Perfumería, higiene, salud",Cremas solares,100 ML.,1.75,6.99,Fitoterapia y parafarmacia,otra
Sardinas en aceite de oliva Mari Marinera de Dia lata 85 g,"Conservas, caldos y cremas",Sardinas y sardinillas,KILO,11.65,0.99,"Conservas, caldos y cremas",Dia
Tomate frito Solís brik 350 g,"Aceites, salsas y especias",Tomate,KILO,2.83,0.99,"Aceite, especias y salsas",otra
Paella de marisco Al Punto Dia bolsa 600 g,Congelados,"Verduras, hortalizas y salteados",KILO,4.65,2.79,Congelados,Dia
Pizza 4 quesos Al Punto Dia caja 400 g,Congelados,"Pizzas, bases y masas",KILO,6.23,2.49,Congelados,Dia
Croquetas de jamón Al Punto Dia bolsa 500 g,Congelados,Croquetas y rebozados,KILO,2.5,1.25,Congelados,Dia
Pannini jamón y queso Dr. Oetker caja 250 g,Congelados,"Pizzas, bases y masas",KILO,13.56,3.39,Congelados,otra
Helado cono de fresa o limón 4 unidades Temptation de Dia caja 272 g,Congelados,Helados y hielo,KILO,6.58,1.79,Congelados,Dia
Anillas a la romana Mari Marinera de Dia bolsa 400 g,Congelados,Pescado y marisco,KILO,8.6,3.44,Congelados,Dia
Langostino crudo grande 32/48 piezas Mari Marinera de Dia caja 800 g,Congelados,Pescado y marisco,KILO,9.99,7.99,Congelados,Dia
Queso fresco 0% m.g Dia Láctea tarrina 4 x 62.5 g,Charcutería y quesos,Queso fresco,KILO,4.16,1.04,Charcutería y quesos,Dia Láctea
Bacon Oscar mayer sobre 150 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,15.27,2.29,Charcutería y quesos,otra
Magro de cerdo cocido Nuestra Alacena de Dia lata 200 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,11.75,2.35,Charcutería y quesos,Nuestra Alacena
Queso tierno de cabra El Cencerro de Dia bandeja 550 g,Charcutería y quesos,"Queso curado, semicurado y tierno",KILO,14.16,7.79,Charcutería y quesos,Dia
Queso tierno El Cencerro de Dia sobre 250 g,Charcutería y quesos,"Queso curado, semicurado y tierno",KILO,9.4,2.35,Charcutería y quesos,Dia
Queso fresco 0% m.g Burgo de Arias tarrina 3 x 72 g,Charcutería y quesos,Queso fresco,KILO,13.84,2.99,Charcutería y quesos,otra
Mostaza original Salseo de Dia bote 250 g,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",KILO,4.2,1.05,"Aceite, especias y salsas",Dia
Salsa mejicana Old El Paso frasco 312 g,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",KILO,10.87,3.39,"Aceite, especias y salsas",otra
Mayonesa Salseo de Dia frasco 450 ml,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",LITRO,3.0,1.35,"Aceite, especias y salsas",Dia
Queso tierno El Cencerro de Dia 1 Kg,Charcutería y quesos,"Queso curado, semicurado y tierno",KILO,8.4,8.4,Charcutería y quesos,Dia
Chorizo dulce Palacios bolsa 250 g,Charcutería y quesos,"Lomo, chorizo, fuet, salchichón",KILO,15.16,3.79,Charcutería y quesos,otra
Queso mezcla 4 quesos rallado Dia Láctea bolsa 200 g,Charcutería y quesos,"Queso curado, semicurado y tierno",KILO,9.15,1.83,Charcutería y quesos,Dia Láctea
Ketchup Salseo de Dia bote 340 g,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",KILO,2.79,0.95,"Aceite, especias y salsas",Dia
Ketchup Salseo de Dia bote 560 g,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",KILO,2.16,1.21,"Aceite, especias y salsas",Dia
Queso mascarpone Selección Mundial de Dia tarrina 250 g,Charcutería y quesos,Queso fresco,KILO,9.96,2.49,Charcutería y quesos,Selección Mundial
Mortadela ibérica Legado Ibérico bandeja 150 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,13.33,2.0,Charcutería y quesos,otra
Pechuga de pavo Elpozo sobre 80 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,12.5,1.0,Charcutería y quesos,otra
Pechuga de pollo + proteínas Elpozo Bienstar sobre 130 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,15.38,2.0,Charcutería y quesos,otra
Pechuga de pavo + proteínas Elpozo Bienstar sobre 130 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,15.38,2.0,Charcutería y quesos,otra
Jamón cocido asado al horno Argal Bonnatur sobre 125 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,17.52,2.19,Charcutería y quesos,otra
Pechuga de pavo braseado Campofrío sobre 75 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,13.33,1.0,Charcutería y quesos,otra
Pechuga de pavo bajo en grasa y reducido en sal Nuestra Alacena de Dia 500 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,7.78,3.89,Charcutería y quesos,Nuestra Alacena
Jamón cocido extra Nuestra Alacena de Dia sobre 250 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,8.76,2.19,Charcutería y quesos,Nuestra Alacena
Chopped lata Nuestra Alacena de Dia Dia sobre 150 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,14.6,2.19,Charcutería y quesos,Nuestra Alacena
Jamón cocido extra Nuestra Alacena de Dia sobre 200 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,10.25,2.05,Charcutería y quesos,Nuestra Alacena
Jamón cocido Elpozo sobre 80 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,12.5,1.0,Charcutería y quesos,otra
Fiambre de pavo Nuestra Alacena de Dia sobre 400 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,6.88,2.75,Charcutería y quesos,Nuestra Alacena
Pavo trufado con pistachos Serrano sobre 150 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,12.6,1.89,Charcutería y quesos,otra
Jamón cocido extra braseado  Nuestra Alacena de Dia sobre 150 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,15.0,2.25,Charcutería y quesos,Nuestra Alacena
Chopped pork Nuestra Alacena de Dia 500 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,4.5,2.25,Charcutería y quesos,Nuestra Alacena
Mortadela Nuestra Alacena de Dia 500 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,3.98,1.99,Charcutería y quesos,Nuestra Alacena
Pechuga de pollo Nuestra Alacena de Dia sobre 200 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,10.55,2.11,Charcutería y quesos,Nuestra Alacena
Pechuga de pollo braseado Nuestra Alacena de Dia sobre 200 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,10.75,2.15,Charcutería y quesos,Nuestra Alacena
Pechuga de pavo 90% carne Nuestra Alacena de Dia sobre 120 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,18.25,2.19,Charcutería y quesos,Nuestra Alacena
Pechuga de pavo braseado Nuestra Alacena de Dia sobre 200 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,12.45,2.49,Charcutería y quesos,Nuestra Alacena
Panceta curada Nuestra Alacena de Dia sobre 150 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,13.27,1.99,Charcutería y quesos,Nuestra Alacena
Mortadela con aceitunas Nuestra Alacena de Dia sobre 250 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,5.0,1.25,Charcutería y quesos,Nuestra Alacena
Mortadela Nuestra Alacena de Dia sobre 250 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,5.0,1.25,Charcutería y quesos,Nuestra Alacena
Chopped pork Nuestra Alacena de Dia sobre 250 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,5.56,1.39,Charcutería y quesos,Nuestra Alacena
Jamón cocido extra sabor ahumado Nuestra Alacena de Dia sobre 250 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,11.0,2.75,Charcutería y quesos,Nuestra Alacena
Jamón cocido extra Nuestra Alacena de Dia sobre 2 x 225 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,7.67,3.45,Charcutería y quesos,Nuestra Alacena
Pechuga de pavo bajo en sal Nuestra Alacena de Dia 500 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,7.78,3.89,Charcutería y quesos,Nuestra Alacena
Pavo maxi Nuestra Alacena de Dia 900 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,3.32,2.99,Charcutería y quesos,Nuestra Alacena
Melocotón en almíbar Fruticampo de Dia lata 3 x 115 g,"Azúcar, chocolates y caramelos",Mermeladas y frutas en almibar,KILO,6.81,2.35,"Azúcar, caramelos y chocolate",Dia
Pollo entero limpio Selección de Dia bandeja 1.9 Kg aprox.,Carnicería,Pollo,KILO,3.25,6.18,Carne,Selección de Dia
Mermelada de melocotón extra Helios frasco 340 g,"Azúcar, chocolates y caramelos",Mermeladas y frutas en almibar,KILO,5.88,2.0,"Azúcar, caramelos y chocolate",otra
Chocolate con leche Nesquik 100 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,14.9,1.49,"Azúcar, caramelos y chocolate",Nesquik
Barritas de chocolate con leche Kinder caja 100 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,16.9,1.69,"Azúcar, caramelos y chocolate",Kinder
Chocolate con leche con avellanas Milka 270 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,14.63,3.95,"Azúcar, caramelos y chocolate",otra
Bolitas de chocolate rellenas de leche malteada Maltesers bolsa 175 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,20.51,3.59,"Azúcar, caramelos y chocolate",otra
Chocolate con leche Nestlé Extrafino 270 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,10.93,2.95,"Azúcar, caramelos y chocolate",otra
Chocolate con leche Milka 125 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,10.4,1.3,"Azúcar, caramelos y chocolate",otra
Chocolate con leche relleno de caramelo Milka 100 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,15.5,1.55,"Azúcar, caramelos y chocolate",otra
PÉTALOS Jamón de cebo Ibérico Nuestra Alacena de Dia sobre 80 g,Charcutería y quesos,Jamón curado y paleta,KILO,52.38,4.19,Charcutería y quesos,Nuestra Alacena
Paleta de cebo ibérica 50% Elpozo sobre 70 g,Charcutería y quesos,Jamón curado y paleta,KILO,49.86,3.49,Charcutería y quesos,otra
Jamón serrano gran reserva 50% duroc Boadas sobre 100 g,Charcutería y quesos,Jamón curado y paleta,KILO,37.9,3.79,Charcutería y quesos,otra
PÉTALOS Jamón Serrano 50% Duroc Nuestra Alacena de Dia sobre 80 g,Charcutería y quesos,Jamón curado y paleta,KILO,32.38,2.59,Charcutería y quesos,Nuestra Alacena
Jamón curado en taco Nuestra Alacena de Dia bolsa 300 g,Charcutería y quesos,Jamón curado y paleta,KILO,17.0,5.1,Charcutería y quesos,Nuestra Alacena
Pizcas de jamón de cebo ibérico 50 % Nuestra Alacena de Dia bandeja 60 g,Charcutería y quesos,Jamón curado y paleta,KILO,33.17,1.99,Charcutería y quesos,Nuestra Alacena
Mini taquitos de jamón Nuestra Alacena de Dia bandeja 2 x 75 g,Charcutería y quesos,Jamón curado y paleta,KILO,14.73,2.21,Charcutería y quesos,Nuestra Alacena
Paleta de cebo ibérica 50% Nuestra Alacena de Dia bandeja 100 g,Charcutería y quesos,Jamón curado y paleta,KILO,49.9,4.99,Charcutería y quesos,Nuestra Alacena
Jamón de cebo ibérico 50% Nuestra Alacena de Dia bandeja 90 g,Charcutería y quesos,Jamón curado y paleta,KILO,51.56,4.64,Charcutería y quesos,Nuestra Alacena
Paleta Curada Nuestra Alacena de Dia bandeja 200 g,Charcutería y quesos,Jamón curado y paleta,KILO,18.35,3.67,Charcutería y quesos,Nuestra Alacena
Paleta Curada 50% Duroc Nuestra Alacena de Dia bandeja 110 g,Charcutería y quesos,Jamón curado y paleta,KILO,23.55,2.59,Charcutería y quesos,Nuestra Alacena
LONCHAS EXTRAFINAS Jamón Serrano Nuestra Alacena de Dia bandeja 120 g,Charcutería y quesos,Jamón curado y paleta,KILO,20.42,2.45,Charcutería y quesos,Nuestra Alacena
MEDIAS LONCHAS Jamón Serrano Nuestra Alacena de Dia bandeja 100 g,Charcutería y quesos,Jamón curado y paleta,KILO,17.3,1.73,Charcutería y quesos,Nuestra Alacena
Jamón Serrano Nuestra Alacena de Dia bandeja 200 g,Charcutería y quesos,Jamón curado y paleta,KILO,18.45,3.69,Charcutería y quesos,Nuestra Alacena
Jamón curado Elpozo 1954 bandeja 2 x 80 g,Charcutería y quesos,Jamón curado y paleta,KILO,18.75,3.0,Charcutería y quesos,otra
Jamón curado Elpozo 1954 sobre 105 g,Charcutería y quesos,Jamón curado y paleta,KILO,19.05,2.0,Charcutería y quesos,otra
Jamón curado bajo en sal Navidul sobre 50 g,Charcutería y quesos,Jamón curado y paleta,KILO,22.0,1.1,Charcutería y quesos,otra
Jamón curado Navidul sobre 50 g,Charcutería y quesos,Jamón curado y paleta,KILO,22.0,1.1,Charcutería y quesos,otra
Longaniza con pavo Elpozo bolsa 230 g,Charcutería y quesos,"Lomo, chorizo, fuet, salchichón",KILO,12.83,2.95,Charcutería y quesos,otra
Espetec extra Casa Tarradellas bolsa 180 g,Charcutería y quesos,"Lomo, chorizo, fuet, salchichón",KILO,13.83,2.49,Charcutería y quesos,otra
