Nombre,Precio,Precio_unit,Categoria,Subcategoria,categoria_principal,Unidad_medida,Marca
Bacalao desmigado desalado Carrefour El Mercado 250 g,4.99,19.96,productos frescos,pescaderia,"Aceite, especias y salsas",KILO,CARREFOUR
Set 3 Bayetas Antibacterias Microfibra Multiusos BAYECO Protech,4.99,1.66,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,UNIDAD,
Almendra largueta piel tostada sin sal Carrefour El Mercado tarrina de 225 g,4.99,22.18,la despensa,aperitivos,"Aceite, especias y salsas",KILO,
Tinte color natural cubrecanas sin amoniaco nº 3 castaño claro Carrefour Men 1 ud.,4.99,4.99,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD,
Ciruela seca con hueso Reflets de France 500 g,4.99,9.98,la despensa,aperitivos,Aperitivos,KILO,
Tinte color natural cubrecanas sin amoniaco nº 1 negro Carrefour Men 1 ud.,4.99,4.99,perfumeria e higiene,cabello,Cuidado del cabello,UNIDAD,
Surtido de pastas de té rellenas 320 g,4.99,15.59,productos frescos,panaderia tradicional,"Arroz, legumbres y pasta",KILO,
Crema depilatoria para pieles sensibles men Veet 200 ml.,4.99,2.491,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,100 ML,
Salchichas de pollo campero del corral Coren 350 g,4.99,14.26,productos frescos,carniceria,"Aceite, especias y salsas",KILO,
Pizza mozzarella Ristorante Dr. Oetker sin gluten sin lactosa 370 g.,4.99,13.49,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,RISTORANTE
Chocolate con leche y galleta Jungly Nestlé 375 g.,4.99,13.31,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,
Lote de 5 Carpetas con Solapas,4.99,1.0,limpieza y hogar,papeleria,papeleria,UNIDAD,
Jabón líquido natural 100% de glicerina Original Lida 600 ml.,4.99,0.831,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
Stick 22gr +  Stick 11gr Pritt,4.99,4.99,limpieza y hogar,papeleria,papeleria,UNIDAD,
Pan de molde tipo brioche Schär sin gluten 370 g.,4.99,13.49,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO,SCHAR
Galletas maría Marbú Dorada Artiach 800 g.,4.99,6.24,la despensa,desayuno,Cereales y galletas,KILO,FONTANEDA GALLETA
Gazpacho con aceite de oliva virgen extra Santa Teresa sin gluten 1 l.,4.99,4.99,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",LITRO,SANTA TERESA
Chorizo oreado de cerdo Carrefour 400 g,4.99,12.47,productos frescos,carniceria,Carne,KILO,
Tiras de potón del pacífico al punto de sal congelado Pescanova 400 g.,4.99,12.47,congelados,pulpo calamar y sepia congelados,Cuidado facial y corporal,KILO,PESCANOVA
Pizza prosciutto Ristorante Dr. Oetker sin gluten sin lactosa 345 g.,4.99,14.46,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,RISTORANTE
Pizza de salami Ristorante Dr. Oetker sin gluten sin lactosa 315 g.,4.99,15.84,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO,RISTORANTE
Sardina parrocha 1 kg aprox,4.99,4.99,productos frescos,pescaderia,Marisco y pescado,KILO,
Helado de fresa Drácula Frigo sin gluten 6 ud.,4.99,0.83,congelados,helados,Congelados,UNIDAD,
Grageas de chocolate negro rellenas de arándanos y açai sensation fruit Lindt 150 g.,4.99,33.27,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,LINDT
Rollito de arenque con aceituna rellena 220 g,4.99,33.27,productos frescos,pescaderia,Marisco y pescado,KILO,CARREFOUR
Gel íntimo fórmula fresca Chilly 250 ml.,4.99,2.1,perfumeria e higiene,higiene intima,Cuidado facial y corporal,100 ML,
Kiwi Zespri 1 kg aprox,4.99,4.99,productos frescos,frutas,Fruta y verdura,KILO,
Helado de stracciatella Carte D'or 500 g.,4.99,9.98,congelados,helados,Congelados,KILO,
Capricho Mar Pescanova 600 g.,4.99,8.32,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,PESCANOVA
Pizza 4 quesos ecológica Carrefour Bio 350 g.,4.99,14.26,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,CARREFOUR
"Pipeta Contra Insectos para Gato Carrefour 3x0,6 ml",4.99,4.99,mascotas,gatos,Mascotas,UNIDAD,
"Cereales de trigo integral con pasas, coco, plátano, manzana y avellanas All Bran Kellogg's 500 g.",4.99,9.98,la despensa,desayuno,Cereales y galletas,KILO,KELLOGG COPOS
Helado de cola Calippo sin gluten 5 ud.,4.99,1.0,congelados,helados,Congelados,UNIDAD,CALIPPO
Helado de lima-limón Calippo sin gluten 5 ud.,4.99,1.0,congelados,helados,Congelados,UNIDAD,CALIPPO
"Pizza de tocino, champiñones y queso Casa di Mama 407 g.",4.99,12.26,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,OETKER
Gel íntimo delicado suave para piel sensible anti odor pH 5 Chilly 250 ml.,4.99,2.1,perfumeria e higiene,higiene intima,Cuidado facial y corporal,100 ML,
Helado Frigo Pie Frigo sin gluten 6 ud.,4.99,0.83,congelados,helados,Congelados,UNIDAD,
Helado de chocolate con leche con salsa de chocolate y trocitos de brownie Carte d'Or 825 ml.,4.99,10.94,congelados,helados,"Aceite, especias y salsas",KILO,
Dentífrico con flúor de uso diario frescor diario Parodontax 75 ml.,4.99,6.651,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,100 ML,
Bizcocho cubierto de cacao con relleno de leche Kinder Délice pack de 10 unidades de 39 g.,4.99,12.79,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,KINDER
Sardinas 1 kg aprox,4.99,4.99,productos frescos,pescaderia,Marisco y pescado,KILO,
Pizza speciale Casa di Mama Dr. Oetker 415 g.,4.99,12.02,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,CASA MAMA
Dentífrico con flúor de uso diario blanqueante diario Parodontax 75 ml.,4.99,6.651,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,100 ML,
Grageas de chocolate negro rellenas de frambuesa y arándanos rojos sensation fruit Lindt 150 g.,4.99,33.27,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,LINDT
Alitas de pollo clásicas sabor barbacoa Carrefour Sensation 750 g,4.99,6.65,congelados,rebozados y platos preparados,Pizzas y platos preparados,KILO,CARREFOUR
Alitas de pollo picantes Carrefour Sensation 750 g.,4.99,6.65,congelados,rebozados y platos preparados,Pizzas y platos preparados,KILO,CARREFOUR
Serenitos gourmet Carrefour El Mercado 420 g,4.99,11.88,productos frescos,panaderia tradicional,Panadería y pastelería,KILO,CARREFOUR
Granada Carrefour a granel 1 kg aprox,4.99,4.99,productos frescos,frutas,Fruta y verdura,KILO,
Almendra cascara tostada Carrefour bolsa de 300 g,4.99,16.63,la despensa,aperitivos,Aperitivos,KILO,
Almendra largueta piel tostada Carrefour tarrina 225 g,4.99,22.18,la despensa,aperitivos,Aperitivos,KILO,
Coca Cola zero azúcar pack 4 botellas 50 cl.,4.99,2.49,la despensa,alimentacion,"Salsas, pasta y refrescos",LITRO,COCA COLA
Almendra largueta piel frita Carrefour tarrina 250 g,4.99,19.96,la despensa,aperitivos,Aperitivos,KILO,
Dentífrico sensitive alivio inmediato + protección diaria Colgate 75 ml.,4.99,6.651,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,100 ML,
Almeja japonesa cruda congelada 400 g,4.99,12.47,congelados,mariscos congelados,Cuidado facial y corporal,KILO,
Café bombón con leche condensada en cápsulas Origen & Sensations compatible con Dolce Gusto 10 unidades de 28 g.,4.99,17.82,la despensa,desayuno,"Cacao, café e infusiones",KILO,ORIGEN SENSATIONS
Barritas de chocolate con leche y crema de avellanas Kinder Bueno pack de 5 unidades de 43 g.,4.99,23.21,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,KINDER
Aceitunas verdes aliño casero Carbonell Tarro 450 g,4.99,11.09,la despensa,aperitivos,Aperitivos,KILO,CARBONELL
Mejillón ecológico 500 g,4.99,9.98,productos frescos,pescaderia,Marisco y pescado,KILO,MEJILLONES BIO
Insecticida antirrastreros laca Carrefour 750 ml.,4.99,6.65,limpieza y hogar,productos para toda la casa,Limpieza y hogar,LITRO,
Bocadillo veleño Gourmet Latino 950 g.,4.99,5.25,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,GOURMET LATINO
Pitahaya roja a granel 500 g aprox,4.97,9.95,productos frescos,frutas,Fruta y verdura,KILO,
Harina de trigo sarraceno fina ecológica Sarchio sin gluten 500 g.,4.95,9.9,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO,
Sérum ultra repair Science Les Cosmétiques 100 ml.,4.95,4.951,perfumeria e higiene,cabello,Cuidado del cabello,100 ML,
Pizza USA burguer Carrefour 460 g,4.95,10.76,productos frescos,platos preparados cocinados,Pizzas y platos preparados,KILO,CARREFOUR
Pizza USA bbq Carrefour 480 g,4.95,10.31,productos frescos,platos preparados cocinados,Pizzas y platos preparados,KILO,
Miel de bosque Carrefour Classic' 500 g.,4.95,9.9,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,CARREFOUR
Queso de mezcla semicurado ya cortado García Baquero sin lactosa de 200 g,4.95,24.75,productos frescos,quesos,Charcutería y quesos,KILO,GARCIA BAQUERO
Barritas de surimi en tempura Krissia 200 g,4.95,0.0,productos frescos,pescaderia,Marisco y pescado,No especificado,
Pizza italiana queso y jamón Carrefour 410 g,4.95,12.07,productos frescos,platos preparados cocinados,Pizzas y platos preparados,KILO,CARREFOUR
Pizza italiana bacon provolone Carrefour 410 g,4.95,12.07,productos frescos,platos preparados cocinados,Pizzas y platos preparados,KILO,CARREFOUR
Colas de Langostino Carrefour El Mercado 280 g,4.95,17.68,productos frescos,pescaderia,Marisco y pescado,KILO,CARREFOUR
Dentífrico reparación activa de encías Parodontax 75 ml.,4.95,6.601,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,100 ML,
Rejo cocido trozeado 250 g,4.95,19.8,productos frescos,pescaderia,Marisco y pescado,KILO,CARREFOUR
Galletas girasol Rio 600 g.,4.95,8.25,la despensa,desayuno,Cereales y galletas,KILO,RIO
Pastel de cabracho Casa Santoña 170 g,4.95,29.12,productos frescos,pescaderia,Marisco y pescado,KILO,
Lubina 600 g aprox,4.95,8.25,productos frescos,pescaderia,Marisco y pescado,KILO,
Bizcochos secos Fontaneda 450 g.,4.95,11.0,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO,FONTANEDA
Queso semicurado ya cortado García Baquero cuña 225 g,4.95,22.0,productos frescos,quesos,Charcutería y quesos,KILO,GARCIA BAQUERO
Paté de pato al cava Carrefour sin gluten 190 g,4.95,26.05,productos frescos,charcuteria,"Cacao, café e infusiones",KILO,CARREFOUR
Mojama de Atún Carrefour El Mercado 70 g,4.95,70.71,productos frescos,pescaderia,Marisco y pescado,KILO,
Pizza reina 340 g,4.95,14.56,productos frescos,platos preparados cocinados,Pizzas y platos preparados,KILO,
Pizza vegana boloñesa 380 g,4.95,13.03,productos frescos,platos preparados cocinados,Pizzas y platos preparados,KILO,
Queso chamois D'or Arias 200 g,4.95,24.75,productos frescos,quesos,Charcutería y quesos,KILO,CHAMOIS
Pizza vegana 3 quesos 310 g,4.95,15.97,productos frescos,platos preparados cocinados,Pizzas y platos preparados,KILO,
Detergente líquido jabón de marsella y flor de azahar Carrefour 75 lavados.,4.95,0.07,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO,CARREFOUR
Queso Petit Saint-Pauli Carrefour 340 g,4.95,14.56,productos frescos,quesos,Charcutería y quesos,KILO,CARREFOUR
Patatas panaderas Giraldo 1 kg,4.95,4.95,productos frescos,platos preparados cocinados,Pizzas y platos preparados,KILO,CARREFOUR
Collar antiparasitario marrón oscuro Dixie,4.95,4.95,mascotas,perros,Mascotas,UNIDAD,
Bizcocho Tradicional sin azucares La Granja sin gluten y sin lactosa 230 g,4.95,21.52,productos frescos,panaderia tradicional,Panadería y pastelería,KILO,GRANJA RGS
"Gel de baño para el cuidado de pieles atópicas, secas y sensibles Instituto Español 500 ml.",4.95,0.991,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
Barritas sustitutivas sabor naranja Carrefour 210 g.,4.95,25.78,la despensa,desayuno,Cereales y galletas,KILO,CARREFOUR
Patata para freir Carrefour 3 Kg,4.95,1.65,productos frescos,verduras y hortalizas,Fruta y verdura,KILO,
Surtido Aperitivo Pincho Carrefour El Mercado 600 g aprox,4.95,8.25,productos frescos,carniceria,Carne,KILO,CARREFOUR
Crema de cacahuete suave ecológica Whole Earth 227 g.,4.95,21.81,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,WHOLE EARTH
Esparrago blanco extra grueso 5/7 Ferba  345 g.,4.95,24.15,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,FERBA
Tubo de Pota Carrefour 300 g,4.95,16.5,congelados,pulpo calamar y sepia congelados,Congelados,KILO,CARREFOUR
Maquinillas desechables Flex 3 Classic Bic 4 ud.,4.95,1.24,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,UNIDAD,
Paleta de Cebo Ibérica 50% Raza Ibérica loncheada Carrefour Calidad y Origen 80 g,4.95,61.87,productos frescos,charcuteria,Charcutería y quesos,KILO,CYO
Patata para cocer Carrefour 3 Kg,4.95,1.65,productos frescos,verduras y hortalizas,Fruta y verdura,KILO,
Bandas de cera depilatorias facial hipoalergénicas minima Veet 20 ud.,4.95,0.25,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,UNIDAD,
Filete de lubina con piel congelado Aligator 180 g,4.95,27.5,congelados,pescados congelados,Cuidado facial y corporal,KILO,CARREFOUR
Chorizo Extra de Pueblo Dulce Revilla sin gluten 250 g,4.95,19.8,productos frescos,charcuteria,Charcutería y quesos,KILO,REVILLA
Taco de bacalao extra al punto de sal congelado 400 g,4.95,12.37,congelados,pescados congelados,Cuidado facial y corporal,KILO,CARREFOUR
Chorizo picante Revilla sin gluten 250 g.,4.95,19.8,productos frescos,charcuteria,Charcutería y quesos,KILO,REVILLA
Pienso de pollo para perros cachorros Mini Ultima Dog 800 g.,4.95,6.19,mascotas,perros,Mascotas,KILO,
Porciones de rape sin piel crudas Delfín 300 g.,4.95,16.5,congelados,pescados congelados,Congelados,KILO,DELFIN
Gel de baño Sky Patrulla Canina 1l.,4.95,0.491,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
Aceite corporal con aceites de argán y albaricoque ecológico Nectar Of Bio Les Cosmétiques 100 ml.,4.95,4.951,perfumeria e higiene,cuidado y proteccion corporal,"Aceite, especias y salsas",100 ML,NECTAR BIO
Delicias crepes rellenos La Cocinera 300 g.,4.95,16.5,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,FREIDORA COCINERA
Detergente para biberones y tetinas Suavinex 500 ml.,4.95,0.991,bebe,puericultura,Bodega,100 ML,
Espárrago verde barbacoa selecta manojo de  500 g,4.95,9.9,productos frescos,verduras y hortalizas,Fruta y verdura,KILO,
Limpiador de baño y cocinas force moho Chubb 750 ml.,4.95,6.6,limpieza y hogar,productos para bano,Limpieza y hogar,LITRO,
Mejillones fritos en escabeche 6/8 Javimar 47 g.,4.95,105.32,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,JAVIMAR
Crema de pistacho y cacahuete Sensation Carrefour sin gluten 180 g.,4.95,27.5,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,CARREFOUR
Pechuga de pollo corte extrafino Roler 320 g,4.95,4.95,productos frescos,carniceria,Carne,UNIDAD,
Preparado para pastel de chocolate Milka Royal 350 g.,4.95,14.14,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,ROYAL
Dentífrico protección anticaries protege encías con flúor y calcio sabor menta para niños +6 años Júnior Lacer 75 ml.,4.95,6.601,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML,
Pechuga de pavo fileteada Carrefour 600 g aprox,4.91,8.19,productos frescos,carniceria,Carne,KILO,CARREFOUR
Mejillón pasteurizado fresco cocido ecológico Carrefour Bio 800 g,4.9,6.12,productos frescos,pescaderia,Marisco y pescado,KILO,CARREFOUR
Lenguado 140 g aprox,4.9,4.9,productos frescos,pescaderia,Marisco y pescado,UNIDAD,
Mascarilla capilar Nutri Repair Butter para cabello muy seco y dañado Garnier-Fructis 300 ml.,4.89,1.531,perfumeria e higiene,cabello,Cuidado del cabello,100 ML,
Dentífrico dientes más blancos Sensation Blanqueador Colgate pack de 2 unidades de 75 ml.,4.89,3.261,perfumeria e higiene,boca y sonrisa,Cuidado facial y corporal,100 ML,
Mermelada de jengibre Chivers 340 g.,4.89,14.38,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,CHIVERS
Fregona Microfibra Poliéster VILEDA Premium 2 en 1,4.89,4.89,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,UNIDAD,
Rollitos primavera con pollo Ta-Tung 280 g.,4.89,17.46,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,
Patatas fritas Espada sin gluten pack de 2 unidades de 120 g.,4.89,20.37,la despensa,aperitivos,Aperitivos,KILO,ESPADA
Paté de atún en aceite de Oliva La Piara pack de 2 unidades de 75 g.,4.89,32.6,productos frescos,charcuteria,"Aceite, especias y salsas",KILO,
Salmón noruego ahumado reducido en sal Carrefour Extra 100 g.,4.89,48.9,productos frescos,pescaderia,"Aceite, especias y salsas",KILO,CARREFOUR
Mendo 700 g aprox,4.89,6.99,productos frescos,pescaderia,Marisco y pescado,KILO,
Mermelada inglesa de naranja Chivers 340 g.,4.89,14.38,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,CHIVERS
Chocolate con almendra y naranja troceada Valor sin gluten 200 g.,4.89,24.45,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,VALOR
Mermelada de grosella negra Chivers 340 g.,4.89,14.38,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,CHIVERS
Snack para perros sabor jabalí Purina Adventuros Nuggets 300 g,4.89,16.3,mascotas,perros,Mascotas,KILO,
Pechuga de pavo fileteada Carrefour 500 g aprox,4.89,9.79,productos frescos,carniceria,Carne,KILO,
Bayetas Microfibra SPONTEX 3 ud - Multicolor,4.89,1.63,limpieza y hogar,utensilios de limpieza,Limpieza y hogar,UNIDAD,
Barritas de chocolate con leche y crema de avellanas White Kinder Bueno pack de 5 unidades de 39 g.,4.89,25.08,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,KINDER
Paleta en lonchas bodega Señorio de Ioar  300 g.,4.89,16.3,productos frescos,charcuteria,Charcutería y quesos,KILO,YOAR
Sandwich mini de nata y galleta Oreo 6 ud.,4.89,0.81,congelados,helados,Congelados,UNIDAD,
Papel de aluminio Albal 30 metros.,4.89,0.16,limpieza y hogar,conservacion de alimentos,Limpieza y hogar,METRO,
Hamburguesa de Pollo y Pavo con Espinacas Carrefour 540 g,4.89,9.06,productos frescos,carniceria,Carne,KILO,CARREFOUR
Alicate pedicura para corte recto y preciso Carrefour 1 ud.,4.89,4.89,perfumeria e higiene,cosmetica,Cuidado facial y corporal,UNIDAD,
Confitura de arándano Bonne Maman 370 g.,4.89,13.22,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,BONNE MAMAN
Crema de cacahuete suave Capitán Maní sin gluten y sin lactosa 510 g.,4.89,9.59,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,
Chocolate negro intenso 70% cacao postres culinaria Lindt 200 g.,4.89,24.45,la despensa,dulce,"Azúcar, caramelos y chocolate",KILO,LINDT
Complejo multivitamínico en cápsulas NaturTierra 60 ud.,4.89,152.81,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO,NATURTIERRA
Lavavajillas concentrado a mano aroma aloe vera y pepino Limpieza y Cuidado Fairy 1015 ml.,4.89,4.82,limpieza y hogar,productos para cocina,Limpieza y hogar,LITRO,
Queso de mezcla viejo en cuña Cañada Mayor 250 g.,4.89,19.56,productos frescos,quesos,Charcutería y quesos,KILO,SANABRIA
Limpiador facial en espuma vitamina C IDC Institute 240 ml.,4.89,2.041,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,IDC INSTITUTE
Café espresso en cápsulas Nescafé Dolce Gusto 16 unidades de 6 g.,4.89,0.0,la despensa,desayuno,"Cacao, café e infusiones",No especificado,NESCAFE
Salchichas vegetales frankfurt ecológicas Carrefour Bio 230 g.,4.89,21.26,productos frescos,charcuteria,"Aceite, especias y salsas",KILO,CARREFOUR
Cacao negro intenso soluble 70% Valor sin gluten 300 g.,4.89,16.3,la despensa,desayuno,Cereales y galletas,KILO,VALOR
Café Capuccino en cápsulas Nescafe Dolce Gusto 16 unidades de 7 g.,4.89,0.0,la despensa,desayuno,"Cacao, café e infusiones",No especificado,NESCAFE
Avellana Repelada Tostada Ecológica Carrefour 150 g,4.89,27.17,la despensa,aperitivos,Aperitivos,KILO,
Brioche con pepitas de chocolate Pasquier 550 g.,4.89,8.89,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO,PASQUIER
"Mascarilla capilar Liso & Brillo para cabello liso, rebelde o difícil de alisar Garnier-Fructis 300 ml.",4.89,1.531,perfumeria e higiene,cabello,Cuidado del cabello,100 ML,
Mascarilla capilar Nutri Rizos Contouring para cabello rizado u ondulado Garnier-Fructis 300 ml.,4.89,1.531,perfumeria e higiene,cabello,Cuidado del cabello,100 ML,
Champú anticaspa revitalizante cuero cabelludo seco y pelo frágil Derma X PRO H&S 300 ml.,4.89,1.631,perfumeria e higiene,cabello,Cuidado del cabello,100 ML,
Café latte macchiato en cápsulas Nescafé Dolce Gusto pack de 8 ud.,4.89,0.0,la despensa,desayuno,"Cacao, café e infusiones",No especificado,NESCAFE
Bollo Pausa Ciok Schär sin gluten 350 g.,4.89,13.97,la despensa,panaderia bolleria y pasteleria,Panadería y pastelería,KILO,SCHAR
Café descafeinado lungo en cápsulas Nescafé Dolce Gusto 16 ud.,4.89,0.0,la despensa,desayuno,"Cacao, café e infusiones",No especificado,NESCAFE
Café cappuccino light en cápsulas Nescafé Dolce Gusto 16 ud.,4.89,0.0,la despensa,desayuno,"Cacao, café e infusiones",No especificado,NESCAFE
Mascarilla capilar Adiós Daños para cabello dañado Garnier Fructis 300 ml.,4.89,1.531,perfumeria e higiene,cabello,Cuidado del cabello,100 ML,
Aceite de ricino 100% puro ecológico Arganour 100 ml.,4.89,4.891,parafarmacia,cuidado corporal,"Aceite, especias y salsas",100 ML,
Pizza con verduras Coliflow 415 g.,4.89,11.78,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,COLIFLOW
Café con leche intenso en cápsulas Nescafé Dolce Gusto 16 unidades de 10 g.,4.89,0.0,la despensa,desayuno,"Cacao, café e infusiones",No especificado,NESCAFE
Perfumador para la ropa azul Flor 36 lavados.,4.88,6.78,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LITRO,
El Hayedo Cava,4.85,4.85,bebidas,cava y champagne,Bodega,UNIDAD,HAYEDO
Arreglo de Puchero Completo Carrefour El Mercado 900 g aprox,4.85,5.39,productos frescos,carniceria,Carne,KILO,
Muesli con chocolate ecológico El Granero sin gluten 375 g.,4.85,12.93,la despensa,desayuno,Cereales y galletas,KILO,GRANERO INTEGRAL
Mantequilla faácil de untar Président 250 g.,4.85,19.4,la despensa,lacteos,"Huevos, leche y mantequilla",KILO,PRESIDENT
Galletas de cereales con gotas de chocolate Fontaneda 600 g.,4.85,8.08,la despensa,desayuno,Cereales y galletas,KILO,
Galletas Cookies bombón Airos sin gluten 230 gr.,4.85,21.09,la despensa,desayuno,Cereales y galletas,KILO,AIROS
Suavizante concentrado mediterráneo Flor 78 lavados.,4.85,0.06,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO,
Café molido natural espresso Lavazza 250 g.,4.85,19.4,la despensa,desayuno,"Cacao, café e infusiones",KILO,LAVAZZA
Suavizante concentrado Flor Azul 78 lavados.,4.85,0.06,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO,
"Cereales de trigo integral, arroz y avena integral tostados con chocolate con leche Fitness Nestlé 540 g.",4.85,8.98,la despensa,desayuno,"Arroz, legumbres y pasta",KILO,NESTLE
Pastel de pescado de roca Santa Teresa sin gluten 100 g.,4.85,48.5,productos frescos,charcuteria,Charcutería y quesos,KILO,SANTA TERESA
Crema depilatoria bajo la ducha frutas rojas Carrefour Soft 250 ml.,4.85,1.941,perfumeria e higiene,depilacion y afeitado,Cuidado facial y corporal,100 ML,
Cereales de salvado de trigo ricos en fibra con vitaminas y minerales All Bran Fibre Plus Kellogg's 500 g.,4.85,9.7,la despensa,desayuno,"Aceite, especias y salsas",KILO,ALL BRAN
Pizza 4 quesos Carrefour 600 g.,4.85,8.36,congelados,pizzas congeladas,Congelados,KILO,CARREFOUR
Pizza de jamón y queso Carrefour 580 g.,4.85,8.36,congelados,pizzas congeladas,Congelados,KILO,CARREFOUR
Agua de colonia Fruits Atracttion azahar Saphir 100 ml.,4.85,4.851,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
"Hamburguesa de trigo, espinaca y emmental Carrefour Veggie 400 g.",4.85,12.12,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,CARREFOUR
Queso ibérico semicurado Extra Carrefour cuña cortada 250 g.,4.85,19.4,productos frescos,quesos,Charcutería y quesos,KILO,CARREFOUR
Café espresso en cápsulas ecológico L'or Bio Organic 10 ud.,4.85,93.27,la despensa,desayuno,"Cacao, café e infusiones",KILO,LOR
Queso tierno ya cortado García Baquero cuña 225 g,4.85,21.56,productos frescos,quesos,Charcutería y quesos,KILO,GARCIA BAQUERO
Quitamanchas sin manchas recambio H-7 780 ml.,4.85,6.22,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LITRO,
Detergente líquido ecológico Eco Planet Carrefour 37 lavados.,4.85,0.13,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO,CARREFOUR
Agua de colonia Fruits Atracttion mango Saphir 100 ml.,4.85,4.851,perfumeria e higiene,bano e higiene corporal,Cuidado facial y corporal,100 ML,
Salsa de trufa negra Artigiani del Tartufo tarro 90 g.,4.85,53.89,la despensa,alimentacion,"Aceite, especias y salsas",KILO,ARTIGIANI DEL
Perfumador concentrado en cápsulas para la ropa con aceites esenciales Flopp 16 ud.,4.85,0.3,limpieza y hogar,cuidado de la ropa,"Aceite, especias y salsas",UNIDAD,
Queso ibérico semicurado Extra Carrefour cuña 290 g.,4.85,16.72,productos frescos,quesos,Charcutería y quesos,KILO,CARREFOUR
Galletas de mantequilla con limón y jengibre Campbells 125 g.,4.85,38.8,la despensa,desayuno,Cereales y galletas,KILO,CAMPBELLS
Rodajas de merluza argentina congeladas Carrefour 600 g.,4.85,8.08,congelados,pescados congelados,Cuidado facial y corporal,KILO,CARREFOUR
Atún claro al natural bajo en sal Calvo pack de 3 latas de 56 g.,4.85,28.87,la despensa,conservas sopas y precocinados,"Aceite, especias y salsas",KILO,CALVO
Copos de avena solubles con cacao natural sin azúcar añadido Cola Cao Avenacao 300 g,4.85,16.17,la despensa,desayuno,Cereales y galletas,KILO,COLA CAO
Café con leche en cápsulas Central Lechera Asturiana compatible con Dolce Gusto 16 unidades de 10 g.,4.85,30.31,la despensa,desayuno,"Cacao, café e infusiones",KILO,CENTRAL LECHERA
Carne de pavo para estofado Carrefour 600 g aprox,4.85,8.09,productos frescos,carniceria,Carne,KILO,CARREFOUR
Bacalao ahumado en lonchas en aceite de oliva virgen extra Extra Carrefour 80 g.,4.85,60.62,productos frescos,pescaderia,"Aceite, especias y salsas",KILO,CARREFOUR
