Nombre,Precio,Precio_unit,Categoria,Subcategoria,categoria_principal,Unidad_medida,Marca
Pienso de pollo para perro Senior Mini Ultima 3 Kg.,16.95,5.65,mascotas,perros,Mascotas,KILO,
Paletilla de cordero lechal El Mercado 500 g aprox,16.95,33.9,productos frescos,carniceria,Carne,KILO,
Pienso de salmón para perro Medium Ultima 3 Kg.,16.9,5.63,mascotas,perros,"Aceite, especias y salsas",KILO,
Set Weleda Caléndula: crema pañal 75 ml y champú - gel de ducha 200 ml.,16.9,16.9,parafarmacia,bebe,Cuidado facial y corporal,UNIDAD,
Crema protector solar antialergias solares FP50+ Sensitive Protección Nivea Sun 200 ml.,16.89,8.441,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Colutorio encías Vitis 1000 ml.,16.89,1.691,parafarmacia,higiene bucal,Cuidado facial y corporal,100 ML,
Leche infantil de crecimiento desde 1 año a base de proteína de soja Velactín sin lactosa 800 g.,16.89,21.11,bebe,alimentacion infantil,Bebé,KILO,VELACTIN
"Ginebra Beefeater 0,0 sin alcohol 70 cl.",16.89,24.13,bebidas,alcoholes,Bodega,LITRO,BEEFEATER
Espárrago blanco extra grueso 6/18 De Nuestra Tierra 350 g.,16.89,48.26,la despensa,conservas sopas y precocinados,"Conservas, caldos y cremas",KILO,NUESTRA TIERRA
"Tanqueray 0,0",16.89,24.13,bebidas,alcoholes,Bodega,LITRO,TANQUERAY
Fluido facial solar antimanchas Luminous 630 Nivea Sun 40 ml.,16.89,42.221,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Preparado lácteo de crecimiento 3 desde 12 meses Nutribén Crecimiento Pro + sin aceite de palma lata 800 g.,16.85,21.06,parafarmacia,bebe,"Aceite, especias y salsas",KILO,NUTRIBEN
Detergente líquido jabón de Marsella Omino Bianco 67 lavados,16.85,0.25,limpieza y hogar,cuidado de la ropa,Limpieza y hogar,LAVADO,
Cecina Palcarsa sin gluten y sin lactosa taco de 500 g aprox,16.85,33.7,productos frescos,charcuteria,Charcutería y quesos,KILO,
Concentrado de proteína de suero de leche sabor chocolate Prozis 400 g.,16.79,41.97,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO,PROZIS
Desmaquillante suavidad ojos Avéne 125 ml.,16.79,13.431,parafarmacia,cuidado e higiene facial,Cuidado facial y corporal,100 ML,
Brandy de Jerez Alma de Magno solera gran reserva 70 cl.,16.79,23.99,bebidas,alcoholes,Bodega,LITRO,ALMA MAGNO
Concentrado de proteína de suero de leche sabor vainilla Prozis 400 g.,16.79,41.97,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO,PROZIS
Capuchino proteico con cafeína extra Prozis 400 g,16.79,41.97,la despensa,alimentacion,"Salsas, pasta y refrescos",KILO,PROZIS
Ron Flor de Caña añejo clásico 5 años 70 cl.,16.79,23.99,bebidas,alcoholes,Bodega,LITRO,FLOR REA
Vermut Cinzano 1757 rojo 75 cl.,16.79,16.79,bebidas,alcoholes,Bodega,LITRO,
Crema protector solar FP50 Protege & Broncea Nivea Sun 200 ml.,16.79,8.391,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Crema protector solar FP30 Protege & Hidrata Nivea Sun 400 ml.,16.79,4.201,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Licor de whisky Thunder Bitch 70 cl.,16.75,23.93,bebidas,alcoholes,Bodega,LITRO,THUNDER BITCH
Leche solar proctectora pieles intolerantes al sol FP 50+ Delial 400 ml.,16.75,4.191,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Champú mango Klorane 400 ml.,16.69,4.171,parafarmacia,cabello,Cuidado del cabello,100 ML,
Ginebra Larios 12 premium 70 cl.,16.69,23.84,bebidas,alcoholes,Bodega,LITRO,RIO
Loción Mustela 750 ml,16.69,2.231,bebe,perfumeria e higiene,Cuidado facial y corporal,100 ML,
Crema de noche antiedad intensiva Cellular Expert Filler Nivea 50 ml.,16.69,33.381,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Spray protector solar rostro y cuerpo SPF30 Hydra 24h Protect Garniel Delial 270 ml.,16.65,6.171,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Champú granada Klorane 400 ml.,16.59,4.151,parafarmacia,cabello,Cuidado del cabello,100 ML,
Spray solar para niños sensitive advanced FPS 50+ Delial 200 ml.,16.59,8.291,perfumeria e higiene,cuidado y proteccion corporal,Cuidado facial y corporal,100 ML,
Gamba salvaje pelada cruda 88/123 piezas Grand Krust 600 g.,16.59,27.65,congelados,mariscos congelados,"Aceite, especias y salsas",KILO,
