Nombre,Categoria1,Categoria2,UM,Precio Unitario,Precio
L102,Tomate bárbaro bolsa 900 g aprox.,Verduras,"Tomates, pimientos y pepinos",KILO,2.49,2.24
L102,Bocados vegetales estilo Mediterráneo Revolu green bandeja 160 g,Pizzas y platos preparados,Precocinados envasados,KILO,23.69,3.79
L102,Bocadillo de bacon y queso Al Punto Dia caja 200 g,Pizzas y platos preparados,Precocinados envasados,KILO,12.95,2.59
L102,Bocadillo de pollo y queso Al Punto Dia caja 200 g,Pizzas y platos preparados,Precocinados envasados,KILO,12.95,2.59
L102,Boquerones al vinagre con ajo y perejil MSC Mari Marinera de Dia bandeja 80 g,"Pescados, mariscos y ahumados","Ahumados, salazones y preparados",KILO,31.13,2.49
L102,Salmón ahumado marinado Nuchar sobre 80 g,"Pescados, mariscos y ahumados","Ahumados, salazones y preparados",KILO,49.88,3.99
L102,Aceituna gordal rellena de boquerón del Cantábrico MSC Kiele bandeja 150 g,"Pescados, mariscos y ahumados","Ahumados, salazones y preparados",KILO,19.93,2.99
L102,Patata malla 4 Kg,Verduras,Patatas y zanahorias,KILO,1.5,5.99
L103,Manzana golden granel 500 g aprox.,Frutas,Manzanas,KILO,2.19,1.1
L103,Pasta oriental sabor curry Maggi sobre 71 g,Pizzas y platos preparados,Comida internacional,KILO,12.68,0.9
L103,Tortillas de trigo Old El Paso bolsa 244 g,Pizzas y platos preparados,Comida internacional,KILO,9.63,2.35
L103,Manzana roja selección granel 500 g aprox.,Frutas,Manzanas,KILO,2.69,1.35
L103,Pera conferencia bandeja 1 Kg,Frutas,Peras,KILO,2.19,2.19
L103,Manzana fuji bolsa 1 Kg,Frutas,Manzanas,KILO,2.29,2.29
L103,Plátano macho para freír granel 1 Kg aprox.,Frutas,Platanos,KILO,2.89,2.89
L103,Mango 1 unidad,Frutas,Frutas tropicales,KILO,3.86,1.99
L103,Lombarda bolsa 2 Kg aprox.,Verduras,Otras verduras,KILO,1.49,2.98
L103,Manzana granny granel 800 g aprox.,Frutas,Manzanas,KILO,2.19,1.75
L103,Repollo rizado unidad aprox. 1 Kg,Verduras,Otras verduras,KILO,1.49,1.49
L103,Banana granel 900 g aprox.,Frutas,Platanos,KILO,1.49,1.34
L103,Aguacate granel 1 Kg aprox.,Frutas,Frutas tropicales,KILO,4.59,4.59
L103,Pimientos asados a la leña bandeja 350 g,Verduras,Verduras y ensaladas preparadas,KILO,7.69,2.69
L103,Kiwi Sungold Zespri bandeja 535 g,Frutas,Frutas tropicales,KILO,5.21,2.79
L103,Limón bio malla 500 g,Frutas,Limones y pomelos,KILO,1.98,0.99
L103,Pera Rincón de Soto D.O.P. granel 500 g aprox.,Frutas,Peras,KILO,2.79,1.4
L103,Limón selección 1 unidad,Frutas,Limones y pomelos,KILO,1.16,0.29
L103,Salsa chunky Zanuy frasco 300 g,Pizzas y platos preparados,Comida internacional,KILO,7.33,2.2
L103,Pollo al curry con arroz basmati Al Punto Dia bandeja 300 g,Pizzas y platos preparados,Comida internacional,KILO,9.83,2.95
L103,Rollitos de primavera Al Punto Dia bandeja 280 g,Pizzas y platos preparados,Comida internacional,KILO,8.75,2.45
L103,Fideos yakisoba  Al Punto Dia bandeja 250 g,Pizzas y platos preparados,Comida internacional,KILO,9.8,2.45
L103,Fajitas Al Punto Dia bandeja 275 g,Pizzas y platos preparados,Precocinados envasados,KILO,7.09,1.95
L103,Ensalada wrap texas Al Punto Dia bandeja 300 g,Verduras,Verduras y ensaladas preparadas,KILO,9.97,2.99
L103,Salsa en polvo Tajín frasco 142 g,Pizzas y platos preparados,Comida internacional,KILO,23.24,3.3
L103,Pulpa aguacate Al Punto Dia tarrina 125 g,Frutas,Frutas tropicales,KILO,11.6,1.45
L103,Guacamole Al Punto Dia tarrina 400 g,Frutas,Frutas tropicales,KILO,7.38,2.95
L103,Guacamole Al Punto Dia tarrina 200 g,Frutas,Frutas tropicales,KILO,8.45,1.69
L103,Tortillas integrales bolsa Old El Paso bolsa 350 g,Pizzas y platos preparados,Comida internacional,KILO,9.69,3.39
L103,Fideos orientales fusian sabor teriyaki Maggi sobre 130 g,Pizzas y platos preparados,Comida internacional,KILO,15.31,1.99
L104,Vinagre de manzana Aliña tu Dia botella 1 l,"Aceites, salsas y especias",Vinagres y aliños,LITRO,0.85,0.85
L104,Tallarines Gallo bolsa 450 g,"Arroz, pastas y legumbres",Pastas,KILO,2.96,1.33
L104,Tallarines Al Diante Dia bolsa 500 g,"Arroz, pastas y legumbres",Pastas,KILO,1.64,0.82
L104,Aceite de oliva virgen extra Carbonell botella 1 l,"Aceites, salsas y especias",Aceites,LITRO,15.89,15.89
L104,Espaguetis nº 3 Gallo bolsa 450 g,"Arroz, pastas y legumbres",Pastas,KILO,2.96,1.33
L104,Fideo nº 0 Gallo bolsa 450 g,"Arroz, pastas y legumbres",Pastas,KILO,2.96,1.33
L104,Pluma nº 6 Gallo bolsa 450 g,"Arroz, pastas y legumbres",Pastas,KILO,2.96,1.33
L104,Vinagre balsámico de módena Borges botella 250 ml,"Aceites, salsas y especias",Vinagres y aliños,LITRO,8.76,2.19
L104,Aceite de oliva intenso La Almazara del Olivar Dia de Dia botella 3 l,"Aceites, salsas y especias",Aceites,LITRO,8.95,26.85
L104,Fideuá Al Diante Dia bolsa 500 g,"Arroz, pastas y legumbres",Pastas,KILO,1.64,0.82
