Nombre,Categoria1,Categoria2,UM,Precio Unitario,Precio 
L120,Conchas de chocolate Codan bolsa 330 g,"Galletas, bollos y cereales",Bollería,KILO,6.94,2.29
L120,Galletas digestive con avena y chocolate Gullón caja 425 g,"Galletas, bollos y cereales",Galletas,KILO,5.15,2.19
L120,Filete de bacalao Selección de Dia bandeja 350 g aprox.,"Pescados, mariscos y ahumados",Pescados,KILO,14.99,5.25
L120,Rosquillas de chocolate El molino de Dia bandeja 240 g,"Galletas, bollos y cereales",Bollería,KILO,7.46,1.79
L120,Queso fundido con palitos de pan La vaca que ríe caja 140 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,17.07,2.39
L120,Golosinas surtidas little mix Fini tarrina 500 g,"Azúcar, chocolates y caramelos","Caramelos, chicles y golosinas",KILO,7.58,3.79
L120,Barritas de cereales con chocolate nesquik Nestlé caja 150 g,"Galletas, bollos y cereales",Cereales,KILO,19.93,2.99
L120,Cereales integrales con chocolate negro Nestlé Fitness caja 375 g,"Galletas, bollos y cereales",Cereales,KILO,9.31,3.49
L120,Ensaimadas El molino de Dia bolsa 220 g,"Galletas, bollos y cereales",Bollería,KILO,5.41,1.19
L120,Tortillas de trigo Old El Paso bolsa 244 g,Pizzas y platos preparados,Comida internacional,KILO,9.63,2.35
L120,Guisantes muy finos Bonduelle lata 3 x 140 g,"Conservas, caldos y cremas",Conservas vegetales,KILO,8.55,3.59
L120,Galletas digestive con chocolate con leche Fontaneda caja 300 g,"Galletas, bollos y cereales",Galletas,KILO,12.33,3.7
L120,Café en cápsulas espresso intenso Nescafé Dolce Gusto caja 16 unidades,"Café, cacao e infusiones",Café,UNIDAD,0.27,4.25
L120,Jamón serrano en taquitos Navidul bandeja 100 g,Charcutería y quesos,Jamón curado y paleta,KILO,20,2
L120,Magdalenas rellenas con crema de cacao El molino de Dia bolsa 336 g,"Galletas, bollos y cereales",Bollería,KILO,5.03,1.69
L120,Sofrito tomate y cebolla Gallina Blanca frasco 350 g,"Aceites, salsas y especias",Tomate,KILO,6.83,2.39
L120,Bombones rellenos de coco y almendra Ferrero Raffaello caja 150 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,26.33,3.95
L120,Arroz con leche con canela Caprichoso Dia pack 4 x 125 g,Yogures y postres,Arroz con leche y postre tradicional,KILO,2.67,1.39
L120,Bombones cortados clásicos Trapa caja 115 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,20.43,2.35
L120,Barritas de cereales con chocolate con leche Corny caja 150 g,"Galletas, bollos y cereales",Cereales,KILO,16.6,2.49
L120,Bizcocho casero Royal caja 375 g,"Panes, harinas y masas",Preparados para postres,KILO,8.51,3.19
L121,Agua mineral con gas Dia botella 1.5 l,"Agua, refrescos y zumos",Agua,LITRO,0.27,0.41
L121,Pañales 13-19 kg talla 6 Dodot bolsa 36 unidades,Bebé,Pañales y toallitas,UNIDAD,0.39,14
L121,Whisky J&b botella 70 cl,"Cervezas, vinos y bebidas con alcohol",Ron y whisky,LITRO,17.13,11.99
L121,Calabacín unidad aprox. 475 g,Verduras,"Calabacín, calabaza y berenjena",KILO,1.79,0.85
L121,Empanadillas de atún MSC La cocinera caja 312 g,Congelados,Croquetas y rebozados,KILO,15.99,4.99
L121,Maravillas de mar al ajillo Mari Marinera de Dia lata 50 g,"Conservas, caldos y cremas",Otras conservas de pescado,KILO,29,1.45
L121,Pasta oriental sabor curry Maggi sobre 71 g,Pizzas y platos preparados,Comida internacional,KILO,12.68,0.9
L121,Crema de día hidratante nutritiva piel seca/sensible Diadermine frasco 50 ml,"Perfumería, higiene, salud","Limpieza facial, crema facial",100 ML.,20.98,10.49
L121,Jabón de manos líquido kitchen lima Palmolive bote 300 ml,"Perfumería, higiene, salud",Jabón de manos,100 ML.,0.8,2.39
L121,Pizza speciale Dr. Oetker Ristorante caja 330 g,Congelados,"Pizzas, bases y masas",KILO,11.79,3.89
L121,Cepillo dental Oral-B blister 1 unidad,"Perfumería, higiene, salud",Cuidado bucal,UNIDAD,2.89,2.89
L121,Gel íntimo aloe vera Carefree tubo 200 ml,"Perfumería, higiene, salud",Gel de ducha y esponjas,100 ML.,1.8,3.6
L121,Pasta dentífrica para niños Signal tubo 50 ml,"Perfumería, higiene, salud",Cuidado bucal,100 ML.,3.38,1.69
L121,Cerveza especial negra Ramblers de Dia lata 33 cl,"Cervezas, vinos y bebidas con alcohol",Cervezas especiales,LITRO,1.61,0.53
L121,Helado mini bombón almendras 6 unidades Magnum caja 276 g,Congelados,Helados y hielo,KILO,18.08,4.99
L121,Cava semiseco Freixenet Carta Nevada botella 3 x 20 cl,"Cervezas, vinos y bebidas con alcohol",Cavas y sidra,LITRO,11.58,6.95
L121,Pasta dentífrica con cristales refrescantes Colgate tubo 75 ml,"Perfumería, higiene, salud",Cuidado bucal,100 ML.,3.45,2.59
L121,Bebida energética Red bull lata 355 ml,"Agua, refrescos y zumos",Bebidas energéticas,LITRO,5.61,1.99
L121,Pasta dentífrica blanqueante Sensodyne tubo 75 ml,"Perfumería, higiene, salud",Cuidado bucal,100 ML.,5.27,3.95
L121,Tortillas de trigo Old El Paso bolsa 244 g,Pizzas y platos preparados,Comida internacional,KILO,9.63,2.35
L121,Bebida energética zero El diablo de Dia lata 250 ml,"Agua, refrescos y zumos",Bebidas energéticas,LITRO,1.6,0.4
L121,Zumo de naranja exprimida con pulpa Don Simón brik 1 l,"Agua, refrescos y zumos",Zumos,LITRO,2.95,2.95
L121,Bombones rellenos de coco y almendra Ferrero Raffaello caja 150 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,26.33,3.95
L121,Enjuague bucal menta fresca Listerine botella 500 ml,"Perfumería, higiene, salud",Cuidado bucal,100 ML.,1.15,5.75
L121,Enjuague bucal mentol Listerine botella 500 ml,"Perfumería, higiene, salud",Cuidado bucal,100 ML.,1.15,5.75
L121,Recambio cepillo Vileda 1 unidad,Limpieza y hogar,Utensilios de limpieza,UNIDAD,7.59,7.59
L121,Limpiador con bioalcohol aloe vera Tenn botella 1.3 l,Limpieza y hogar,Limpia muebles y multiusos,LITRO,2.76,3.59
L121,Snack para perros Pedigree Rodeo bolsa 70 g,Mascotas,Perros,KILO,28.43,1.99
L121,Vino rosado lambrusco Dante botella 75 cl,"Cervezas, vinos y bebidas con alcohol",Cavas y sidra,LITRO,2.87,2.15
L121,Refresco de fresa Tang bolsa 30 g,"Agua, refrescos y zumos",Otras bebidas,KILO,27.67,0.83
L122,Whisky J&b botella 70 cl,"Cervezas, vinos y bebidas con alcohol",Ron y whisky,LITRO,17.13,11.99
L122,Gel íntimo aloe vera Carefree tubo 200 ml,"Perfumería, higiene, salud",Gel de ducha y esponjas,100 ML.,1.8,3.6
L122,Cava semiseco Freixenet Carta Nevada botella 3 x 20 cl,"Cervezas, vinos y bebidas con alcohol",Cavas y sidra,LITRO,11.58,6.95
L122,Bebida energética Red bull lata 355 ml,"Agua, refrescos y zumos",Bebidas energéticas,LITRO,5.61,1.99
L122,Dulce de leche Mardel frasco 450 g,"Azúcar, chocolates y caramelos",Cremas de cacao,KILO,7,3.15
L122,Bebida energética zero El diablo de Dia lata 250 ml,"Agua, refrescos y zumos",Bebidas energéticas,LITRO,1.6,0.4
L122,Sofrito tomate y cebolla Gallina Blanca frasco 350 g,"Aceites, salsas y especias",Tomate,KILO,6.83,2.39
L122,Vino rosado lambrusco Dante botella 75 cl,"Cervezas, vinos y bebidas con alcohol",Cavas y sidra,LITRO,2.87,2.15
L122,Cava brut Freixenet Cordón Negro botella 75 cl,"Cervezas, vinos y bebidas con alcohol",Cavas y sidra,LITRO,10.65,7.99
L122,Cava semiseco Freixenet Carta Nevada botella 75 cl,"Cervezas, vinos y bebidas con alcohol",Cavas y sidra,LITRO,9.27,6.95
L122,Salteado de setas Al Punto Dia bolsa 450 g,Congelados,"Verduras, hortalizas y salteados",KILO,3.67,1.65
L122,Vino tinto crianza D.O. Madrid Puerta de Alcalá botella 75 cl,"Cervezas, vinos y bebidas con alcohol",Vino tinto,LITRO,5.93,4.45
L122,Whisky bourbon Jim Beam botella 70 cl,"Cervezas, vinos y bebidas con alcohol",Ron y whisky,LITRO,22.07,15.45
L122,Tortitas de maíz Bicentury bolsa 130 g,"Galletas, bollos y cereales",Tortitas,KILO,13.77,1.79
L122,Spray protector solar spf 30 Delial bote 300 ml,"Perfumería, higiene, salud",Cremas solares,100 ML.,4.43,11.95
L122,Aftersun leche hidratante reparadora Ecran botella 400 ml,"Perfumería, higiene, salud",Cremas solares,100 ML.,1.75,6.99
L122,Vino tinto gran reserva D.O. Valdepeñas Viña Albalí botella 75 cl,"Cervezas, vinos y bebidas con alcohol",Vino tinto,LITRO,7,5.25
L122,Sardinas en aceite de oliva Mari Marinera de Dia lata 85 g,"Conservas, caldos y cremas",Sardinas y sardinillas,KILO,11.65,0.99
L122,Vino tinto Castillo de Velasco garrafa 2 l,"Cervezas, vinos y bebidas con alcohol",Vino tinto,LITRO,1.3,2.6
L122,Vino blanco Castillo de Velasco garrafa 2 l,"Cervezas, vinos y bebidas con alcohol",Vino blanco,LITRO,1.3,2.6
L122,Licor de anís dulce Del mono botella 70 cl,"Cervezas, vinos y bebidas con alcohol",Cremas y licores,LITRO,11.84,8.29
L122,Tomate frito Solís brik 350 g,"Aceites, salsas y especias",Tomate,KILO,2.83,0.99
L122,Whisky red label Johnnie Walker botella 70 cl,"Cervezas, vinos y bebidas con alcohol",Ron y whisky,LITRO,20.7,14.49
L122,Vino blanco semidulce D.O. Rioja Señorío de Ondas botella 75 cl,"Cervezas, vinos y bebidas con alcohol",Vino blanco,LITRO,3.99,2.99
L122,Vino tinto crianza D.O. Ribera del Duero Altos del Tamarón botella 75 cl,"Cervezas, vinos y bebidas con alcohol",Vino tinto,LITRO,8.65,6.49
L122,Vodka Absolut botella 70 cl,"Cervezas, vinos y bebidas con alcohol",Ginebra y vodka,LITRO,21.41,14.99
L122,Whisky 8 años Dyc botella 70 cl,"Cervezas, vinos y bebidas con alcohol",Ron y whisky,LITRO,20.13,14.09
L122,Vino tinto D.O. Ribera del Duero Viña Mayor botella 75 cl,"Cervezas, vinos y bebidas con alcohol",Vino tinto,LITRO,10.33,7.75
L122,Paella de marisco Al Punto Dia bolsa 600 g,Congelados,"Verduras, hortalizas y salteados",KILO,4.65,2.79
L122,Licor de crema whisky original Baileys botella 70 cl,"Cervezas, vinos y bebidas con alcohol",Cremas y licores,LITRO,22.13,15.49
L123,Empanadillas de atún MSC La cocinera caja 312 g,Congelados,Croquetas y rebozados,KILO,15.99,4.99
L123,Pizza speciale Dr. Oetker Ristorante caja 330 g,Congelados,"Pizzas, bases y masas",KILO,11.79,3.89
L123,Helado mini bombón almendras 6 unidades Magnum caja 276 g,Congelados,Helados y hielo,KILO,18.08,4.99
L123,Leche crecimiento Puleva brik 1 l,Bebé,Leche infantil,LITRO,1.95,1.95
L123,Papilla líquida 8 cereales con galleta y leche continuación Nestlé brik 2 x 250 ml,Bebé,Papilla,LITRO,5.18,2.59
L123,Mini pizzas jamón y queso Al Punto Dia caja 270 g,Congelados,"Pizzas, bases y masas",KILO,9.22,2.49
L123,Hielo en cubitos bolsa 2 Kg,Congelados,Helados y hielo,KILO,0.5,0.99
L123,Pizza reina 2 unidades Al Punto Dia caja 700 g,Congelados,"Pizzas, bases y masas",KILO,4.84,3.39
L123,Mini pizzas de jamón y queso Buitoni Piccolinis caja 270 g,Congelados,"Pizzas, bases y masas",KILO,16.26,4.39
L123,Leche peques3 crecimiento con omega Puleva brik 1 l,Bebé,Leche infantil,LITRO,1.95,1.95
L123,Helado cono de nata y caramelo 4 unidades Temptation de Dia caja 272 g,Congelados,Helados y hielo,KILO,6.58,1.79
L123,Pizza boloñesa Al Punto Dia caja 375 g,Congelados,"Pizzas, bases y masas",KILO,6.64,2.49
L123,Filete de merluza del cabo sin piel MSC Mari Marinera de Dia bolsa 600 g,Congelados,Pescado y marisco,KILO,8.82,5.29
L123,Anguriñas Pescanova bandeja 200 g,Congelados,Pescado y marisco,KILO,9.45,1.89
L123,Filetes de merluza sin piel baby Pescanova bolsa 400 g,Congelados,Pescado y marisco,KILO,12.98,5.19
L123,Corazones de merluza Pescanova caja 500 g,Congelados,Pescado y marisco,KILO,13.58,6.79
L123,Rollitos de primavera Al Punto Dia caja 450 g,Congelados,Croquetas y rebozados,KILO,6.64,2.99
L123,Helado mini bombón mix Magnum caja 6 + 2 uds 356 g,Congelados,Helados y hielo,KILO,14.02,4.99
L123,Pannini 4 quesos Dr. Oetker caja 250 g,Congelados,"Pizzas, bases y masas",KILO,13.56,3.39
L123,Filetes de bacalao Pescanova bandeja 400 g,Congelados,Pescado y marisco,KILO,19.48,7.79
L123,Preparado de paella con caldo Mari Marinera de Dia bandeja 500 g,Congelados,Pescado y marisco,KILO,6.98,3.49
L123,Nuggets La cocinera caja 350 g,Congelados,Carne y pollo,KILO,14.26,4.99
L123,Helado bombón almendras 3 + 1 unidades Magnum caja 300 g,Congelados,Helados y hielo,KILO,13.3,3.99
L123,Pizza bacon y atún Al Punto Dia caja 400 g,Congelados,"Pizzas, bases y masas",KILO,6.23,2.49
L123,Pizza 4 quesos Al Punto Dia caja 400 g,Congelados,"Pizzas, bases y masas",KILO,6.23,2.49
L123,Croquetas de jamón Al Punto Dia bolsa 500 g,Congelados,Croquetas y rebozados,KILO,2.5,1.25
L123,Pannini jamón y queso Dr. Oetker caja 250 g,Congelados,"Pizzas, bases y masas",KILO,13.56,3.39
L123,Helado cono de fresa o limón 4 unidades Temptation de Dia caja 272 g,Congelados,Helados y hielo,KILO,6.58,1.79
L123,Anillas a la romana Mari Marinera de Dia bolsa 400 g,Congelados,Pescado y marisco,KILO,8.6,3.44
L123,Langostino crudo grande 32/48 piezas Mari Marinera de Dia caja 800 g,Congelados,Pescado y marisco,KILO,9.99,7.99
L2000,Queso fundido con palitos de pan La vaca que ríe caja 140 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,17.07,2.39
L2000,Jamón serrano en taquitos Navidul bandeja 100 g,Charcutería y quesos,Jamón curado y paleta,KILO,20,2
L2000,Azúcar blanco Dia paquete 1 Kg,"Azúcar, chocolates y caramelos",Azúcar y edulcorantes,KILO,1.45,1.45
L2000,Salsa de soja Heinz frasco 150 ml,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",LITRO,19.93,2.99
L2000,Salsa para hamburguesas Salseo de Dia bote 300 g,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",KILO,5.63,1.69
L2000,Salsa barbacoa Salseo de Dia bote 360 g,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",KILO,3.03,1.09
L2000,Ketchup light Salseo de Dia bote 540 g,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",KILO,2.69,1.45
L2000,Queso fresco 0% m.g Dia Láctea tarrina 4 x 62.5 g,Charcutería y quesos,Queso fresco,KILO,4.16,1.04
L2000,Mayonesa Ybarra frasco 400 ml,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",LITRO,5.48,2.19
L2000,Bacon Oscar mayer sobre 150 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,15.27,2.29
L2000,Barra de pan peregrina El molino de Dia bolsa 250 g,"Panes, harinas y masas",Pan recien horneado,KILO,2.88,0.72
L2000,Queso fundido sándwich Dia Láctea bolsa 300 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,3.97,1.19
L2000,Magro de cerdo cocido Nuestra Alacena de Dia lata 200 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,11.75,2.35
L2000,Queso tierno de cabra El Cencerro de Dia bandeja 550 g,Charcutería y quesos,"Queso curado, semicurado y tierno",KILO,14.16,7.79
L2000,Mini queso tierno snack Babybel malla 120 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,22.83,2.74
L2000,Queso tierno El Cencerro de Dia sobre 250 g,Charcutería y quesos,"Queso curado, semicurado y tierno",KILO,9.4,2.35
L2000,Queso fresco 0% m.g Burgo de Arias tarrina 3 x 72 g,Charcutería y quesos,Queso fresco,KILO,13.84,2.99
L2000,Barra de pan integral 100% El molino de Dia bolsa 220 g,"Panes, harinas y masas",Pan recien horneado,KILO,2.68,0.59
L2000,Yogur desnatado con frutas Dia Láctea pack 8 x 125 g,Yogures y postres,Yogures desnatados,KILO,2.05,2.05
L2000,Mostaza original Salseo de Dia bote 250 g,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",KILO,4.2,1.05
L2000,Salsa mejicana Old El Paso frasco 312 g,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",KILO,10.87,3.39
L2000,Mayonesa Salseo de Dia frasco 450 ml,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",LITRO,3,1.35
L2000,Queso de untar con finas hierbas Philadelphia tarrina 150 g,Charcutería y quesos,Quesos fundidos y cremas,KILO,15.93,2.39
L2000,Queso tierno El Cencerro de Dia 1 Kg,Charcutería y quesos,"Queso curado, semicurado y tierno",KILO,8.4,8.4
L2000,Chorizo dulce Palacios bolsa 250 g,Charcutería y quesos,"Lomo, chorizo, fuet, salchichón",KILO,15.16,3.79
L2000,Queso mezcla 4 quesos rallado Dia Láctea bolsa 200 g,Charcutería y quesos,"Queso curado, semicurado y tierno",KILO,9.15,1.83
L2000,Ketchup Salseo de Dia bote 340 g,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",KILO,2.79,0.95
L2000,Ketchup Salseo de Dia bote 560 g,"Aceites, salsas y especias","Mayonesa, ketchup y otras salsas",KILO,2.16,1.21
L2000,Queso mascarpone Selección Mundial de Dia tarrina 250 g,Charcutería y quesos,Queso fresco,KILO,9.96,2.49
L2000,Cereza bandeja 500 g,Frutas,Frutas de temporada,KILO,7.98,3.99
L2001,Bacon Oscar mayer sobre 150 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,15.27,2.29
L2001,Magro de cerdo cocido Nuestra Alacena de Dia lata 200 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,11.75,2.35
L2001,Mortadela ibérica Legado Ibérico bandeja 150 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,13.33,2
L2001,Pechuga de pavo Elpozo sobre 80 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,12.5,1
L2001,Pechuga de pollo + proteínas Elpozo Bienstar sobre 130 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,15.38,2
L2001,Pechuga de pavo + proteínas Elpozo Bienstar sobre 130 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,15.38,2
L2001,Jamón cocido asado al horno Argal Bonnatur sobre 125 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,17.52,2.19
L2001,Pechuga de pavo braseado Campofrío sobre 75 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,13.33,1
L2001,Pechuga de pavo bajo en grasa y reducido en sal Nuestra Alacena de Dia 500 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,7.78,3.89
L2001,Jamón cocido extra Nuestra Alacena de Dia sobre 250 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,8.76,2.19
L2001,Chopped lata Nuestra Alacena de Dia Dia sobre 150 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,14.6,2.19
L2001,Jamón cocido extra Nuestra Alacena de Dia sobre 200 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,10.25,2.05
L2001,Jamón cocido Elpozo sobre 80 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,12.5,1
L2001,Fiambre de pavo Nuestra Alacena de Dia sobre 400 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,6.88,2.75
L2001,Pavo trufado con pistachos Serrano sobre 150 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,12.6,1.89
L2001,Jamón cocido extra braseado  Nuestra Alacena de Dia sobre 150 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,15,2.25
L2001,Chopped pork Nuestra Alacena de Dia 500 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,4.5,2.25
L2001,Mortadela Nuestra Alacena de Dia 500 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,3.98,1.99
L2001,Pechuga de pollo Nuestra Alacena de Dia sobre 200 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,10.55,2.11
L2001,Pechuga de pollo braseado Nuestra Alacena de Dia sobre 200 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,10.75,2.15
L2001,Pechuga de pavo 90% carne Nuestra Alacena de Dia sobre 120 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,18.25,2.19
L2001,Pechuga de pavo braseado Nuestra Alacena de Dia sobre 200 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,12.45,2.49
L2001,Panceta curada Nuestra Alacena de Dia sobre 150 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,13.27,1.99
L2001,Mortadela con aceitunas Nuestra Alacena de Dia sobre 250 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,5,1.25
L2001,Mortadela Nuestra Alacena de Dia sobre 250 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,5,1.25
L2001,Chopped pork Nuestra Alacena de Dia sobre 250 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,5.56,1.39
L2001,Jamón cocido extra sabor ahumado Nuestra Alacena de Dia sobre 250 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,11,2.75
L2001,Jamón cocido extra Nuestra Alacena de Dia sobre 2 x 225 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,7.67,3.45
L2001,Pechuga de pavo bajo en sal Nuestra Alacena de Dia 500 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,7.78,3.89
L2001,Pavo maxi Nuestra Alacena de Dia 900 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,3.32,2.99
L2002,Manzana golden granel 500 g aprox.,Frutas,Manzanas,KILO,2.19,1.1
L2002,Yemas de espárragos gruesos Carretilla lata 135 g,"Conservas, caldos y cremas",Conservas vegetales,KILO,28.81,3.89
L2002,Guisantes muy finos Bonduelle lata 3 x 140 g,"Conservas, caldos y cremas",Conservas vegetales,KILO,8.55,3.59
L2002,Jamón serrano en taquitos Navidul bandeja 100 g,Charcutería y quesos,Jamón curado y paleta,KILO,20,2
L2002,Coliflor natural Ybarra frasco 400 g,"Conservas, caldos y cremas",Conservas vegetales,KILO,4.88,1.95
L2002,Espárragos blancos extra calibre grueso 8/12 piezas Carretilla frasco 205 g,"Conservas, caldos y cremas",Conservas vegetales,KILO,17.02,3.49
L2002,Mermelada de fresa extra Helios frasco 340 g,"Azúcar, chocolates y caramelos",Mermeladas y frutas en almibar,KILO,5.88,2
L2002,Melocotón en almíbar Fruticampo de Dia lata 3 x 115 g,"Azúcar, chocolates y caramelos",Mermeladas y frutas en almibar,KILO,6.81,2.35
L2002,Pimiento rojo unidad 390 g aprox.,Verduras,"Tomates, pimientos y pepinos",KILO,2.99,1.17
L2002,Bebida de soja Pascual Vivesoy brik 1 l,"Leche, huevos y mantequilla",Bebidas vegetales,LITRO,1.89,1.89
L2002,Queso fresco 0% m.g Dia Láctea tarrina 4 x 62.5 g,Charcutería y quesos,Queso fresco,KILO,4.16,1.04
L2002,Manzana roja selección granel 500 g aprox.,Frutas,Manzanas,KILO,2.69,1.35
L2002,Bacon Oscar mayer sobre 150 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,15.27,2.29
L2002,Albóndigas Al Punto Dia lata 415 g,Pizzas y platos preparados,Precocinados envasados,KILO,4.05,1.68
L2002,Magro de cerdo cocido Nuestra Alacena de Dia lata 200 g,Charcutería y quesos,"Jamón cocido, lacón, fiambres y mortadela",KILO,11.75,2.35
L2002,Pollo entero limpio Selección de Dia bandeja 1.9 Kg aprox.,Carnicería,Pollo,KILO,3.25,6.18
L2002,Queso tierno de cabra El Cencerro de Dia bandeja 550 g,Charcutería y quesos,"Queso curado, semicurado y tierno",KILO,14.16,7.79
L2002,Palitos de surimi refrigeradas MSC Mari Marinera de Dia bolsa 300 g,"Pescados, mariscos y ahumados",Gulas y surimi,KILO,6.3,1.89
L2002,Arroz integral Arrozona de Dia paquete 1 Kg,"Arroz, pastas y legumbres",Arroz,KILO,1.7,1.7
L2002,Paté de hígado de cerdo Mina lata 3 x 80 g,Charcutería y quesos,"Foie, paté y sobrasada",KILO,9.13,2.19
L2002,Judión cocido Legumbres La Asturiana frasco 400 g,"Conservas, caldos y cremas",Conservas vegetales,KILO,6.38,2.55
L2002,Fabada asturiana Litoral lata 420 g,Pizzas y platos preparados,Precocinados envasados,KILO,5.95,2.5
L2002,Queso tierno El Cencerro de Dia sobre 250 g,Charcutería y quesos,"Queso curado, semicurado y tierno",KILO,9.4,2.35
L2002,Arroz basmati Brillante vaso 2 x 125 g,"Arroz, pastas y legumbres",Arroz,KILO,5.36,1.34
L2002,Mermelada de melocotón extra Helios frasco 340 g,"Azúcar, chocolates y caramelos",Mermeladas y frutas en almibar,KILO,5.88,2
L2002,Arroz largo de primera categoría Arrozona de Dia bolsa 1 Kg,"Arroz, pastas y legumbres",Arroz,KILO,1.35,1.35
L2002,Paté de campaña Nuestra Alacena de Dia frasco 125 g,Charcutería y quesos,"Foie, paté y sobrasada",KILO,8.72,1.09
L2002,Paté de cerdo ibérico Nuestra Alacena de Dia frasco 125 g,Charcutería y quesos,"Foie, paté y sobrasada",KILO,8.72,1.09
L2002,Cebolla morada malla 500 g,Verduras,"Ajos, cebollas y puerros",KILO,2.98,1.49
L2002,Queso fresco 0% m.g Burgo de Arias tarrina 3 x 72 g,Charcutería y quesos,Queso fresco,KILO,13.84,2.99
L2003,Chocolate con leche relleno con caramelo y avellanas Milka 300 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,12.97,3.89
L2003,Manzana golden granel 500 g aprox.,Frutas,Manzanas,KILO,2.19,1.1
L2003,Barritas de barquillo recubierta de chocolate con leche Huesitos bolsa 200 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,12.25,2.45
L2003,Pasta oriental sabor curry Maggi sobre 71 g,Pizzas y platos preparados,Comida internacional,KILO,12.68,0.9
L2003,Tortillas de trigo Old El Paso bolsa 244 g,Pizzas y platos preparados,Comida internacional,KILO,9.63,2.35
L2003,Jamón serrano en taquitos Navidul bandeja 100 g,Charcutería y quesos,Jamón curado y paleta,KILO,20,2
L2003,Bombones rellenos de coco y almendra Ferrero Raffaello caja 150 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,26.33,3.95
L2003,Bombones cortados clásicos Trapa caja 115 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,20.43,2.35
L2003,Chocolate con leche y almendras Temptation de Dia 150 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,7.67,1.15
L2003,Chocolate con leche y avellanas Temptation de Dia 150 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,7.67,1.15
L2003,Chocolate blanco Temptation de Dia 2 x 200 g,"Azúcar, chocolates y caramelos",Chocolates y bombones,KILO,7.5,1.5
