Nombre,Precio,Precio_unidad_outlayers,categoria,categoria_producto,subcategoria,Marca,Unidad_medida,Supermercado,Precio_unit
"Caballa 1,3 kg aprox",9.03,6.95,productos frescos,Marisco y pescado,pescaderia,,KILO,Carrefour,6.95
Pinna Fidelis Roble Tinto Joven 2021,8.99,8.99,bebidas,Bodega,vinos,PINNA FIDELIS,UNIDAD,Carrefour,8.99
Bayetas Microfibras Superabsorbentes SPONTEX 10 ud,8.99,0.9,limpieza y hogar,Limpieza y hogar,utensilios de limpieza,,UNIDAD,Carrefour,0.9
Colutorio ortodoncia lima fresca Ortolacer 500 ml.,8.99,1.801,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 ML,Carrefour,1.801
"Quitamanchas gel acción total turbo Oxy Blanco Puro Neutrex 2,62 l.",8.99,3.43,limpieza y hogar,Cuidado facial y corporal,cuidado de la ropa,,LITRO,Carrefour,3.43
Loción corporal reafirmante +autobronceadora Q10 Nivea 400 ml.,8.99,2.251,perfumeria e higiene,Bodega,cuidado y proteccion corporal,,100 ML,Carrefour,2.251
Dentífrico blanqueante sabor menta Lacer 150 ml.,8.99,5.991,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 ML,Carrefour,5.991
SPRAY FRUIT RHYTHM ADIDAS 75ML,8.99,11.991,perfumeria e higiene,Cuidado facial y corporal,bano e higiene corporal,,100 ML,Carrefour,11.991
Anchoas en aceite de oliva Consorcio 87 g.,8.99,103.33,la despensa,"Aceite, especias y salsas",conservas sopas y precocinados,CONSORCIO,KILO,Carrefour,103.33
Colutorio diario fórmula de acción blanqueadora con flúor sin alcohol sabor citrus Lacer Blanc 500 ml.,8.99,1.801,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 ML,Carrefour,1.801
Caella 1 Kg aprox,8.99,8.99,productos frescos,Marisco y pescado,pescaderia,,KILO,Carrefour,8.99
Pulpo cocido troceado Carrefour El Mercado 250 g,8.99,35.96,productos frescos,Marisco y pescado,pescaderia,CARREFOUR,KILO,Carrefour,35.96
Colutorio sensibilidad dental Sensilacer 500 ml.,8.99,1.801,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 ML,Carrefour,1.801
Colutorio de uso diario que previene el sangrado gingival causado por encías delicadas y gingivitis Gingilacer 500 ml.,8.99,1.801,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 ML,Carrefour,1.801
Champú para barba 2 en 1 original Bulldog 200 ml.,8.99,4.491,perfumeria e higiene,Cuidado facial y corporal,depilacion y afeitado,,100 ML,Carrefour,4.491
Tratamiento banana ultra nutritiva Garniel Fructis 200 ml,8.99,4.491,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,4.491
Colutorio de uso diario sin alcohol previene caries dental Lacer Fresh 500 ml.,8.99,1.801,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 ML,Carrefour,1.801
Tratamiento capilar piña anti-rotura Garnier Fructis 200 ml,8.99,4.491,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,4.491
"Pilas Alcalinas AA Duracell Plus, paquete de 10",8.99,8.99,limpieza y hogar,Limpieza y hogar,bazar,,UNIDAD,Carrefour,8.99
"Pilas Alcalinas AAA Duracell Plus, paquete de 10",8.99,8.99,limpieza y hogar,Limpieza y hogar,bazar,,UNIDAD,Carrefour,8.99
Mini Croissants bañados Carrefour 430 g,8.99,20.91,productos frescos,Panadería y pastelería,panaderia tradicional,CARREFOUR,KILO,Carrefour,20.91
Tabletas limpiadoras para ortodoncias y férulas Corega 36 ud.,8.99,0.25,parafarmacia,Cuidado facial y corporal,higiene bucal,,UNIDAD,Carrefour,0.25
"Tabla surtido de foie gras: pato, oca, pato con trufa y pato con boletus Martiko pack de 4 unidades de 20 g",8.99,112.37,productos frescos,Charcutería y quesos,charcuteria,MARTIKO,KILO,Carrefour,112.37
Spray bruma post-solar reparadora efecto hielo Ecran Aftersun 250 ml.,8.99,3.601,perfumeria e higiene,Cuidado facial y corporal,cuidado y proteccion corporal,,100 ML,Carrefour,3.601
Chupete con tetina fisiológica SX Pro de silicona 6-18 meses Suavinex 2 ud.,8.99,4.49,bebe,Bebé,puericultura,,UNIDAD,Carrefour,4.49
Colutorio antiséptico Oraldine 400 ml.,8.99,2.251,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 ML,Carrefour,2.251
Crema renovadora de pies Cerave 88 ml.,8.99,10.221,parafarmacia,Cuidado facial y corporal,cuidado de manos y pies,,100 ML,Carrefour,10.221
Cinta americana universal extra power tesa 25mx50mm,8.99,8.99,limpieza y hogar,"Aceite, especias y salsas",bazar,,UNIDAD,Carrefour,8.99
Arena para Gato Sanicat Zen6 L,8.99,1.5,mascotas,Mascotas,gatos,,LITRO,Carrefour,1.5
Colonia para bebe sin alcohol perfuma y refresca Mustela 200 ml.,8.99,4.491,bebe,Cuidado facial y corporal,perfumeria e higiene,,100 ML,Carrefour,4.491
Pienso de pollo para perro mediano-grande Dream Excellence 3 kg,8.99,3.0,mascotas,Mascotas,perros,,KILO,Carrefour,3.0
Limpiador alfombras y Tapicerias Espuma Vanish 600 ml.,8.99,14.98,limpieza y hogar,Limpieza y hogar,cuidado de la ropa,,LITRO,Carrefour,14.98
Gambón extra grande crudo Carrefour 700 g.,8.99,12.84,congelados,Congelados,mariscos congelados,CARREFOUR,KILO,Carrefour,12.84
Raya 500 g aprox,8.97,17.95,productos frescos,Marisco y pescado,pescaderia,,KILO,Carrefour,17.95
Crema hidratante anti-edad Vita Lift 5 L'Oréal-Men Expert 50 ml.,8.95,17.901,perfumeria e higiene,Cuidado facial y corporal,cuidado y proteccion corporal,,100 ML,Carrefour,17.901
Mascarilla intensiva rescate capilar Pantene Pro-V Miracles 300 ml.,8.95,2.981,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,2.981
Loción corporal pieles átopicas Instituto Español 750 ml.,8.95,1.191,perfumeria e higiene,Cuidado facial y corporal,cuidado y proteccion corporal,,100 ML,Carrefour,1.191
Mascarilla capilar ultra nutritiva Pro-V Miracles Pantene 160 ml.,8.95,2.981,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,2.981
Crema fortalecedora ceramide protect para piel muy seca Mixa Sensitive Skin Expert 400 ml.,8.95,2.241,perfumeria e higiene,Cuidado facial y corporal,cuidado y proteccion corporal,,100 ML,Carrefour,2.241
Spray protector solar pieles sensibles SPF50+ Science Les Cosmétiques 250 ml.,8.95,3.581,perfumeria e higiene,Cuidado facial y corporal,cuidado y proteccion corporal,LES COSMETIQUES,100 ML,Carrefour,3.581
"Pienso de salmón para perro adulto mini Ultima 1,5 kg",8.95,5.97,mascotas,"Aceite, especias y salsas",perros,,KILO,Carrefour,5.97
Carrillada de Cerdo Ibérico Carrefour 400 g aprox,8.95,17.9,productos frescos,Carne,carniceria,CARREFOUR,KILO,Carrefour,17.9
Queso de oveja curado con trufa blanca Vega Sotuelamos cuña de 200 g,8.95,44.75,productos frescos,Charcutería y quesos,quesos,VEGA SOTUELAMOS,KILO,Carrefour,44.75
Queso azul roquefort Societé Lactalis cuña 200 g,8.95,44.75,productos frescos,"Cacao, café e infusiones",quesos,DOP,KILO,Carrefour,44.75
Pienso para perro adulto bon menú Receta Mediterránea 4 Kg.,8.95,2.24,mascotas,Mascotas,perros,,KILO,Carrefour,2.24
Agua de colonia #UP2U Virtual Flow Les Cosmétiques 100 ml.,8.95,8.951,perfumeria e higiene,Cuidado facial y corporal,bano e higiene corporal,,100 ML,Carrefour,8.951
Gallo 1 kg aprox,8.95,8.95,productos frescos,Marisco y pescado,pescaderia,,KILO,Carrefour,8.95
"Pienso de pollo para perros adultos yorkshire terrier Ultima 1,5 Kg",8.95,5.97,mascotas,Mascotas,perros,,KILO,Carrefour,5.97
"Champú, acondicionador y tratamiento 3en1 Cuidado Clásico Nutri Pro-V Pantene 600 ml.",8.95,1.491,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,1.491
Acondicionador micelar doble de nutrientes con 1 solo uso para cabello graso y apagado Nutri Pro-V Pantene 500 ml.,8.95,1.791,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,1.791
Viñas Del Vero C.Sauvignon-Tempranillo Crianza Tinto 2019,8.95,8.95,bebidas,Bodega,vinos,DEL VERO,UNIDAD,Carrefour,8.95
De Nuestra Tierra Verdejo Fermentado En Barrica Blanco 2021,8.95,0.0,bebidas,Bodega,vinos,NUESTRA TIERRA,No especificado,Carrefour,0.0
"Patatas fritas tradicionales Mc Cain 2,5 kg.",8.95,3.58,congelados,Congelados,verduras congeladas,,KILO,Carrefour,3.58
Crema restauradora panthenol comfort para piel con tendencia atópica Mixa 400 ml.,8.95,0.0,perfumeria e higiene,Cuidado facial y corporal,cuidado y proteccion corporal,,No especificado,Carrefour,0.0
Tarta de queso estilo vasco Carrefour El Mercado 500 g,8.95,0.0,productos frescos,Panadería y pastelería,panaderia tradicional,,No especificado,Carrefour,0.0
"Bálsamo reparador urea cica repair+ para piel seca, rugosa e irregular Mixa 400 ml.",8.95,0.0,perfumeria e higiene,Cuidado facial y corporal,cuidado y proteccion corporal,,No especificado,Carrefour,0.0
Aceite argán 100% puro ecológico Arganour 50 ml.,8.95,17.901,parafarmacia,"Aceite, especias y salsas",cuidado corporal,,100 ML,Carrefour,17.901
"Pienso de pollo para perro adulto mini Ultima 1,5 Kg.",8.95,5.97,mascotas,Mascotas,perros,,KILO,Carrefour,5.97
Agua de colonia #UP2U Born To Shine Les Cosmétiques 100 ml.,8.95,8.951,perfumeria e higiene,Cuidado facial y corporal,bano e higiene corporal,,100 ML,Carrefour,8.951
Pañales Carrefour Baby soft&protect Talla 2 (3-6 kg) 33 ud.,8.95,0.27,bebe,Cuidado facial y corporal,panales y toallitas,,UNIDAD,Carrefour,0.27
Agua de colonia #UP2U Candy Vibes Les Cosmétiques 100 ml.,8.95,8.951,perfumeria e higiene,Cuidado facial y corporal,bano e higiene corporal,,100 ML,Carrefour,8.951
"Aceite de oliva suave 0,4º Carrefour 1 l.",8.94,8.94,la despensa,"Aceite, especias y salsas",alimentacion,,LITRO,Carrefour,8.94
Aceite de oliva intenso 1º Carrefour 1 l.,8.94,8.94,la despensa,"Aceite, especias y salsas",alimentacion,CARREFOUR,LITRO,Carrefour,8.94
Lubina Círculo de Calidad 600 g aprox,8.93,14.89,productos frescos,Marisco y pescado,pescaderia,,KILO,Carrefour,14.89
Mousse de Limón 600 g,8.9,14.83,productos frescos,Panadería y pastelería,panaderia tradicional,CARREFOUR,KILO,Carrefour,14.83
Gel de masaje corporal con aroma a especias florales Thai Passion 2 en 1 Control 200 ml.,8.89,4.441,perfumeria e higiene,Cuidado facial y corporal,bienestar sexual,,100 ML,Carrefour,4.441
Gel de masaje corporal con aroma a frutas tropicales Exotic Escape 2 en 1 Control 200 ml.,8.89,4.441,perfumeria e higiene,Cuidado facial y corporal,bienestar sexual,,100 ML,Carrefour,4.441
Pants soft & eco-friendly ecológico My Carrefour Baby T4 (8-15 kg) 20 ud.,8.89,0.44,bebe,Cuidado facial y corporal,panales y toallitas,,UNIDAD,Carrefour,0.44
Levadura de cerveza en comprimidos Sanon 400 ud.,8.89,5.561,parafarmacia,Bodega,nutricion y dietetica,,100 GR,Carrefour,5.561
Pants soft & eco-friendly ecológico My Carrefour Baby T5 (12-18 kg) 18 ud.,8.89,0.49,bebe,Cuidado facial y corporal,panales y toallitas,,UNIDAD,Carrefour,0.49
"Cóctel gourmet Perezsol 2,2 kg.",8.89,4.04,la despensa,Aperitivos,aperitivos,,KILO,Carrefour,4.04
"Aceitunas verdes manzanilla sabor anchoa Perezsol 2,5 kg.",8.89,4.0,la despensa,"Cacao, café e infusiones",aperitivos,,KILO,Carrefour,4.0
Bebida Espirituosa con tequila Regidor 70 cl.,8.89,127.0,bebidas,Bodega,alcoholes,,LITRO,Carrefour,127.0
Cera de azúcar Natural Inspirations Veet 250 ml.,8.89,3.561,perfumeria e higiene,Cuidado facial y corporal,depilacion y afeitado,,100 ML,Carrefour,3.561
Agua de colonia Gotas Frescas Instituto Español 750 ml.,8.89,1.191,perfumeria e higiene,Cuidado facial y corporal,bano e higiene corporal,,100 ML,Carrefour,1.191
Aceite de almendras con aloe vera Phytofarma 250 ml.,8.89,3.561,parafarmacia,"Aceite, especias y salsas",cuidado corporal,,100 ML,Carrefour,3.561
Bruma facial hidratante Sensitive Advanced FP 50 Delial 75 ml.,8.89,11.851,perfumeria e higiene,Cuidado facial y corporal,cuidado y proteccion corporal,,100 ML,Carrefour,11.851
Comida húmeda sabores mixtos en salsa para perro Pedigree pack de 12 unidades de 100 g.,8.89,7.41,mascotas,"Aceite, especias y salsas",perros,,KILO,Carrefour,7.41
Crema de manos y uñas Neutrogena 75 ml.,8.85,11.801,parafarmacia,Cuidado facial y corporal,cuidado de manos y pies,,100 ML,Carrefour,11.801
Maca en cápsulas NaturCesta 90 ud.,8.85,9.831,la despensa,"Salsas, pasta y refrescos",alimentacion,,100 GR,Carrefour,9.831
Pienso de buey para perro adulto Mini Purina Friskies Menú 3 Kg.,8.85,2.95,mascotas,Mascotas,perros,,KILO,Carrefour,2.95
Café en grano natural Marcilla Gran Aroma 500 g.,8.85,17.7,la despensa,"Cacao, café e infusiones",desayuno,MARCILLA,KILO,Carrefour,17.7
Snack dental para perros Mini Brekkies Total Dent 440 g.,8.85,20.11,mascotas,Mascotas,perros,,KILO,Carrefour,20.11
"Café Colombia en cápsulas L'Or Espresso compatible con Nespresso 20 unidades de 5,2 g.",8.85,85.1,la despensa,"Cacao, café e infusiones",desayuno,LOR,KILO,Carrefour,85.1
Lomo de Cebo Ibérico 50% Raza Ibérica loncheado Calidad y Origen Carrefour 100 g,8.79,76.43,productos frescos,Charcutería y quesos,charcuteria,CYO,KILO,Carrefour,76.43
"Champú, acondicionador y tratamiento 3en1 Repara & Protege Pro-V Pantene 600 ml.",8.79,1.471,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,1.471
Acondicionador de coco para cabello normal ecológico Urtekram 180 ml.,8.79,4.881,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,4.881
Nuggets originales Heura 400 g,8.79,21.98,la despensa,"Conservas, caldos y cremas",conservas sopas y precocinados,,KILO,Carrefour,21.98
Hamburguesa originales Heura sin gluten 440 g,8.79,19.98,la despensa,"Conservas, caldos y cremas",conservas sopas y precocinados,,KILO,Carrefour,19.98
Crema de pañal caléndula ecológica Weleda Baby 75 ml.,8.79,11.721,parafarmacia,Bebé,bebe,,100 ML,Carrefour,11.721
Champú y acondicionador anticaspa 2 en 1 Classic H&S 625 ml.,8.79,1.411,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,1.411
Champú anticaspa classic H&S 625 ml.,8.79,0.0,perfumeria e higiene,Cuidado del cabello,cabello,,No especificado,Carrefour,0.0
Biberón con tetina de silicona anatómica flujo denso +6 meses Suavinex 360 ml.,8.79,8.79,bebe,Bebé,puericultura,,UNIDAD,Carrefour,8.79
Tetina fisiológicas SX Pro de silicona de flujo medio +3m Suavinex 2 ud.,8.79,4.39,bebe,Bebé,puericultura,,UNIDAD,Carrefour,4.39
Supremas de atún congelado Findus 230 g.,8.79,38.22,congelados,Cuidado facial y corporal,pescados congelados,FINDUS PRODUCTO,KILO,Carrefour,38.22
Pipeta Repelente Parásito para Gato Dixie,8.79,8.79,mascotas,Mascotas,gatos,,UNIDAD,Carrefour,8.79
Pollo certificado limpio Carrefour 2 kg,8.78,4.39,productos frescos,Carne,carniceria,,KILO,Carrefour,4.39
Pepsi zero azúcar pack de 12 latas de 33 cl.,8.76,2.21,bebidas,Agua y refrescos,refrescos,,LITRO,Carrefour,2.21
Dentífrico Tratamiento Periodontal Perio-Aid 100 ml.,8.75,11.671,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 ML,Carrefour,11.671
Papilla infantil desde los 5-6 meses multicereales fos Damira sin lactosa 600 g.,8.75,1.461,bebe,Bebé,alimentacion infantil,FOS FOS,100 GR,Carrefour,1.461
Hamburguesa de Vacuno Wagyu Santa Rosalía 2x150 g,8.75,29.17,productos frescos,"Aceite, especias y salsas",carniceria,,KILO,Carrefour,29.17
Crema fijadora para prótesis dentales fijación fuerte sabor menta suave Polident pack de 2 unidades de 40 g.,8.75,10.941,perfumeria e higiene,Cuidado facial y corporal,boca y sonrisa,,100 GR,Carrefour,10.941
Papilla infantil desde los 5 meses  8 Cereales Damira sin lactosa 600 g,8.75,1.461,bebe,Bebé,alimentacion infantil,DAMIRA,100 GR,Carrefour,1.461
Biberón con tetina de silicona anatómica flujo medio 0-6 meses Suavinex 270 ml.,8.75,8.75,bebe,Bebé,puericultura,,UNIDAD,Carrefour,8.75
Papel higiénico ecológico Pure Natural Colhogar 12 rollos,8.69,0.72,limpieza y hogar,Limpieza y hogar,papel y celulosa,,UNIDAD,Carrefour,0.72
Salsa de soja ecológica Kikkoman botella 250 ml.,8.69,34.76,la despensa,"Aceite, especias y salsas",alimentacion,,KILO,Carrefour,34.76
Preservativos sensitivo suave para mayor sensibilidad talla XL Durex 10 ud.,8.69,0.87,perfumeria e higiene,Fitoterapia y parafarmacia,bienestar sexual,,UNIDAD,Carrefour,0.87
Chupetes Soothies de silicona 0-6 meses niño Philips Avent 2 ud.,8.69,8.69,bebe,Bebé,puericultura,,UNIDAD,Carrefour,8.69
Café molido Brasil Selección Arábica Illy Lata 250 g.,8.69,0.0,la despensa,"Cacao, café e infusiones",desayuno,ILLY,No especificado,Carrefour,0.0
Queso curado de cabra Vega de San Martín 250 g.,8.69,34.76,productos frescos,Charcutería y quesos,quesos,,KILO,Carrefour,34.76
"Comida húmeda de pollo,buey, atún y salmón para gato adulto Purina Gourmet Gold Fondant 12x85 g.",8.69,8.52,mascotas,"Aceite, especias y salsas",gatos,,KILO,Carrefour,8.52
Queso parmigiano reggiano ecológico D.O.P. Parmareggio 150 g,8.69,57.93,productos frescos,Charcutería y quesos,quesos,PARMAREGGIO,KILO,Carrefour,57.93
Comida húmeda surtido de carnes para gato adulto Purina Gourmet Gold Doble Placer 12x85 g,8.69,8.52,mascotas,Mascotas,gatos,,KILO,Carrefour,8.52
Crema hidratante original para hombre Bulldog 100 ml.,8.69,8.691,perfumeria e higiene,Cuidado facial y corporal,cuidado y proteccion corporal,,100 ML,Carrefour,8.691
Ginkgo biloba en comprimidos Sanon 120 ud.,8.69,10.351,parafarmacia,Fitoterapia y parafarmacia,nutricion y dietetica,,100 GR,Carrefour,10.351
Ron Yacaré viejo 70 cl.,8.69,12.41,bebidas,Bodega,alcoholes,CARREFOUR,LITRO,Carrefour,12.41
Vaso limpieza copa menstrual Carrefour Soft 1 ud.,8.69,8.69,perfumeria e higiene,Cuidado facial y corporal,higiene intima,CARREFOUR,UNIDAD,Carrefour,8.69
Caldo natural de pescado Aneto sin gluten y sin lactosa pack de 2 briks de 1 l.,8.69,4.34,la despensa,"Conservas, caldos y cremas",conservas sopas y precocinados,ANETO,LITRO,Carrefour,4.34
Dentífrico blanqueador Fluocaril pack de 2 unidades de 75 ml.,8.69,5.791,perfumeria e higiene,Cuidado facial y corporal,boca y sonrisa,,100 ML,Carrefour,5.791
Filete 1ª B de Añojo Ecológico Carrefour Bio 500 g aprox,8.69,17.39,productos frescos,Carne,carniceria,,KILO,Carrefour,17.39
Comida húmeda tartalette surtido para gato adulto Purina Gourmet Gold 12x85 g.,8.69,8.52,mascotas,Mascotas,gatos,,KILO,Carrefour,8.52
Comida húmeda mousse surtido para gato adulto Purina Gourmet Gold 12x85 g.,8.69,8.52,mascotas,Mascotas,gatos,,KILO,Carrefour,8.52
Callos a la Madrileña De Nuestra Tierra 380 g.,8.69,22.87,la despensa,"Conservas, caldos y cremas",conservas sopas y precocinados,NUESTRA TIERRA,KILO,Carrefour,22.87
Sérum acondicionador sin aclarado Frizz Control Pro-V Miracles Pantene 70 ml.,8.69,12.411,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,12.411
Ambientador automático freshmatic fragancia oasis turquesa aparato y recambio Air Wick 1 ud.,8.69,8.69,limpieza y hogar,Limpieza y hogar,ambientadores,,UNIDAD,Carrefour,8.69
Queso gruyere Suizo A.O.C taco Le Gruyère 200 g,8.69,43.45,productos frescos,Charcutería y quesos,quesos,GRUYERE,KILO,Carrefour,43.45
Mascarilla capilar intensiva Molecular Bond Repair Pro-V Miracles Pantene 300 ml.,8.69,2.901,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,2.901
Ambientador automático Freshmatic white bouquet aparato y recambio Air Wick 1 ud.,8.69,8.69,limpieza y hogar,Limpieza y hogar,ambientadores,,UNIDAD,Carrefour,8.69
Queso semicurado de cabra corteza pimentonada Carrefour Extra cuña 450 g.,8.69,19.31,productos frescos,Charcutería y quesos,quesos,CARREFOUR,KILO,Carrefour,19.31
Bloc de foie gras de pato Original Carrefour 200 g.,8.69,43.45,productos frescos,Charcutería y quesos,charcuteria,CARREFOUR,KILO,Carrefour,43.45
Complemento alimenticio L-Carnitine Prozis 60 ud.,8.69,17.041,la despensa,"Salsas, pasta y refrescos",alimentacion,,100 GR,Carrefour,17.041
"Champú, acondicionador y tratamiento 3en1 Rizos Definidos Nutri Pro-V Pantene 600 ml.",8.69,1.451,perfumeria e higiene,Cuidado del cabello,cabello,,100 ML,Carrefour,1.451
Cerveza lager especial El Águila sin filtrar pack de 10 latas de 33 cl.,8.69,2.63,bebidas,Bodega,cerveza,AGUILA,LITRO,Carrefour,2.63
Cerveza Amstel Radler con limón pack 12 latas 33 cl.,8.69,2.19,bebidas,Bodega,cerveza,,LITRO,Carrefour,2.19
Ambientador automático freshmatic Nenuco aparato y recambio Air Wick 1 ud.,8.69,8.69,limpieza y hogar,Limpieza y hogar,ambientadores,,UNIDAD,Carrefour,8.69
Antihumedad percha ideal para armarios Humydry 1 ud.,8.65,8.65,limpieza y hogar,Limpieza y hogar,ambientadores,,UNIDAD,Carrefour,8.65
Tetina fisiológicas SX Pro de silicona de flujo denso +6m Suavinex 2 ud.,8.65,4.32,bebe,Bebé,puericultura,,UNIDAD,Carrefour,4.32
Gamba blanca cocida congelada Extra Carrefour 500 g.,8.65,17.3,productos frescos,Cuidado facial y corporal,pescaderia,CARREFOUR,KILO,Carrefour,17.3
Nestea té negro con limón pack de 9 latas de 33 cl.,8.65,2.91,bebidas,"Cacao, café e infusiones",refrescos,NESTEA,LITRO,Carrefour,2.91
Crema Adhesiva Efecto Sellado Kukident 40 g.,8.65,21.621,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 GR,Carrefour,21.621
Cerveza Mahou Clásica pack de 12 latas de 33 cl.,8.64,2.18,bebidas,Bodega,cerveza,MAHOU,LITRO,Carrefour,2.18
Cera protectora para ortodoncia Vitis 1 ud.,8.59,8.59,parafarmacia,Cuidado facial y corporal,higiene bucal,,UNIDAD,Carrefour,8.59
Aceite esencial árbol del té 100% puro ecológico Arganour 20 ml.,8.59,42.951,parafarmacia,"Aceite, especias y salsas",cuidado corporal,,100 ML,Carrefour,42.951
Cepillo dental con batería Total Clean Carrefour Soft 1 ud.,8.59,8.59,perfumeria e higiene,Cuidado facial y corporal,boca y sonrisa,,UNIDAD,Carrefour,8.59
Roll on de arnica y calamina Arnidol Pic 30 ml.,8.59,28.631,parafarmacia,Fitoterapia y parafarmacia,botiquin,,100 ML,Carrefour,28.631
Preservativos finissimo XL xtra large Control 12 ud.,8.59,0.72,perfumeria e higiene,Fitoterapia y parafarmacia,bienestar sexual,,UNIDAD,Carrefour,0.72
Coto De Imaz Tinto Reserva 2019,8.59,8.59,bebidas,Bodega,vinos,COTO IMAZ,UNIDAD,Carrefour,8.59
Papel higiénico compact doble rollo Carrefour 24 rollos.,8.59,0.36,limpieza y hogar,Limpieza y hogar,papel y celulosa,,UNIDAD,Carrefour,0.36
Crema de cacao con avellanas Nutella 1 kg.,8.59,8.59,la despensa,"Azúcar, caramelos y chocolate",dulce,NUTELLA,KILO,Carrefour,8.59
Hacienda Lopez De Haro Tinto Crianza 2020,8.59,8.59,bebidas,Bodega,vinos,HACIENDA LOPEZ,UNIDAD,Carrefour,8.59
Taco Kit Old El Paso 308 g.,8.59,27.89,la despensa,"Conservas, caldos y cremas",conservas sopas y precocinados,PARA RECETAS,KILO,Carrefour,27.89
Trompeta negra deshidratada  bandeja 30 g,8.59,286.33,productos frescos,Fruta y verdura,verduras y hortalizas,,KILO,Carrefour,
Marques De Riscal Rosado 2022,8.59,8.59,bebidas,Bodega,vinos,MARQUES MARQUES,UNIDAD,Carrefour,8.59
Preservativos Non Stop Control 12 ud.,8.59,0.72,perfumeria e higiene,Fitoterapia y parafarmacia,bienestar sexual,,UNIDAD,Carrefour,0.72
Preservativos Retard Control 12 ud.,8.59,0.72,perfumeria e higiene,Fitoterapia y parafarmacia,bienestar sexual,,UNIDAD,Carrefour,0.72
Spray solar SPF 50 Les Cosmetiques 250 ml.,8.59,3.441,perfumeria e higiene,Cuidado facial y corporal,cuidado y proteccion corporal,LES COSMETIQUES,100 ML,Carrefour,3.441
Queso semicurado de cabra pimientonado Antaño 1/2 pieza 400 g aprox,8.56,21.4,productos frescos,Charcutería y quesos,quesos,,KILO,Carrefour,21.4
Protector lavavajillas Finish 50 lavados.,8.55,8.55,limpieza y hogar,Limpieza y hogar,productos para cocina,,UNIDAD,Carrefour,8.55
Chorizo Extra Curado Carrefour sin gluten y sin lactosa taco de 400 g,8.55,21.37,productos frescos,Charcutería y quesos,charcuteria,CARREFOUR,KILO,Carrefour,21.37
Compresas para incontinencia maxi Discreet Protect+ Tena 12 ud.,8.55,0.71,perfumeria e higiene,Cuidado facial y corporal,higiene intima,,UNIDAD,Carrefour,0.71
Salchichón extra curado Carrefour sin gluten y sin lactosa taco de 400 g,8.55,21.37,productos frescos,"Aceite, especias y salsas",charcuteria,CARREFOUR,KILO,Carrefour,21.37
Vermut Zarro reserva especial 1 l.,8.55,8.55,bebidas,Bodega,alcoholes,,LITRO,Carrefour,8.55
Jarabe de arce Maple Joe 250 g.,8.55,34.2,la despensa,"Azúcar, caramelos y chocolate",dulce,MAPLE JOE,KILO,Carrefour,34.2
Alma Atlantica,8.55,8.55,bebidas,Bodega,vinos,ALMA ATLANTICA,UNIDAD,Carrefour,8.55
Cerveza Amstel 100% Malta pack de 12 latas de 33 cl.,8.52,2.15,bebidas,Bodega,cerveza,AMSTEL,LITRO,Carrefour,2.15
Leche solar muy alta protección SPF 50+ especial cara Mustela 40 ml.,8.5,21.251,bebe,Cuidado facial y corporal,perfumeria e higiene,,100 ML,Carrefour,21.251
Tabla de quesos del mundo Carrefour 300 g,8.49,28.3,productos frescos,Charcutería y quesos,quesos,ABRIR MINUTOS,KILO,Carrefour,28.3
Colutorio bucal mantenimiento periodontal Perio-Aid 500 ml.,8.49,1.701,parafarmacia,Cuidado facial y corporal,higiene bucal,,100 ML,Carrefour,1.701
Protector de cama 60x90 cm Carrefour Soft 20 ud.,8.49,0.42,perfumeria e higiene,Cuidado facial y corporal,higiene intima,,UNIDAD,Carrefour,0.42
Ginebra London Dry Old Thames 70 cl.,8.49,12.13,bebidas,Bodega,alcoholes,CARREFOUR,LITRO,Carrefour,12.13
Vino tinto reserva tempranillo Enrique I  D.O. Ribera del Duero75 cl.,8.49,8.49,bebidas,Bodega,vinos,ENRIQUE,UNIDAD,Carrefour,8.49
Pegamento Loctite con Pince Súper Glue-3  5 gr,8.49,1.698,limpieza y hogar,Limpieza y hogar,bazar,,KILO,Carrefour,1.698
"Protector labial fórmula noruega SPF 20 Neutrogena pack de 2 unidades de 4,8 g.",8.49,28.301,parafarmacia,Cuidado facial y corporal,cuidado e higiene facial,,100 ML,Carrefour,28.301
